language,age,words,n,measure,prop
Japanese,16,わき,11,produces,0
Japanese,16,わき,11,understands,0
Japanese,17,わき,17,produces,0
Japanese,17,わき,17,understands,0
Japanese,18,わき,56,produces,0
Japanese,18,わき,56,understands,0
Japanese,19,わき,35,produces,0
Japanese,19,わき,35,understands,0
Japanese,20,わき,59,produces,0
Japanese,20,わき,59,understands,0
Japanese,21,わき,62,produces,0
Japanese,21,わき,62,understands,0
Japanese,22,わき,31,produces,0
Japanese,22,わき,31,understands,0
Japanese,23,わき,67,produces,0
Japanese,23,わき,67,understands,0
Japanese,24,わき,33,produces,0.0303
Japanese,24,わき,33,understands,0
Japanese,25,わき,34,produces,0
Japanese,25,わき,34,understands,0
Japanese,26,わき,33,produces,0.0909
Japanese,26,わき,33,understands,0
Japanese,27,わき,15,produces,0
Japanese,27,わき,15,understands,0
Japanese,28,わき,18,produces,0
Japanese,28,わき,18,understands,0
Japanese,29,わき,17,produces,0
Japanese,29,わき,17,understands,0
Japanese,30,わき,18,produces,0
Japanese,30,わき,18,understands,0
Japanese,31,わき,18,produces,0.0556
Japanese,31,わき,18,understands,0
Japanese,32,わき,13,produces,0.2308
Japanese,32,わき,13,understands,0
Japanese,33,わき,16,produces,0.0625
Japanese,33,わき,16,understands,0
Japanese,34,わき,13,produces,0.2308
Japanese,34,わき,13,understands,0
Japanese,35,わき,31,produces,0.0323
Japanese,35,わき,31,understands,0
Japanese,36,わき,18,produces,0.1111
Japanese,36,わき,18,understands,0
English (Irish),17,side,2,produces,0
English (Irish),17,side,2,understands,0
English (Irish),18,side,1,produces,0
English (Irish),18,side,1,understands,0
English (Irish),19,side,2,produces,0
English (Irish),19,side,2,understands,0
English (Irish),20,side,1,produces,0
English (Irish),20,side,1,understands,0
English (Irish),21,side,3,produces,0
English (Irish),21,side,3,understands,0
English (Irish),22,side,4,produces,0
English (Irish),22,side,4,understands,0
English (Irish),23,side,4,produces,0
English (Irish),23,side,4,understands,0
English (Irish),24,side,4,produces,0
English (Irish),24,side,4,understands,0
English (Irish),25,side,6,produces,0
English (Irish),25,side,6,understands,0
English (Irish),26,side,10,produces,0
English (Irish),26,side,10,understands,0
English (Irish),27,side,5,produces,0.2
English (Irish),27,side,5,understands,0
English (Irish),28,side,7,produces,0
English (Irish),28,side,7,understands,0
English (Irish),29,side,4,produces,0.25
English (Irish),29,side,4,understands,0
English (Irish),30,side,9,produces,0.1111
English (Irish),30,side,9,understands,0
English (Irish),31,side,8,produces,0.125
English (Irish),31,side,8,understands,0
English (Irish),32,side,4,produces,0.25
English (Irish),32,side,4,understands,0
English (Irish),33,side,5,produces,0.2
English (Irish),33,side,5,understands,0
English (Irish),34,side,4,produces,0
English (Irish),34,side,4,understands,0
English (Irish),35,side,11,produces,0.2727
English (Irish),35,side,11,understands,0
English (Irish),36,side,5,produces,0
English (Irish),36,side,5,understands,0
