language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,ستة,19,produces,0
Arabic (Saudi),All,8,ستة,19,understands,0
Arabic (Saudi),All,9,ستة,18,produces,0
Arabic (Saudi),All,9,ستة,18,understands,0
Arabic (Saudi),All,10,ستة,25,produces,0
Arabic (Saudi),All,10,ستة,25,understands,0
Arabic (Saudi),All,11,ستة,21,produces,0.0476
Arabic (Saudi),All,11,ستة,21,understands,0
Arabic (Saudi),All,12,ستة,19,produces,0.0526
Arabic (Saudi),All,12,ستة,19,understands,0
Arabic (Saudi),All,13,ستة,36,produces,0
Arabic (Saudi),All,13,ستة,36,understands,0
Arabic (Saudi),All,14,ستة,20,produces,0
Arabic (Saudi),All,14,ستة,20,understands,0
Arabic (Saudi),All,15,ستة,19,produces,0.0526
Arabic (Saudi),All,15,ستة,19,understands,0
Arabic (Saudi),All,16,ستة,18,produces,0.0556
Arabic (Saudi),All,16,ستة,18,understands,0
Portuguese (European),All,16,Seis,144,produces,0.0069
Portuguese (European),All,16,Seis,144,understands,0
Portuguese (European),All,17,Seis,158,produces,0
Portuguese (European),All,17,Seis,158,understands,0
Portuguese (European),All,18,Seis,203,produces,0.0493
Portuguese (European),All,18,Seis,203,understands,0
Portuguese (European),All,19,Seis,196,produces,0.0561
Portuguese (European),All,19,Seis,196,understands,0
Portuguese (European),All,20,Seis,218,produces,0.1101
Portuguese (European),All,20,Seis,218,understands,0
Portuguese (European),All,21,Seis,208,produces,0.1298
Portuguese (European),All,21,Seis,208,understands,0
Portuguese (European),All,22,Seis,213,produces,0.1878
Portuguese (European),All,22,Seis,213,understands,0
Portuguese (European),All,23,Seis,199,produces,0.2714
Portuguese (European),All,23,Seis,199,understands,0
Portuguese (European),All,24,Seis,215,produces,0.3116
Portuguese (European),All,24,Seis,215,understands,0
Portuguese (European),All,25,Seis,213,produces,0.4695
Portuguese (European),All,25,Seis,213,understands,0
Portuguese (European),All,26,Seis,218,produces,0.4083
Portuguese (European),All,26,Seis,218,understands,0
