language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,تنورة,19,produces,0
Arabic (Saudi),All,8,تنورة,19,understands,0
Arabic (Saudi),All,9,تنورة,18,produces,0
Arabic (Saudi),All,9,تنورة,18,understands,0
Arabic (Saudi),All,10,تنورة,25,produces,0
Arabic (Saudi),All,10,تنورة,25,understands,0
Arabic (Saudi),All,11,تنورة,21,produces,0
Arabic (Saudi),All,11,تنورة,21,understands,0
Arabic (Saudi),All,12,تنورة,19,produces,0
Arabic (Saudi),All,12,تنورة,19,understands,0
Arabic (Saudi),All,13,تنورة,36,produces,0
Arabic (Saudi),All,13,تنورة,36,understands,0
Arabic (Saudi),All,14,تنورة,20,produces,0
Arabic (Saudi),All,14,تنورة,20,understands,0
Arabic (Saudi),All,15,تنورة,19,produces,0
Arabic (Saudi),All,15,تنورة,19,understands,0
Arabic (Saudi),All,16,تنورة,18,produces,0.0556
Arabic (Saudi),All,16,تنورة,18,understands,0
Cantonese,All,16,裙,46,produces,0
Cantonese,All,16,裙,46,understands,0
Cantonese,All,17,裙,61,produces,0.0328
Cantonese,All,17,裙,61,understands,0
Cantonese,All,18,裙,68,produces,0.0882
Cantonese,All,18,裙,68,understands,0
Cantonese,All,19,裙,66,produces,0.0606
Cantonese,All,19,裙,66,understands,0
Cantonese,All,20,裙,140,produces,0.1071
Cantonese,All,20,裙,140,understands,0
Cantonese,All,21,裙,120,produces,0.1667
Cantonese,All,21,裙,120,understands,0
Cantonese,All,22,裙,68,produces,0.2647
Cantonese,All,22,裙,68,understands,0
Cantonese,All,23,裙,74,produces,0.3243
Cantonese,All,23,裙,74,understands,0
Cantonese,All,24,裙,68,produces,0.2647
Cantonese,All,24,裙,68,understands,0
Cantonese,All,25,裙,65,produces,0.4
Cantonese,All,25,裙,65,understands,0
Cantonese,All,26,裙,68,produces,0.3824
Cantonese,All,26,裙,68,understands,0
Cantonese,All,27,裙,62,produces,0.5161
Cantonese,All,27,裙,62,understands,0
Cantonese,All,28,裙,66,produces,0.6061
