language,age,words,n,measure,prop
Italian,7,dormire,5,produces,0
Italian,7,dormire,5,understands,0
Italian,8,dormire,34,produces,0
Italian,8,dormire,34,understands,0.1471
Italian,9,dormire,38,produces,0
Italian,9,dormire,38,understands,0.1053
Italian,10,dormire,53,produces,0
Italian,10,dormire,53,understands,0.1698
Italian,11,dormire,42,produces,0
Italian,11,dormire,42,understands,0.5
Italian,12,dormire,69,produces,0
Italian,12,dormire,69,understands,0.5652
Italian,13,dormire,48,produces,0
Italian,13,dormire,48,understands,0.5
Italian,14,dormire,40,produces,0.025
Italian,14,dormire,40,understands,0.7
Italian,15,dormire,68,produces,0.0147
Italian,15,dormire,68,understands,0.6912
Italian,16,dormire,56,produces,0
Italian,16,dormire,56,understands,0.8214
Italian,17,dormire,48,produces,0.1042
Italian,17,dormire,48,understands,0.875
Italian,18,dormire,75,produces,0.0933
Italian,18,dormire,75,understands,0.56
Italian,19,dormire,58,produces,0.1379
Italian,19,dormire,58,understands,0.3276
Italian,20,dormire,83,produces,0.1205
Italian,20,dormire,83,understands,0.2048
Italian,21,dormire,67,produces,0.2537
Italian,21,dormire,67,understands,0.1791
Italian,22,dormire,77,produces,0.3766
Italian,22,dormire,77,understands,0.2468
Italian,23,dormire,70,produces,0.5
Italian,23,dormire,70,understands,0.2429
Italian,24,dormire,85,produces,0.5882
Italian,24,dormire,85,understands,0.1647
Italian,25,dormire,39,produces,0.7179
Italian,25,dormire,39,understands,0
Italian,26,dormire,41,produces,0.7561
Italian,26,dormire,41,understands,0
Italian,27,dormire,43,produces,0.7209
Italian,27,dormire,43,understands,0
Italian,28,dormire,44,produces,0.8182
Italian,28,dormire,44,understands,0
Italian,29,dormire,37,produces,0.9189
Italian,29,dormire,37,understands,0
Italian,30,dormire,67,produces,0.8806
Italian,30,dormire,67,understands,0
Italian,31,dormire,19,produces,0.7895
Italian,31,dormire,19,understands,0
Italian,32,dormire,23,produces,0.8261
Italian,32,dormire,23,understands,0
Italian,33,dormire,16,produces,0.875
Italian,33,dormire,16,understands,0
Italian,34,dormire,19,produces,0.9474
Italian,34,dormire,19,understands,0
Italian,35,dormire,15,produces,0.9333
Italian,35,dormire,15,understands,0
Italian,36,dormire,21,produces,0.8571
Italian,36,dormire,21,understands,0
Japanese,8,ねる（寝る）,6,produces,0
Japanese,8,ねる（寝る）,6,understands,0.1667
Japanese,9,ねる（寝る）,10,produces,0
Japanese,9,ねる（寝る）,10,understands,0
Japanese,10,ねる（寝る）,8,produces,0.125
Japanese,10,ねる（寝る）,8,understands,0.125
Japanese,11,ねる（寝る）,87,produces,0.0115
Japanese,11,ねる（寝る）,87,understands,0.1609
Japanese,12,ねる（寝る）,118,produces,0
Japanese,12,ねる（寝る）,118,understands,0.1356
Japanese,13,ねる（寝る）,23,produces,0
Japanese,13,ねる（寝る）,23,understands,0.2609
Japanese,14,ねる（寝る）,26,produces,0
Japanese,14,ねる（寝る）,26,understands,0.5769
Japanese,15,ねる（寝る）,72,produces,0.0278
Japanese,15,ねる（寝る）,72,understands,0.4722
Japanese,16,ねる（寝る）,46,produces,0.0652
Japanese,16,ねる（寝る）,46,understands,0.2609
Japanese,17,ねる（寝る）,77,produces,0.1429
Japanese,17,ねる（寝る）,77,understands,0.5325
Japanese,18,ねる（寝る）,94,produces,0.117
Japanese,18,ねる（寝る）,94,understands,0.3085
Japanese,19,ねる（寝る）,35,produces,0.1143
Japanese,19,ねる（寝る）,35,understands,0
Japanese,20,ねる（寝る）,59,produces,0.2373
Japanese,20,ねる（寝る）,59,understands,0
Japanese,21,ねる（寝る）,62,produces,0.2581
Japanese,21,ねる（寝る）,62,understands,0
Japanese,22,ねる（寝る）,31,produces,0.3871
Japanese,22,ねる（寝る）,31,understands,0
Japanese,23,ねる（寝る）,67,produces,0.4925
Japanese,23,ねる（寝る）,67,understands,0
Japanese,24,ねる（寝る）,33,produces,0.5152
Japanese,24,ねる（寝る）,33,understands,0
Japanese,25,ねる（寝る）,34,produces,0.6471
Japanese,25,ねる（寝る）,34,understands,0
Japanese,26,ねる（寝る）,33,produces,0.7879
Japanese,26,ねる（寝る）,33,understands,0
Japanese,27,ねる（寝る）,15,produces,0.6
Japanese,27,ねる（寝る）,15,understands,0
Japanese,28,ねる（寝る）,18,produces,0.7222
Japanese,28,ねる（寝る）,18,understands,0
