language,age,words,n,measure,prop
Italian,18,pantofole,31,produces,0.0968
Italian,18,pantofole,31,understands,0
Italian,19,pantofole,39,produces,0.1282
Italian,19,pantofole,39,understands,0
Italian,20,pantofole,64,produces,0.1406
Italian,20,pantofole,64,understands,0
Italian,21,pantofole,55,produces,0.2364
Italian,21,pantofole,55,understands,0
Italian,22,pantofole,55,produces,0.3273
Italian,22,pantofole,55,understands,0
Italian,23,pantofole,53,produces,0.283
Italian,23,pantofole,53,understands,0
Italian,24,pantofole,71,produces,0.338
Italian,24,pantofole,71,understands,0
Italian,25,pantofole,39,produces,0.4615
Italian,25,pantofole,39,understands,0
Italian,26,pantofole,41,produces,0.5122
Italian,26,pantofole,41,understands,0
Italian,27,pantofole,43,produces,0.5581
Italian,27,pantofole,43,understands,0
Italian,28,pantofole,44,produces,0.6136
Italian,28,pantofole,44,understands,0
Italian,29,pantofole,37,produces,0.7027
Italian,29,pantofole,37,understands,0
Italian,30,pantofole,67,produces,0.7313
Italian,30,pantofole,67,understands,0
Italian,31,pantofole,19,produces,0.7895
Italian,31,pantofole,19,understands,0
Italian,32,pantofole,23,produces,0.6957
Italian,32,pantofole,23,understands,0
Italian,33,pantofole,16,produces,0.6875
Italian,33,pantofole,16,understands,0
Italian,34,pantofole,19,produces,0.9474
Italian,34,pantofole,19,understands,0
Italian,35,pantofole,15,produces,0.8667
Italian,35,pantofole,15,understands,0
Italian,36,pantofole,21,produces,0.8571
Italian,36,pantofole,21,understands,0
Japanese,8,スリッパ,6,produces,0
Japanese,8,スリッパ,6,understands,0
Japanese,9,スリッパ,10,produces,0
Japanese,9,スリッパ,10,understands,0.1
Japanese,10,スリッパ,8,produces,0
Japanese,10,スリッパ,8,understands,0
Japanese,11,スリッパ,87,produces,0
Japanese,11,スリッパ,87,understands,0.0115
Japanese,12,スリッパ,118,produces,0
Japanese,12,スリッパ,118,understands,0.0085
Japanese,13,スリッパ,23,produces,0
Japanese,13,スリッパ,23,understands,0.087
Japanese,14,スリッパ,26,produces,0
Japanese,14,スリッパ,26,understands,0.0769
Japanese,15,スリッパ,72,produces,0
Japanese,15,スリッパ,72,understands,0.1528
Japanese,16,スリッパ,46,produces,0.0217
Japanese,16,スリッパ,46,understands,0.1087
Japanese,17,スリッパ,77,produces,0.026
Japanese,17,スリッパ,77,understands,0.1429
Japanese,18,スリッパ,94,produces,0.0319
Japanese,18,スリッパ,94,understands,0.1596
Japanese,19,スリッパ,35,produces,0.0571
Japanese,19,スリッパ,35,understands,0
Japanese,20,スリッパ,59,produces,0.1017
Japanese,20,スリッパ,59,understands,0
Japanese,21,スリッパ,62,produces,0.1129
Japanese,21,スリッパ,62,understands,0
Japanese,22,スリッパ,31,produces,0.0968
Japanese,22,スリッパ,31,understands,0
Japanese,23,スリッパ,67,produces,0.2239
Japanese,23,スリッパ,67,understands,0
Japanese,24,スリッパ,33,produces,0.303
Japanese,24,スリッパ,33,understands,0
Japanese,25,スリッパ,34,produces,0.4118
Japanese,25,スリッパ,34,understands,0
Japanese,26,スリッパ,33,produces,0.6061
Japanese,26,スリッパ,33,understands,0
Japanese,27,スリッパ,15,produces,0.4667
Japanese,27,スリッパ,15,understands,0
Japanese,28,スリッパ,18,produces,0.5
Japanese,28,スリッパ,18,understands,0
Japanese,29,スリッパ,17,produces,0.4706
Japanese,29,スリッパ,17,understands,0
Japanese,30,スリッパ,18,produces,0.7222
Japanese,30,スリッパ,18,understands,0
Japanese,31,スリッパ,18,produces,0.5556
Japanese,31,スリッパ,18,understands,0
Japanese,32,スリッパ,13,produces,0.5385
Japanese,32,スリッパ,13,understands,0
Japanese,33,スリッパ,16,produces,0.5625
Japanese,33,スリッパ,16,understands,0
Japanese,34,スリッパ,13,produces,0.6154
Japanese,34,スリッパ,13,understands,0
Japanese,35,スリッパ,31,produces,0.7419
Japanese,35,スリッパ,31,understands,0
Japanese,36,スリッパ,18,produces,0.6111
Japanese,36,スリッパ,18,understands,0
Latvian,8,čības,16,produces,0
Latvian,8,čības,16,understands,0
Latvian,9,čības,18,produces,0
Latvian,9,čības,18,understands,0.1111
Latvian,10,čības,26,produces,0
Latvian,10,čības,26,understands,0.0385
Latvian,11,čības,15,produces,0
Latvian,11,čības,15,understands,0.2
Latvian,12,čības,16,produces,0.0625
Latvian,12,čības,16,understands,0.1875
Latvian,13,čības,22,produces,0.0455
Latvian,13,čības,22,understands,0.2727
Latvian,14,čības,25,produces,0.08
Latvian,14,čības,25,understands,0.4
Latvian,15,čības,29,produces,0.0345
Latvian,15,čības,29,understands,0.4828
Latvian,16,čības,16,produces,0.0625
Latvian,16,čības,16,understands,0.375
Latvian,17,čības,27,produces,0.1481
Latvian,17,čības,27,understands,0
Latvian,18,čības,21,produces,0.0952
Latvian,18,čības,21,understands,0
Latvian,19,čības,28,produces,0.2857
Latvian,19,čības,28,understands,0
Latvian,20,čības,34,produces,0.3235
Latvian,20,čības,34,understands,0
Latvian,21,čības,26,produces,0.4231
Latvian,21,čības,26,understands,0
Latvian,22,čības,32,produces,0.3125
Latvian,22,čības,32,understands,0
Latvian,23,čības,25,produces,0.48
Latvian,23,čības,25,understands,0
Latvian,24,čības,30,produces,0.5333
Latvian,24,čības,30,understands,0
Latvian,25,čības,29,produces,0.4483
Latvian,25,čības,29,understands,0
Latvian,26,čības,22,produces,0.5909
Latvian,26,čības,22,understands,0
Latvian,27,čības,18,produces,0.6111
Latvian,27,čības,18,understands,0
Latvian,28,čības,23,produces,0.8261
Latvian,28,čības,23,understands,0
Latvian,29,čības,24,produces,0.8333
Latvian,29,čības,24,understands,0
Latvian,30,čības,26,produces,0.6538
Latvian,30,čības,26,understands,0
Latvian,31,čības,19,produces,0.8421
Latvian,31,čības,19,understands,0
Latvian,32,čības,25,produces,0.72
Latvian,32,čības,25,understands,0
Latvian,33,čības,31,produces,0.8065
Latvian,33,čības,31,understands,0
Latvian,34,čības,17,produces,0.8824
Latvian,34,čības,17,understands,0
Latvian,35,čības,21,produces,0.8571
Latvian,35,čības,21,understands,0
Latvian,36,čības,22,produces,0.7727
Latvian,36,čības,22,understands,0
Mandarin (Beijing),16,拖鞋,70,produces,0
