language,sex,age,words,n,measure,prop
American Sign Language,All,8,SNAKE,1,produces,0
American Sign Language,All,8,SNAKE,1,understands,0
American Sign Language,All,9,SNAKE,4,produces,0
American Sign Language,All,9,SNAKE,4,understands,0
American Sign Language,All,10,SNAKE,5,produces,0
American Sign Language,All,10,SNAKE,5,understands,0.2
American Sign Language,All,11,SNAKE,3,produces,0
American Sign Language,All,11,SNAKE,3,understands,0.3333
American Sign Language,All,12,SNAKE,4,produces,0
American Sign Language,All,12,SNAKE,4,understands,0
American Sign Language,All,13,SNAKE,4,produces,0
American Sign Language,All,13,SNAKE,4,understands,0
American Sign Language,All,14,SNAKE,1,produces,0
American Sign Language,All,14,SNAKE,1,understands,0
American Sign Language,All,15,SNAKE,3,produces,0
American Sign Language,All,15,SNAKE,3,understands,0
American Sign Language,All,16,SNAKE,2,produces,0
American Sign Language,All,16,SNAKE,2,understands,0
American Sign Language,All,17,SNAKE,5,produces,0
American Sign Language,All,17,SNAKE,5,understands,0.2
American Sign Language,All,18,SNAKE,11,produces,0.5455
American Sign Language,All,18,SNAKE,11,understands,0.6364
American Sign Language,All,19,SNAKE,6,produces,0.1667
American Sign Language,All,19,SNAKE,6,understands,0.5
American Sign Language,All,20,SNAKE,3,produces,0
American Sign Language,All,20,SNAKE,3,understands,0.3333
American Sign Language,All,21,SNAKE,4,produces,0
American Sign Language,All,21,SNAKE,4,understands,0.5
American Sign Language,All,22,SNAKE,10,produces,0.2
American Sign Language,All,22,SNAKE,10,understands,0.5
American Sign Language,All,23,SNAKE,5,produces,0.2
American Sign Language,All,23,SNAKE,5,understands,0.2
American Sign Language,All,24,SNAKE,9,produces,0.4444
American Sign Language,All,24,SNAKE,9,understands,0.3333
American Sign Language,All,25,SNAKE,13,produces,0.3846
American Sign Language,All,25,SNAKE,13,understands,0.6154
American Sign Language,All,26,SNAKE,4,produces,0.75
American Sign Language,All,26,SNAKE,4,understands,1
American Sign Language,All,27,SNAKE,7,produces,0.4286
American Sign Language,All,27,SNAKE,7,understands,0.4286
American Sign Language,All,28,SNAKE,7,produces,0.7143
American Sign Language,All,28,SNAKE,7,understands,0.5714
American Sign Language,All,29,SNAKE,6,produces,0.8333
American Sign Language,All,29,SNAKE,6,understands,1
American Sign Language,All,30,SNAKE,7,produces,0.2857
American Sign Language,All,30,SNAKE,7,understands,0.5714
American Sign Language,All,31,SNAKE,9,produces,0.8889
American Sign Language,All,31,SNAKE,9,understands,0.5556
American Sign Language,All,32,SNAKE,15,produces,0.6667
American Sign Language,All,32,SNAKE,15,understands,0.4
American Sign Language,All,33,SNAKE,6,produces,0.8333
American Sign Language,All,33,SNAKE,6,understands,0.6667
American Sign Language,All,34,SNAKE,7,produces,0.7143
American Sign Language,All,34,SNAKE,7,understands,0.7143
American Sign Language,All,35,SNAKE,7,produces,0.4286
American Sign Language,All,35,SNAKE,7,understands,0.5714
American Sign Language,All,36,SNAKE,3,produces,0.3333
American Sign Language,All,36,SNAKE,3,understands,1
British Sign Language,All,8,snake,4,produces,0
British Sign Language,All,8,snake,4,understands,0
British Sign Language,All,9,snake,4,produces,0
British Sign Language,All,9,snake,4,understands,0
British Sign Language,All,10,snake,4,produces,0
British Sign Language,All,10,snake,4,understands,0
British Sign Language,All,11,snake,6,produces,0
British Sign Language,All,11,snake,6,understands,0
British Sign Language,All,12,snake,6,produces,0
British Sign Language,All,12,snake,6,understands,0
British Sign Language,All,13,snake,6,produces,0
British Sign Language,All,13,snake,6,understands,0
British Sign Language,All,14,snake,7,produces,0
British Sign Language,All,14,snake,7,understands,0.2857
British Sign Language,All,15,snake,6,produces,0
British Sign Language,All,15,snake,6,understands,0
British Sign Language,All,16,snake,7,produces,0.1429
British Sign Language,All,16,snake,7,understands,0.2857
British Sign Language,All,17,snake,7,produces,0
British Sign Language,All,17,snake,7,understands,0.2857
British Sign Language,All,18,snake,8,produces,0
British Sign Language,All,18,snake,8,understands,0.125
British Sign Language,All,19,snake,8,produces,0.25
British Sign Language,All,19,snake,8,understands,0.25
British Sign Language,All,20,snake,11,produces,0.2727
British Sign Language,All,20,snake,11,understands,0.6364
British Sign Language,All,21,snake,5,produces,0.2
British Sign Language,All,21,snake,5,understands,0.2
British Sign Language,All,22,snake,6,produces,0.1667
British Sign Language,All,22,snake,6,understands,0.3333
British Sign Language,All,23,snake,7,produces,0.5714
British Sign Language,All,23,snake,7,understands,0.7143
British Sign Language,All,24,snake,5,produces,0.4
British Sign Language,All,24,snake,5,understands,0.4
British Sign Language,All,25,snake,7,produces,0.4286
British Sign Language,All,25,snake,7,understands,0.5714
British Sign Language,All,26,snake,6,produces,0.8333
British Sign Language,All,26,snake,6,understands,0.8333
British Sign Language,All,27,snake,6,produces,0.3333
British Sign Language,All,27,snake,6,understands,0.6667
British Sign Language,All,28,snake,3,produces,0.6667
British Sign Language,All,28,snake,3,understands,1
British Sign Language,All,29,snake,7,produces,0.8571
British Sign Language,All,29,snake,7,understands,1
British Sign Language,All,30,snake,5,produces,0.6
British Sign Language,All,30,snake,5,understands,1
British Sign Language,All,31,snake,2,produces,0.5
British Sign Language,All,31,snake,2,understands,1
British Sign Language,All,32,snake,6,produces,0.6667
British Sign Language,All,32,snake,6,understands,1
British Sign Language,All,33,snake,5,produces,0.8
British Sign Language,All,33,snake,5,understands,1
British Sign Language,All,34,snake,2,produces,0.5
British Sign Language,All,34,snake,2,understands,1
British Sign Language,All,35,snake,2,produces,1
British Sign Language,All,35,snake,2,understands,1
British Sign Language,All,36,snake,3,produces,1
British Sign Language,All,36,snake,3,understands,1
Cantonese,All,16,蛇,46,produces,0
Cantonese,All,16,蛇,46,understands,0
Cantonese,All,17,蛇,61,produces,0.0492
Cantonese,All,17,蛇,61,understands,0
Cantonese,All,18,蛇,68,produces,0.0588
Cantonese,All,18,蛇,68,understands,0
Cantonese,All,19,蛇,66,produces,0.0758
Cantonese,All,19,蛇,66,understands,0
Cantonese,All,20,蛇,140,produces,0.1357
Cantonese,All,20,蛇,140,understands,0
Cantonese,All,21,蛇,120,produces,0.1667
Cantonese,All,21,蛇,120,understands,0
Cantonese,All,22,蛇,68,produces,0.1912
Cantonese,All,22,蛇,68,understands,0
Cantonese,All,23,蛇,74,produces,0.2297
Cantonese,All,23,蛇,74,understands,0
Cantonese,All,24,蛇,68,produces,0.2206
Cantonese,All,24,蛇,68,understands,0
Cantonese,All,25,蛇,65,produces,0.3385
Cantonese,All,25,蛇,65,understands,0
Cantonese,All,26,蛇,68,produces,0.3382
Cantonese,All,26,蛇,68,understands,0
Cantonese,All,27,蛇,62,produces,0.5484
Cantonese,All,27,蛇,62,understands,0
Cantonese,All,28,蛇,66,produces,0.5303
Cantonese,All,28,蛇,66,understands,0
Cantonese,All,29,蛇,72,produces,0.5278
Cantonese,All,29,蛇,72,understands,0
Cantonese,All,30,蛇,164,produces,0.689
Cantonese,All,30,蛇,164,understands,0
Catalan,All,16,serp,24,produces,0
Catalan,All,16,serp,24,understands,0
Catalan,All,17,serp,36,produces,0.0278
Catalan,All,17,serp,36,understands,0
Catalan,All,18,serp,51,produces,0.0588
Catalan,All,18,serp,51,understands,0
Catalan,All,19,serp,45,produces,0.0667
Catalan,All,19,serp,45,understands,0
Catalan,All,20,serp,56,produces,0.0893
Catalan,All,20,serp,56,understands,0
Catalan,All,21,serp,58,produces,0.1552
Catalan,All,21,serp,58,understands,0
Catalan,All,22,serp,50,produces,0.22
Catalan,All,22,serp,50,understands,0
Catalan,All,23,serp,66,produces,0.3182
Catalan,All,23,serp,66,understands,0
Catalan,All,24,serp,79,produces,0.481
Catalan,All,24,serp,79,understands,0
Catalan,All,25,serp,60,produces,0.5333
Catalan,All,25,serp,60,understands,0
Catalan,All,26,serp,65,produces,0.4308
Catalan,All,26,serp,65,understands,0
Catalan,All,27,serp,63,produces,0.5397
Catalan,All,27,serp,63,understands,0
Catalan,All,28,serp,81,produces,0.5802
Catalan,All,28,serp,81,understands,0
Catalan,All,29,serp,50,produces,0.86
Catalan,All,29,serp,50,understands,0
Catalan,All,30,serp,75,produces,0.76
Catalan,All,30,serp,75,understands,0
Czech,All,16,had,29,produces,0.069
Czech,All,16,had,29,understands,0
Czech,All,17,had,29,produces,0.0345
Czech,All,17,had,29,understands,0
Czech,All,18,had,45,produces,0.1556
Czech,All,18,had,45,understands,0
Czech,All,19,had,27,produces,0.1481
Czech,All,19,had,27,understands,0
Czech,All,20,had,26,produces,0.3462
Czech,All,20,had,26,understands,0
Czech,All,21,had,34,produces,0.4412
Czech,All,21,had,34,understands,0
Czech,All,22,had,36,produces,0.4167
Czech,All,22,had,36,understands,0
Czech,All,23,had,46,produces,0.4783
Czech,All,23,had,46,understands,0
Czech,All,24,had,35,produces,0.5143
Czech,All,24,had,35,understands,0
Czech,All,25,had,35,produces,0.4571
Czech,All,25,had,35,understands,0
Czech,All,26,had,22,produces,0.6818
Czech,All,26,had,22,understands,0
Czech,All,27,had,37,produces,0.5946
Czech,All,27,had,37,understands,0
Czech,All,28,had,26,produces,0.7692
Czech,All,28,had,26,understands,0
Czech,All,29,had,39,produces,0.6923
Czech,All,29,had,39,understands,0
Czech,All,30,had,27,produces,0.8148
