language,age,words,n,measure,prop
Italian,7,paletta,5,produces,0
Italian,7,paletta,5,understands,0
Italian,8,paletta,34,produces,0
Italian,8,paletta,34,understands,0.0294
Italian,9,paletta,38,produces,0
Italian,9,paletta,38,understands,0
Italian,10,paletta,53,produces,0
Italian,10,paletta,53,understands,0
Italian,11,paletta,42,produces,0
Italian,11,paletta,42,understands,0.119
Italian,12,paletta,69,produces,0
Italian,12,paletta,69,understands,0.1594
Italian,13,paletta,48,produces,0
Italian,13,paletta,48,understands,0.1667
Italian,14,paletta,40,produces,0
Italian,14,paletta,40,understands,0.35
Italian,15,paletta,68,produces,0
Italian,15,paletta,68,understands,0.3382
Italian,16,paletta,56,produces,0.0179
Italian,16,paletta,56,understands,0.4464
Italian,17,paletta,48,produces,0.1042
Italian,17,paletta,48,understands,0.4167
Italian,18,paletta,75,produces,0.0533
Italian,18,paletta,75,understands,0.24
Italian,19,paletta,58,produces,0.1897
Italian,19,paletta,58,understands,0.1552
Italian,20,paletta,83,produces,0.1325
Italian,20,paletta,83,understands,0.1687
Italian,21,paletta,67,produces,0.2388
Italian,21,paletta,67,understands,0.1343
Italian,22,paletta,77,produces,0.1818
Italian,22,paletta,77,understands,0.1688
Italian,23,paletta,70,produces,0.3714
Italian,23,paletta,70,understands,0.1571
Italian,24,paletta,85,produces,0.4941
Italian,24,paletta,85,understands,0.1176
Italian,25,paletta,39,produces,0.6923
Italian,25,paletta,39,understands,0
Italian,26,paletta,41,produces,0.6585
Italian,26,paletta,41,understands,0
Italian,27,paletta,43,produces,0.7442
Italian,27,paletta,43,understands,0
Italian,28,paletta,44,produces,0.7045
Italian,28,paletta,44,understands,0
Italian,29,paletta,37,produces,0.8108
Italian,29,paletta,37,understands,0
Italian,30,paletta,67,produces,0.791
Italian,30,paletta,67,understands,0
Italian,31,paletta,19,produces,0.7895
Italian,31,paletta,19,understands,0
Italian,32,paletta,23,produces,0.8261
Italian,32,paletta,23,understands,0
Italian,33,paletta,16,produces,0.875
Italian,33,paletta,16,understands,0
Italian,34,paletta,19,produces,0.8947
Italian,34,paletta,19,understands,0
Italian,35,paletta,15,produces,0.8667
Italian,35,paletta,15,understands,0
Italian,36,paletta,21,produces,0.8095
Italian,36,paletta,21,understands,0
Kigiriama,8,Mwiko,5,produces,0
Kigiriama,8,Mwiko,5,understands,0.2
Kigiriama,9,Mwiko,22,produces,0
Kigiriama,9,Mwiko,22,understands,0
Kigiriama,10,Mwiko,5,produces,0
Kigiriama,10,Mwiko,5,understands,0
Kigiriama,11,Mwiko,7,produces,0
Kigiriama,11,Mwiko,7,understands,0.2857
Kigiriama,12,Mwiko,30,produces,0
Kigiriama,12,Mwiko,30,understands,0.1667
Kigiriama,13,Mwiko,18,produces,0
Kigiriama,13,Mwiko,18,understands,0.2222
Kigiriama,14,Mwiko,16,produces,0
Kigiriama,14,Mwiko,16,understands,0.125
Kigiriama,15,Mwiko,16,produces,0
Kigiriama,15,Mwiko,16,understands,0.125
Kigiriama,16,Mwiko,1,produces,0
Kigiriama,16,Mwiko,1,understands,0
Kigiriama,17,Mwiko,6,produces,0
Kigiriama,17,Mwiko,6,understands,0
Kigiriama,18,Mwiko,13,produces,0
Kigiriama,18,Mwiko,13,understands,0
Kigiriama,19,Mwiko,8,produces,0
Kigiriama,19,Mwiko,8,understands,0
Kigiriama,20,Mwiko,14,produces,0.0714
Kigiriama,20,Mwiko,14,understands,0
Kigiriama,21,Mwiko,6,produces,0
Kigiriama,21,Mwiko,6,understands,0
Kigiriama,22,Mwiko,9,produces,0.5556
Kigiriama,22,Mwiko,9,understands,0
Kigiriama,23,Mwiko,4,produces,0.25
Kigiriama,23,Mwiko,4,understands,0
Kigiriama,24,Mwiko,7,produces,0.5714
Kigiriama,24,Mwiko,7,understands,0
Kigiriama,25,Mwiko,3,produces,0.3333
Kigiriama,25,Mwiko,3,understands,0
Kigiriama,26,Mwiko,6,produces,0.5
Kigiriama,26,Mwiko,6,understands,0
Kigiriama,27,Mwiko,4,produces,0.75
Kigiriama,27,Mwiko,4,understands,0
Kigiriama,28,Mwiko,1,produces,0
Kigiriama,28,Mwiko,1,understands,0
Kigiriama,29,Mwiko,5,produces,0.6
Kigiriama,29,Mwiko,5,understands,0
Kigiriama,30,Mwiko,1,produces,1
Kigiriama,30,Mwiko,1,understands,0
Kiswahili,8,Jembe,1,produces,0
Kiswahili,8,Jembe,1,understands,0
Kiswahili,9,Jembe,5,produces,0
Kiswahili,9,Jembe,5,understands,0
Kiswahili,10,Jembe,5,produces,0
Kiswahili,10,Jembe,5,understands,0
Kiswahili,11,Jembe,9,produces,0
Kiswahili,11,Jembe,9,understands,0.1111
Kiswahili,12,Jembe,6,produces,0
Kiswahili,12,Jembe,6,understands,0
Kiswahili,13,Jembe,6,produces,0
Kiswahili,13,Jembe,6,understands,0.3333
Kiswahili,14,Jembe,4,produces,0
Kiswahili,14,Jembe,4,understands,0.25
Kiswahili,15,Jembe,5,produces,0.2
Kiswahili,15,Jembe,5,understands,0.6
Kiswahili,23,Jembe,2,produces,0
Kiswahili,23,Jembe,2,understands,0
Kiswahili,24,Jembe,12,produces,0.1667
Kiswahili,24,Jembe,12,understands,0
Kiswahili,25,Jembe,10,produces,0.1
Kiswahili,25,Jembe,10,understands,0
Kiswahili,26,Jembe,13,produces,0.4615
Kiswahili,26,Jembe,13,understands,0
Kiswahili,27,Jembe,8,produces,0.25
Kiswahili,27,Jembe,8,understands,0
Kiswahili,28,Jembe,6,produces,0.5
Kiswahili,28,Jembe,6,understands,0
Kiswahili,29,Jembe,6,produces,0
Kiswahili,29,Jembe,6,understands,0
Kiswahili,30,Jembe,5,produces,0.8
Kiswahili,30,Jembe,5,understands,0
Russian,18,совок,42,produces,0.0476
Russian,18,совок,42,understands,0
Russian,19,совок,41,produces,0.0732
Russian,19,совок,41,understands,0
Russian,20,совок,45,produces,0.2222
Russian,20,совок,45,understands,0
Russian,21,совок,43,produces,0.2558
Russian,21,совок,43,understands,0
Russian,22,совок,51,produces,0.3529
Russian,22,совок,51,understands,0
Russian,23,совок,56,produces,0.3036
Russian,23,совок,56,understands,0
Russian,24,совок,61,produces,0.459
Russian,24,совок,61,understands,0
Russian,25,совок,66,produces,0.5303
Russian,25,совок,66,understands,0
Russian,26,совок,52,produces,0.4808
Russian,26,совок,52,understands,0
Russian,27,совок,60,produces,0.45
Russian,27,совок,60,understands,0
Russian,28,совок,60,produces,0.5167
Russian,28,совок,60,understands,0
Russian,29,совок,58,produces,0.6379
Russian,29,совок,58,understands,0
Russian,30,совок,77,produces,0.6364
Russian,30,совок,77,understands,0
Russian,31,совок,61,produces,0.6393
Russian,31,совок,61,understands,0
Russian,32,совок,55,produces,0.7455
Russian,32,совок,55,understands,0
Russian,33,совок,55,produces,0.7636
Russian,33,совок,55,understands,0
Russian,34,совок,58,produces,0.6897
Russian,34,совок,58,understands,0
Russian,35,совок,47,produces,0.8085
Russian,35,совок,47,understands,0
Russian,36,совок,49,produces,0.7143
Russian,36,совок,49,understands,0
British Sign Language,8,spade,4,produces,0
British Sign Language,8,spade,4,understands,0
British Sign Language,9,spade,4,produces,0
British Sign Language,9,spade,4,understands,0
British Sign Language,10,spade,4,produces,0
British Sign Language,10,spade,4,understands,0
British Sign Language,11,spade,6,produces,0
British Sign Language,11,spade,6,understands,0
British Sign Language,12,spade,6,produces,0
British Sign Language,12,spade,6,understands,0
British Sign Language,13,spade,6,produces,0
British Sign Language,13,spade,6,understands,0
British Sign Language,14,spade,7,produces,0
British Sign Language,14,spade,7,understands,0
British Sign Language,15,spade,6,produces,0
British Sign Language,15,spade,6,understands,0
British Sign Language,16,spade,7,produces,0
British Sign Language,16,spade,7,understands,0
British Sign Language,17,spade,7,produces,0
British Sign Language,17,spade,7,understands,0
British Sign Language,18,spade,8,produces,0
British Sign Language,18,spade,8,understands,0
British Sign Language,19,spade,8,produces,0
British Sign Language,19,spade,8,understands,0
British Sign Language,20,spade,11,produces,0.0909
British Sign Language,20,spade,11,understands,0.1818
British Sign Language,21,spade,5,produces,0
British Sign Language,21,spade,5,understands,0
British Sign Language,22,spade,6,produces,0.1667
British Sign Language,22,spade,6,understands,0.1667
British Sign Language,23,spade,7,produces,0.2857
British Sign Language,23,spade,7,understands,0.2857
British Sign Language,24,spade,5,produces,0.2
British Sign Language,24,spade,5,understands,0.2
British Sign Language,25,spade,7,produces,0.1429
British Sign Language,25,spade,7,understands,0.2857
British Sign Language,26,spade,6,produces,0.5
British Sign Language,26,spade,6,understands,0.5
British Sign Language,27,spade,6,produces,0
British Sign Language,27,spade,6,understands,0
British Sign Language,28,spade,3,produces,0
British Sign Language,28,spade,3,understands,0
British Sign Language,29,spade,7,produces,0.2857
British Sign Language,29,spade,7,understands,0.2857
British Sign Language,30,spade,5,produces,0.2
British Sign Language,30,spade,5,understands,0.2
British Sign Language,31,spade,2,produces,0.5
British Sign Language,31,spade,2,understands,0.5
British Sign Language,32,spade,6,produces,0.5
British Sign Language,32,spade,6,understands,0.6667
British Sign Language,33,spade,5,produces,0.4
