language,age,words,n,measure,prop
Italian,7,sputare,5,produces,0
Italian,7,sputare,5,understands,0
Italian,8,sputare,34,produces,0
Italian,8,sputare,34,understands,0.0588
Italian,9,sputare,38,produces,0
Italian,9,sputare,38,understands,0
Italian,10,sputare,53,produces,0
Italian,10,sputare,53,understands,0.0566
Italian,11,sputare,42,produces,0
Italian,11,sputare,42,understands,0.119
Italian,12,sputare,69,produces,0
Italian,12,sputare,69,understands,0.3043
Italian,13,sputare,48,produces,0
Italian,13,sputare,48,understands,0.2708
Italian,14,sputare,40,produces,0
Italian,14,sputare,40,understands,0.4
Italian,15,sputare,68,produces,0
Italian,15,sputare,68,understands,0.3382
Italian,16,sputare,56,produces,0
Italian,16,sputare,56,understands,0.375
Italian,17,sputare,48,produces,0.0417
Italian,17,sputare,48,understands,0.4167
Italian,18,sputare,75,produces,0.0133
Italian,18,sputare,75,understands,0.3067
Italian,19,sputare,58,produces,0
Italian,19,sputare,58,understands,0.1552
Italian,20,sputare,83,produces,0.0241
Italian,20,sputare,83,understands,0.1446
Italian,21,sputare,67,produces,0.0597
Italian,21,sputare,67,understands,0.1045
Italian,22,sputare,77,produces,0.1558
Italian,22,sputare,77,understands,0.1169
Italian,23,sputare,70,produces,0.1286
Italian,23,sputare,70,understands,0.2
Italian,24,sputare,85,produces,0.2588
Italian,24,sputare,85,understands,0.1176
Italian,25,sputare,39,produces,0.2564
Italian,25,sputare,39,understands,0
Italian,26,sputare,41,produces,0.2683
Italian,26,sputare,41,understands,0
Italian,27,sputare,43,produces,0.3721
Italian,27,sputare,43,understands,0
Italian,28,sputare,44,produces,0.4545
Italian,28,sputare,44,understands,0
Italian,29,sputare,37,produces,0.4865
Italian,29,sputare,37,understands,0
Italian,30,sputare,67,produces,0.6119
Italian,30,sputare,67,understands,0
Italian,31,sputare,19,produces,0.5789
Italian,31,sputare,19,understands,0
Italian,32,sputare,23,produces,0.5652
Italian,32,sputare,23,understands,0
Italian,33,sputare,16,produces,0.8125
Italian,33,sputare,16,understands,0
Italian,34,sputare,19,produces,0.7895
Italian,34,sputare,19,understands,0
Italian,35,sputare,15,produces,0.8
Italian,35,sputare,15,understands,0
Italian,36,sputare,21,produces,0.5238
Italian,36,sputare,21,understands,0
Latvian,17,spļaut,27,produces,0
Latvian,17,spļaut,27,understands,0
Latvian,18,spļaut,21,produces,0
Latvian,18,spļaut,21,understands,0
Latvian,19,spļaut,28,produces,0
Latvian,19,spļaut,28,understands,0
Latvian,20,spļaut,34,produces,0
Latvian,20,spļaut,34,understands,0
Latvian,21,spļaut,26,produces,0.0385
Latvian,21,spļaut,26,understands,0
Latvian,22,spļaut,32,produces,0.0312
Latvian,22,spļaut,32,understands,0
