language,sex,age,words,n,measure,prop
Cantonese,All,16,踎,46,produces,0
Cantonese,All,16,踎,46,understands,0
Cantonese,All,17,踎,61,produces,0.0164
Cantonese,All,17,踎,61,understands,0
Cantonese,All,18,踎,68,produces,0.0441
Cantonese,All,18,踎,68,understands,0
Cantonese,All,19,踎,66,produces,0.0303
Cantonese,All,19,踎,66,understands,0
Cantonese,All,20,踎,140,produces,0.1286
Cantonese,All,20,踎,140,understands,0
Cantonese,All,21,踎,120,produces,0.15
Cantonese,All,21,踎,120,understands,0
Cantonese,All,22,踎,68,produces,0.1618
Cantonese,All,22,踎,68,understands,0
Cantonese,All,23,踎,74,produces,0.2703
Cantonese,All,23,踎,74,understands,0
Cantonese,All,24,踎,68,produces,0.2353
Cantonese,All,24,踎,68,understands,0
Cantonese,All,25,踎,65,produces,0.3231
Cantonese,All,25,踎,65,understands,0
Cantonese,All,26,踎,68,produces,0.3824
Cantonese,All,26,踎,68,understands,0
Cantonese,All,27,踎,62,produces,0.4194
Cantonese,All,27,踎,62,understands,0
Cantonese,All,28,踎,66,produces,0.5
Cantonese,All,28,踎,66,understands,0
Cantonese,All,29,踎,72,produces,0.5694
Cantonese,All,29,踎,72,understands,0
Cantonese,All,30,踎,164,produces,0.5427
Cantonese,All,30,踎,164,understands,0
Mandarin (Beijing),All,16,蹲,70,produces,0.1286
Mandarin (Beijing),All,16,蹲,70,understands,0
Mandarin (Beijing),All,17,蹲,72,produces,0.4167
Mandarin (Beijing),All,17,蹲,72,understands,0
Mandarin (Beijing),All,18,蹲,71,produces,0.3662
Mandarin (Beijing),All,18,蹲,71,understands,0
Mandarin (Beijing),All,19,蹲,70,produces,0.4
Mandarin (Beijing),All,19,蹲,70,understands,0
Mandarin (Beijing),All,20,蹲,71,produces,0.5493
Mandarin (Beijing),All,20,蹲,71,understands,0
Mandarin (Beijing),All,21,蹲,70,produces,0.6
Mandarin (Beijing),All,21,蹲,70,understands,0
Mandarin (Beijing),All,22,蹲,71,produces,0.7324
Mandarin (Beijing),All,22,蹲,71,understands,0
Mandarin (Beijing),All,23,蹲,70,produces,0.7571
Mandarin (Beijing),All,23,蹲,70,understands,0
Mandarin (Beijing),All,24,蹲,70,produces,0.7857
Mandarin (Beijing),All,24,蹲,70,understands,0
Mandarin (Beijing),All,25,蹲,70,produces,0.8571
Mandarin (Beijing),All,25,蹲,70,understands,0
Mandarin (Beijing),All,26,蹲,71,produces,0.8873
Mandarin (Beijing),All,26,蹲,71,understands,0
Mandarin (Beijing),All,27,蹲,70,produces,0.8857
Mandarin (Beijing),All,27,蹲,70,understands,0
Mandarin (Beijing),All,28,蹲,70,produces,0.9286
Mandarin (Beijing),All,28,蹲,70,understands,0
Mandarin (Beijing),All,29,蹲,70,produces,0.9286
Mandarin (Beijing),All,29,蹲,70,understands,0
Mandarin (Beijing),All,30,蹲,70,produces,0.9571
Mandarin (Beijing),All,30,蹲,70,understands,0
Mandarin (Taiwanese),All,16,蹲,80,produces,0
Mandarin (Taiwanese),All,16,蹲,80,understands,0
Mandarin (Taiwanese),All,17,蹲,87,produces,0
Mandarin (Taiwanese),All,17,蹲,87,understands,0
Mandarin (Taiwanese),All,18,蹲,84,produces,0.0357
Mandarin (Taiwanese),All,18,蹲,84,understands,0
Mandarin (Taiwanese),All,19,蹲,84,produces,0.1071
Mandarin (Taiwanese),All,19,蹲,84,understands,0
Mandarin (Taiwanese),All,20,蹲,84,produces,0.0833
Mandarin (Taiwanese),All,20,蹲,84,understands,0
Mandarin (Taiwanese),All,21,蹲,88,produces,0.0682
Mandarin (Taiwanese),All,21,蹲,88,understands,0
Mandarin (Taiwanese),All,22,蹲,96,produces,0.1458
Mandarin (Taiwanese),All,22,蹲,96,understands,0
Mandarin (Taiwanese),All,23,蹲,105,produces,0.1714
Mandarin (Taiwanese),All,23,蹲,105,understands,0
Mandarin (Taiwanese),All,24,蹲,124,produces,0.2419
Mandarin (Taiwanese),All,24,蹲,124,understands,0
Mandarin (Taiwanese),All,25,蹲,110,produces,0.1909
Mandarin (Taiwanese),All,25,蹲,110,understands,0
Mandarin (Taiwanese),All,26,蹲,87,produces,0.3333
Mandarin (Taiwanese),All,26,蹲,87,understands,0
Mandarin (Taiwanese),All,27,蹲,92,produces,0.337
Mandarin (Taiwanese),All,27,蹲,92,understands,0
Mandarin (Taiwanese),All,28,蹲,100,produces,0.44
Mandarin (Taiwanese),All,28,蹲,100,understands,0
Mandarin (Taiwanese),All,29,蹲,88,produces,0.3977
Mandarin (Taiwanese),All,29,蹲,88,understands,0
Mandarin (Taiwanese),All,30,蹲,94,produces,0.5532
Mandarin (Taiwanese),All,30,蹲,94,understands,0
Mandarin (Taiwanese),All,31,蹲,88,produces,0.5341
Mandarin (Taiwanese),All,31,蹲,88,understands,0
Mandarin (Taiwanese),All,32,蹲,82,produces,0.5
Mandarin (Taiwanese),All,32,蹲,82,understands,0
Mandarin (Taiwanese),All,33,蹲,85,produces,0.6706
Mandarin (Taiwanese),All,33,蹲,85,understands,0
Mandarin (Taiwanese),All,34,蹲,77,produces,0.6234
Mandarin (Taiwanese),All,34,蹲,77,understands,0
Mandarin (Taiwanese),All,35,蹲,81,produces,0.7531
Mandarin (Taiwanese),All,35,蹲,81,understands,0
Mandarin (Taiwanese),All,36,蹲,81,produces,0.716
Mandarin (Taiwanese),All,36,蹲,81,understands,0
Cantonese,Female,16,踎,23,produces,0
Cantonese,Female,16,踎,23,understands,0
Cantonese,Male,16,踎,23,produces,0
Cantonese,Male,16,踎,23,understands,0
Cantonese,Female,17,踎,30,produces,0.0333
Cantonese,Female,17,踎,30,understands,0
Cantonese,Male,17,踎,31,produces,0
Cantonese,Male,17,踎,31,understands,0
Cantonese,Female,18,踎,33,produces,0.0909
Cantonese,Female,18,踎,33,understands,0
Cantonese,Male,18,踎,35,produces,0
Cantonese,Male,18,踎,35,understands,0
Cantonese,Female,19,踎,30,produces,0.0333
Cantonese,Female,19,踎,30,understands,0
Cantonese,Male,19,踎,36,produces,0.0278
Cantonese,Male,19,踎,36,understands,0
Cantonese,Female,20,踎,62,produces,0.1935
Cantonese,Female,20,踎,62,understands,0
Cantonese,Male,20,踎,78,produces,0.0769
Cantonese,Male,20,踎,78,understands,0
Cantonese,Female,21,踎,57,produces,0.193
Cantonese,Female,21,踎,57,understands,0
Cantonese,Male,21,踎,63,produces,0.1111
Cantonese,Male,21,踎,63,understands,0
Cantonese,Female,22,踎,34,produces,0.2353
Cantonese,Female,22,踎,34,understands,0
Cantonese,Male,22,踎,34,produces,0.0882
Cantonese,Male,22,踎,34,understands,0
Cantonese,Female,23,踎,37,produces,0.3243
Cantonese,Female,23,踎,37,understands,0
Cantonese,Male,23,踎,37,produces,0.2162
