language,age,words,n,measure,prop
Italian,7,stella,5,produces,0
Italian,7,stella,5,understands,0
Italian,8,stella,34,produces,0
Italian,8,stella,34,understands,0
Italian,9,stella,38,produces,0
Italian,9,stella,38,understands,0
Italian,10,stella,53,produces,0
Italian,10,stella,53,understands,0
Italian,11,stella,42,produces,0
Italian,11,stella,42,understands,0.0476
Italian,12,stella,69,produces,0
Italian,12,stella,69,understands,0.0145
Italian,13,stella,48,produces,0
Italian,13,stella,48,understands,0.0208
Italian,14,stella,40,produces,0
Italian,14,stella,40,understands,0.075
Italian,15,stella,68,produces,0.0147
Italian,15,stella,68,understands,0.1471
Italian,16,stella,56,produces,0.0536
Italian,16,stella,56,understands,0.2679
Italian,17,stella,48,produces,0.0625
Italian,17,stella,48,understands,0.25
Italian,18,stella,75,produces,0.0933
Italian,18,stella,75,understands,0.16
Italian,19,stella,58,produces,0.2069
Italian,19,stella,58,understands,0.1552
Italian,20,stella,83,produces,0.2289
Italian,20,stella,83,understands,0.1205
Italian,21,stella,67,produces,0.3134
Italian,21,stella,67,understands,0.1343
Italian,22,stella,77,produces,0.4545
Italian,22,stella,77,understands,0.1299
Italian,23,stella,70,produces,0.5429
Italian,23,stella,70,understands,0.2143
Italian,24,stella,85,produces,0.5529
Italian,24,stella,85,understands,0.1412
Italian,25,stella,39,produces,0.7179
Italian,25,stella,39,understands,0
Italian,26,stella,41,produces,0.6829
Italian,26,stella,41,understands,0
Italian,27,stella,43,produces,0.6977
Italian,27,stella,43,understands,0
Italian,28,stella,44,produces,0.8636
Italian,28,stella,44,understands,0
Italian,29,stella,37,produces,0.8378
Italian,29,stella,37,understands,0
Italian,30,stella,67,produces,0.806
Italian,30,stella,67,understands,0
Italian,31,stella,19,produces,0.8421
Italian,31,stella,19,understands,0
Italian,32,stella,23,produces,0.913
Italian,32,stella,23,understands,0
Italian,33,stella,16,produces,0.9375
Italian,33,stella,16,understands,0
Italian,34,stella,19,produces,0.9474
Italian,34,stella,19,understands,0
Italian,35,stella,15,produces,0.9333
Italian,35,stella,15,understands,0
Italian,36,stella,21,produces,0.8095
Italian,36,stella,21,understands,0
Japanese,8,星,6,produces,0
Japanese,8,星,6,understands,0
Japanese,9,星,10,produces,0
Japanese,9,星,10,understands,0
Japanese,10,星,8,produces,0
Japanese,10,星,8,understands,0
Japanese,11,星,87,produces,0
Japanese,11,星,87,understands,0.0115
Japanese,12,星,118,produces,0
Japanese,12,星,118,understands,0.0085
Japanese,13,星,23,produces,0
Japanese,13,星,23,understands,0.0435
Japanese,14,星,26,produces,0
Japanese,14,星,26,understands,0.0385
Japanese,15,星,72,produces,0.0139
Japanese,15,星,72,understands,0.1111
Japanese,16,星,46,produces,0.0435
Japanese,16,星,46,understands,0.0435
Japanese,17,星,77,produces,0.039
Japanese,17,星,77,understands,0.1429
Japanese,18,星,94,produces,0.0638
Japanese,18,星,94,understands,0.0957
Japanese,19,星,35,produces,0.0857
Japanese,19,星,35,understands,0
Japanese,20,星,59,produces,0.1864
Japanese,20,星,59,understands,0
Japanese,21,星,62,produces,0.2581
Japanese,21,星,62,understands,0
Japanese,22,星,31,produces,0.3226
Japanese,22,星,31,understands,0
Japanese,23,星,67,produces,0.3881
Japanese,23,星,67,understands,0
Japanese,24,星,33,produces,0.3333
Japanese,24,星,33,understands,0
Japanese,25,星,34,produces,0.5882
Japanese,25,星,34,understands,0
Japanese,26,星,33,produces,0.697
Japanese,26,星,33,understands,0
Japanese,27,星,15,produces,0.2667
Japanese,27,星,15,understands,0
Japanese,28,星,18,produces,0.6667
Japanese,28,星,18,understands,0
Japanese,29,星,17,produces,0.5882
Japanese,29,星,17,understands,0
Japanese,30,星,18,produces,0.7778
Japanese,30,星,18,understands,0
Japanese,31,星,18,produces,0.7222
Japanese,31,星,18,understands,0
Japanese,32,星,13,produces,0.9231
Japanese,32,星,13,understands,0
Japanese,33,星,16,produces,0.8125
Japanese,33,星,16,understands,0
Japanese,34,星,13,produces,0.8462
Japanese,34,星,13,understands,0
Japanese,35,星,31,produces,0.7742
Japanese,35,星,31,understands,0
Japanese,36,星,18,produces,0.8889
Japanese,36,星,18,understands,0
Kigiriama,16,Nyenyezi,1,produces,0
Kigiriama,16,Nyenyezi,1,understands,0
Kigiriama,17,Nyenyezi,6,produces,0
Kigiriama,17,Nyenyezi,6,understands,0
Kigiriama,18,Nyenyezi,13,produces,0.0769
Kigiriama,18,Nyenyezi,13,understands,0
Kigiriama,19,Nyenyezi,8,produces,0
Kigiriama,19,Nyenyezi,8,understands,0
Kigiriama,20,Nyenyezi,14,produces,0.0714
Kigiriama,20,Nyenyezi,14,understands,0
Kigiriama,21,Nyenyezi,6,produces,0
Kigiriama,21,Nyenyezi,6,understands,0
Kigiriama,22,Nyenyezi,9,produces,0.1111
Kigiriama,22,Nyenyezi,9,understands,0
Kigiriama,23,Nyenyezi,4,produces,0.25
Kigiriama,23,Nyenyezi,4,understands,0
Kigiriama,24,Nyenyezi,7,produces,0.1429
Kigiriama,24,Nyenyezi,7,understands,0
Kigiriama,25,Nyenyezi,3,produces,0.3333
Kigiriama,25,Nyenyezi,3,understands,0
Kigiriama,26,Nyenyezi,6,produces,0.1667
Kigiriama,26,Nyenyezi,6,understands,0
Kigiriama,27,Nyenyezi,4,produces,0.5
Kigiriama,27,Nyenyezi,4,understands,0
Kigiriama,28,Nyenyezi,1,produces,0
Kigiriama,28,Nyenyezi,1,understands,0
Kigiriama,29,Nyenyezi,5,produces,0.2
Kigiriama,29,Nyenyezi,5,understands,0
Kigiriama,30,Nyenyezi,1,produces,1
Kigiriama,30,Nyenyezi,1,understands,0
Kiswahili,8,Ota,1,produces,0
Kiswahili,8,Ota,1,understands,0
Kiswahili,9,Ota,5,produces,0
Kiswahili,9,Ota,5,understands,0
Kiswahili,10,Ota,5,produces,0
Kiswahili,10,Ota,5,understands,0
Kiswahili,11,Ota,9,produces,0
Kiswahili,11,Ota,9,understands,0.1111
Kiswahili,12,Ota,6,produces,0
Kiswahili,12,Ota,6,understands,0
Kiswahili,13,Ota,6,produces,0
Kiswahili,13,Ota,6,understands,0.1667
Kiswahili,14,Ota,4,produces,0
