language,age,words,n,measure,prop
Mandarin (Beijing),16,"踩, 蹬",70,produces,0.1214
Mandarin (Beijing),16,"踩, 蹬",70,understands,0
Mandarin (Beijing),17,"踩, 蹬",112,produces,0.2717
Mandarin (Beijing),17,"踩, 蹬",112,understands,0
Mandarin (Beijing),18,"踩, 蹬",121,produces,0.3021
Mandarin (Beijing),18,"踩, 蹬",121,understands,0
Mandarin (Beijing),19,"踩, 蹬",120,produces,0.3842
Mandarin (Beijing),19,"踩, 蹬",120,understands,0
Mandarin (Beijing),20,"踩, 蹬",121,produces,0.4583
Mandarin (Beijing),20,"踩, 蹬",121,understands,0
Mandarin (Beijing),21,"踩, 蹬",119,produces,0.4921
Mandarin (Beijing),21,"踩, 蹬",119,understands,0
Mandarin (Beijing),22,"踩, 蹬",117,produces,0.6383
Mandarin (Beijing),22,"踩, 蹬",117,understands,0
Mandarin (Beijing),23,"踩, 蹬",120,produces,0.7211
Mandarin (Beijing),23,"踩, 蹬",120,understands,0
Mandarin (Beijing),24,"踩, 蹬",120,produces,0.6684
Mandarin (Beijing),24,"踩, 蹬",120,understands,0
Mandarin (Beijing),25,"踩, 蹬",113,produces,0.7705
Mandarin (Beijing),25,"踩, 蹬",113,understands,0
Mandarin (Beijing),26,"踩, 蹬",118,produces,0.7778
Mandarin (Beijing),26,"踩, 蹬",118,understands,0
Mandarin (Beijing),27,"踩, 蹬",114,produces,0.8207
Mandarin (Beijing),27,"踩, 蹬",114,understands,0
Mandarin (Beijing),28,"踩, 蹬",114,produces,0.8261
Mandarin (Beijing),28,"踩, 蹬",114,understands,0
Mandarin (Beijing),29,"踩, 蹬",119,produces,0.8519
Mandarin (Beijing),29,"踩, 蹬",119,understands,0
Mandarin (Beijing),30,"踩, 蹬",110,produces,0.9111
Mandarin (Beijing),30,"踩, 蹬",110,understands,0
Cantonese,16,"踩, 步",46,produces,0.0109
Cantonese,16,"踩, 步",46,understands,0
Cantonese,17,"踩, 步",61,produces,0.0246
Cantonese,17,"踩, 步",61,understands,0
Cantonese,18,"踩, 步",68,produces,0.0882
Cantonese,18,"踩, 步",68,understands,0
Cantonese,19,"踩, 步",66,produces,0.0909
Cantonese,19,"踩, 步",66,understands,0
Cantonese,20,"踩, 步",140,produces,0.1857
Cantonese,20,"踩, 步",140,understands,0
Cantonese,21,"踩, 步",120,produces,0.1667
Cantonese,21,"踩, 步",120,understands,0
Cantonese,22,"踩, 步",68,produces,0.2132
Cantonese,22,"踩, 步",68,understands,0
Cantonese,23,"踩, 步",74,produces,0.2568
Cantonese,23,"踩, 步",74,understands,0
Cantonese,24,"踩, 步",68,produces,0.3235
Cantonese,24,"踩, 步",68,understands,0
Cantonese,25,"踩, 步",65,produces,0.3769
Cantonese,25,"踩, 步",65,understands,0
Cantonese,26,"踩, 步",68,produces,0.3971
Cantonese,26,"踩, 步",68,understands,0
Cantonese,27,"踩, 步",62,produces,0.4435
Cantonese,27,"踩, 步",62,understands,0
Cantonese,28,"踩, 步",66,produces,0.5
Cantonese,28,"踩, 步",66,understands,0
Cantonese,29,"踩, 步",72,produces,0.5972
Cantonese,29,"踩, 步",72,understands,0
Cantonese,30,"踩, 步",164,produces,0.6128
Cantonese,30,"踩, 步",164,understands,0
French (Quebecois),16,marche,47,produces,0
French (Quebecois),16,marche,47,understands,0
French (Quebecois),17,marche,62,produces,0.0323
French (Quebecois),17,marche,62,understands,0
French (Quebecois),18,marche,99,produces,0.0808
French (Quebecois),18,marche,99,understands,0
French (Quebecois),19,marche,91,produces,0.0659
French (Quebecois),19,marche,91,understands,0
French (Quebecois),20,marche,196,produces,0.0714
French (Quebecois),20,marche,196,understands,0
French (Quebecois),21,marche,109,produces,0.1835
French (Quebecois),21,marche,109,understands,0
French (Quebecois),22,marche,86,produces,0.2674
French (Quebecois),22,marche,86,understands,0
French (Quebecois),23,marche,86,produces,0.3023
French (Quebecois),23,marche,86,understands,0
French (Quebecois),24,marche,132,produces,0.2955
French (Quebecois),24,marche,132,understands,0
French (Quebecois),25,marche,87,produces,0.3448
French (Quebecois),25,marche,87,understands,0
French (Quebecois),26,marche,95,produces,0.4947
French (Quebecois),26,marche,95,understands,0
French (Quebecois),27,marche,74,produces,0.5
French (Quebecois),27,marche,74,understands,0
French (Quebecois),28,marche,61,produces,0.623
French (Quebecois),28,marche,61,understands,0
French (Quebecois),29,marche,70,produces,0.6571
French (Quebecois),29,marche,70,understands,0
French (Quebecois),30,marche,100,produces,0.57
French (Quebecois),30,marche,100,understands,0
