language,age,words,n,measure,prop
Italian,7,fermarsi,5,produces,0
Italian,7,fermarsi,5,understands,0
Italian,8,fermarsi,34,produces,0
Italian,8,fermarsi,34,understands,0.0294
Italian,9,fermarsi,38,produces,0
Italian,9,fermarsi,38,understands,0.0263
Italian,10,fermarsi,53,produces,0
Italian,10,fermarsi,53,understands,0
Italian,11,fermarsi,42,produces,0
Italian,11,fermarsi,42,understands,0.2619
Italian,12,fermarsi,69,produces,0
Italian,12,fermarsi,69,understands,0.2609
Italian,13,fermarsi,48,produces,0
Italian,13,fermarsi,48,understands,0.3125
Italian,14,fermarsi,40,produces,0
Italian,14,fermarsi,40,understands,0.425
Italian,15,fermarsi,68,produces,0
Italian,15,fermarsi,68,understands,0.3382
Italian,16,fermarsi,56,produces,0
Italian,16,fermarsi,56,understands,0.5357
Italian,17,fermarsi,48,produces,0.0417
Italian,17,fermarsi,48,understands,0.5417
Italian,18,fermarsi,75,produces,0
Italian,18,fermarsi,75,understands,0.3333
Italian,19,fermarsi,58,produces,0.0345
Italian,19,fermarsi,58,understands,0.2241
Italian,20,fermarsi,83,produces,0.0241
Italian,20,fermarsi,83,understands,0.1807
Italian,21,fermarsi,67,produces,0.1791
Italian,21,fermarsi,67,understands,0.1791
Italian,22,fermarsi,77,produces,0.1429
Italian,22,fermarsi,77,understands,0.1688
Italian,23,fermarsi,70,produces,0.1286
Italian,23,fermarsi,70,understands,0.2143
Italian,24,fermarsi,85,produces,0.2
Italian,24,fermarsi,85,understands,0.1412
Italian,25,fermarsi,39,produces,0.3333
Italian,25,fermarsi,39,understands,0
Italian,26,fermarsi,41,produces,0.439
Italian,26,fermarsi,41,understands,0
Italian,27,fermarsi,43,produces,0.3953
Italian,27,fermarsi,43,understands,0
Italian,28,fermarsi,44,produces,0.4545
Italian,28,fermarsi,44,understands,0
Italian,29,fermarsi,37,produces,0.5676
Italian,29,fermarsi,37,understands,0
Italian,30,fermarsi,67,produces,0.597
Italian,30,fermarsi,67,understands,0
Italian,31,fermarsi,19,produces,0.7368
Italian,31,fermarsi,19,understands,0
Italian,32,fermarsi,23,produces,0.5652
Italian,32,fermarsi,23,understands,0
Italian,33,fermarsi,16,produces,0.625
Italian,33,fermarsi,16,understands,0
Italian,34,fermarsi,19,produces,0.8947
Italian,34,fermarsi,19,understands,0
Italian,35,fermarsi,15,produces,0.6667
Italian,35,fermarsi,15,understands,0
Italian,36,fermarsi,21,produces,0.6667
Italian,36,fermarsi,21,understands,0
Japanese,8,やめる,6,produces,0
Japanese,8,やめる,6,understands,0
Japanese,9,やめる,10,produces,0
Japanese,9,やめる,10,understands,0
Japanese,10,やめる,8,produces,0
Japanese,10,やめる,8,understands,0
Japanese,11,やめる,87,produces,0
Japanese,11,やめる,87,understands,0.069
Japanese,12,やめる,118,produces,0
Japanese,12,やめる,118,understands,0.0763
Japanese,13,やめる,23,produces,0
Japanese,13,やめる,23,understands,0.1739
Japanese,14,やめる,26,produces,0
Japanese,14,やめる,26,understands,0.2308
Japanese,15,やめる,72,produces,0
Japanese,15,やめる,72,understands,0.2361
Japanese,16,"やめる, とまる",46,produces,0
Japanese,16,"やめる, とまる",46,understands,0.1754
Japanese,17,"やめる, とまる",77,produces,0
Japanese,17,"やめる, とまる",77,understands,0.3191
Japanese,18,"やめる, とまる",94,produces,0.02
Japanese,18,"やめる, とまる",94,understands,0.1067
Japanese,19,"とまる, やめる",35,produces,0
Japanese,19,"とまる, やめる",35,understands,0
Japanese,20,"とまる, やめる",59,produces,0.0593
Japanese,20,"とまる, やめる",59,understands,0
Japanese,21,"とまる, やめる",62,produces,0.0565
Japanese,21,"とまる, やめる",62,understands,0
Japanese,22,"とまる, やめる",31,produces,0.129
Japanese,22,"とまる, やめる",31,understands,0
Japanese,23,"とまる, やめる",67,produces,0.1194
Japanese,23,"とまる, やめる",67,understands,0
Japanese,24,"とまる, やめる",33,produces,0.1818
Japanese,24,"とまる, やめる",33,understands,0
Japanese,25,"とまる, やめる",34,produces,0.2794
Japanese,25,"とまる, やめる",34,understands,0
Japanese,26,"とまる, やめる",33,produces,0.4091
Japanese,26,"とまる, やめる",33,understands,0
Japanese,27,"とまる, やめる",15,produces,0.2
Japanese,27,"とまる, やめる",15,understands,0
Japanese,28,"とまる, やめる",18,produces,0.3611
Japanese,28,"とまる, やめる",18,understands,0
Japanese,29,"とまる, やめる",17,produces,0.5294
Japanese,29,"とまる, やめる",17,understands,0
Japanese,30,"とまる, やめる",18,produces,0.5833
Japanese,30,"とまる, やめる",18,understands,0
Japanese,31,"とまる, やめる",18,produces,0.4722
Japanese,31,"とまる, やめる",18,understands,0
Japanese,32,"とまる, やめる",13,produces,0.6154
Japanese,32,"とまる, やめる",13,understands,0
Japanese,33,"とまる, やめる",16,produces,0.8125
Japanese,33,"とまる, やめる",16,understands,0
Japanese,34,"とまる, やめる",13,produces,0.6923
Japanese,34,"とまる, やめる",13,understands,0
Japanese,35,"とまる, やめる",31,produces,0.7903
Japanese,35,"とまる, やめる",31,understands,0
Japanese,36,"とまる, やめる",18,produces,0.7222
Japanese,36,"とまる, やめる",18,understands,0
Kiswahili,8,Acha,1,produces,0
Kiswahili,8,Acha,1,understands,0
Kiswahili,9,Acha,5,produces,0
Kiswahili,9,Acha,5,understands,0.6
Kiswahili,10,Acha,5,produces,0
Kiswahili,10,Acha,5,understands,0.4
Kiswahili,11,Acha,9,produces,0
Kiswahili,11,Acha,9,understands,0.8889
Kiswahili,12,Acha,6,produces,0
Kiswahili,12,Acha,6,understands,0.8333
Kiswahili,13,Acha,6,produces,0
Kiswahili,13,Acha,6,understands,1
Kiswahili,14,Acha,4,produces,0.25
Kiswahili,14,Acha,4,understands,1
Kiswahili,15,Acha,5,produces,0
Kiswahili,15,Acha,5,understands,1
Kiswahili,23,Acha,2,produces,0.5
