language,sex,age,words,n,measure,prop
French (French),All,8,fort/e,54,produces,0
French (French),All,8,fort/e,54,understands,0
French (French),All,9,fort/e,11,produces,0
French (French),All,9,fort/e,11,understands,0
French (French),All,10,fort/e,13,produces,0
French (French),All,10,fort/e,13,understands,0
French (French),All,11,fort/e,42,produces,0
French (French),All,11,fort/e,42,understands,0
French (French),All,12,fort/e,64,produces,0
French (French),All,12,fort/e,64,understands,0
French (French),All,13,fort/e,116,produces,0
French (French),All,13,fort/e,116,understands,0.0086
French (French),All,14,fort/e,40,produces,0
French (French),All,14,fort/e,40,understands,0
French (French),All,15,fort/e,26,produces,0
French (French),All,15,fort/e,26,understands,0
French (French),All,16,fort/e,98,produces,0.0306
French (French),All,16,fort/e,98,understands,0
French (French),All,17,fort/e,52,produces,0
French (French),All,17,fort/e,52,understands,0
French (French),All,18,fort/e,54,produces,0.1481
French (French),All,18,fort/e,54,understands,0
French (French),All,19,fort/e,42,produces,0.0714
French (French),All,19,fort/e,42,understands,0
French (French),All,20,fort/e,81,produces,0.0741
French (French),All,20,fort/e,81,understands,0
French (French),All,21,fort/e,102,produces,0.1275
French (French),All,21,fort/e,102,understands,0
French (French),All,22,fort/e,103,produces,0.1068
French (French),All,22,fort/e,103,understands,0
French (French),All,23,fort/e,118,produces,0.161
French (French),All,23,fort/e,118,understands,0
French (French),All,24,fort/e,173,produces,0.1387
French (French),All,24,fort/e,173,understands,0
French (French),All,25,fort/e,87,produces,0.2529
French (French),All,25,fort/e,87,understands,0
French (French),All,26,fort/e,64,produces,0.3281
French (French),All,26,fort/e,64,understands,0
French (French),All,27,fort/e,54,produces,0.3704
French (French),All,27,fort/e,54,understands,0
French (French),All,28,fort/e,76,produces,0.3684
French (French),All,28,fort/e,76,understands,0
French (French),All,29,fort/e,67,produces,0.5075
French (French),All,29,fort/e,67,understands,0
French (French),All,30,fort/e,68,produces,0.5147
French (French),All,30,fort/e,68,understands,0
French (Quebecois),All,16,fort,47,produces,0
French (Quebecois),All,16,fort,47,understands,0
French (Quebecois),All,17,fort,62,produces,0.0484
French (Quebecois),All,17,fort,62,understands,0
French (Quebecois),All,18,fort,99,produces,0.0505
French (Quebecois),All,18,fort,99,understands,0
French (Quebecois),All,19,fort,91,produces,0.033
French (Quebecois),All,19,fort,91,understands,0
French (Quebecois),All,20,fort,196,produces,0.0459
French (Quebecois),All,20,fort,196,understands,0
French (Quebecois),All,21,fort,109,produces,0.1101
French (Quebecois),All,21,fort,109,understands,0
French (Quebecois),All,22,fort,86,produces,0.1279
French (Quebecois),All,22,fort,86,understands,0
French (Quebecois),All,23,fort,86,produces,0.2093
French (Quebecois),All,23,fort,86,understands,0
French (Quebecois),All,24,fort,132,produces,0.2121
French (Quebecois),All,24,fort,132,understands,0
French (Quebecois),All,25,fort,87,produces,0.2874
French (Quebecois),All,25,fort,87,understands,0
French (Quebecois),All,26,fort,95,produces,0.4526
French (Quebecois),All,26,fort,95,understands,0
French (Quebecois),All,27,fort,74,produces,0.473
French (Quebecois),All,27,fort,74,understands,0
French (Quebecois),All,28,fort,61,produces,0.6066
French (Quebecois),All,28,fort,61,understands,0
French (Quebecois),All,29,fort,70,produces,0.5857
French (Quebecois),All,29,fort,70,understands,0
French (Quebecois),All,30,fort,100,produces,0.48
French (Quebecois),All,30,fort,100,understands,0
Hebrew,All,25,חזק,82,produces,0.4512
Hebrew,All,25,חזק,82,understands,0
Hebrew,All,26,חזק,80,produces,0.5625
Hebrew,All,26,חזק,80,understands,0
Hebrew,All,27,חזק,68,produces,0.5882
Hebrew,All,27,חזק,68,understands,0
Hebrew,All,28,חזק,57,produces,0.7368
Hebrew,All,28,חזק,57,understands,0
Hebrew,All,29,חזק,47,produces,0.766
Hebrew,All,29,חזק,47,understands,0
Hebrew,All,30,חזק,28,produces,0.6429
Hebrew,All,30,חזק,28,understands,0
Hebrew,All,31,חזק,35,produces,0.8571
Hebrew,All,31,חזק,35,understands,0
Hebrew,All,32,חזק,36,produces,0.8333
Hebrew,All,32,חזק,36,understands,0
Hebrew,All,33,חזק,21,produces,0.8095
Hebrew,All,33,חזק,21,understands,0
Hebrew,All,34,חזק,27,produces,1
Hebrew,All,34,חזק,27,understands,0
Hebrew,All,35,חזק,18,produces,0.7222
Hebrew,All,35,חזק,18,understands,0
Hebrew,All,36,חזק,5,produces,0.6
Hebrew,All,36,חזק,5,understands,0
Hungarian,All,16,erős,21,produces,0
Hungarian,All,16,erős,21,understands,0
Hungarian,All,17,erős,18,produces,0.1111
Hungarian,All,17,erős,18,understands,0
Hungarian,All,18,erős,18,produces,0
Hungarian,All,18,erős,18,understands,0
Hungarian,All,19,erős,26,produces,0.0769
Hungarian,All,19,erős,26,understands,0
Hungarian,All,20,erős,18,produces,0.1111
Hungarian,All,20,erős,18,understands,0
Hungarian,All,21,erős,36,produces,0.1944
Hungarian,All,21,erős,36,understands,0
Hungarian,All,22,erős,27,produces,0.1111
Hungarian,All,22,erős,27,understands,0
Hungarian,All,23,erős,18,produces,0.2222
Hungarian,All,23,erős,18,understands,0
Hungarian,All,24,erős,38,produces,0.2368
Hungarian,All,24,erős,38,understands,0
Hungarian,All,25,erős,43,produces,0.4419
Hungarian,All,25,erős,43,understands,0
Hungarian,All,26,erős,23,produces,0.4783
Hungarian,All,26,erős,23,understands,0
Hungarian,All,27,erős,26,produces,0.4615
Hungarian,All,27,erős,26,understands,0
Hungarian,All,28,erős,30,produces,0.5
Hungarian,All,28,erős,30,understands,0
Hungarian,All,29,erős,12,produces,0.6667
Hungarian,All,29,erős,12,understands,0
Hungarian,All,30,erős,18,produces,0.6667
Hungarian,All,30,erős,18,understands,0
Latvian,All,17,stiprs/stipri,27,produces,0.037
Latvian,All,17,stiprs/stipri,27,understands,0
Latvian,All,18,stiprs/stipri,21,produces,0
Latvian,All,18,stiprs/stipri,21,understands,0
Latvian,All,19,stiprs/stipri,28,produces,0.0357
Latvian,All,19,stiprs/stipri,28,understands,0
Latvian,All,20,stiprs/stipri,34,produces,0.0588
Latvian,All,20,stiprs/stipri,34,understands,0
Latvian,All,21,stiprs/stipri,26,produces,0.1923
Latvian,All,21,stiprs/stipri,26,understands,0
Latvian,All,22,stiprs/stipri,32,produces,0.1875
Latvian,All,22,stiprs/stipri,32,understands,0
Latvian,All,23,stiprs/stipri,25,produces,0.12
Latvian,All,23,stiprs/stipri,25,understands,0
Latvian,All,24,stiprs/stipri,30,produces,0.3667
Latvian,All,24,stiprs/stipri,30,understands,0
Latvian,All,25,stiprs/stipri,29,produces,0.1724
Latvian,All,25,stiprs/stipri,29,understands,0
Latvian,All,26,stiprs/stipri,22,produces,0.4091
Latvian,All,26,stiprs/stipri,22,understands,0
Latvian,All,27,stiprs/stipri,18,produces,0.5
Latvian,All,27,stiprs/stipri,18,understands,0
Latvian,All,28,stiprs/stipri,23,produces,0.4348
Latvian,All,28,stiprs/stipri,23,understands,0
Latvian,All,29,stiprs/stipri,24,produces,0.6667
Latvian,All,29,stiprs/stipri,24,understands,0
Latvian,All,30,stiprs/stipri,26,produces,0.5769
Latvian,All,30,stiprs/stipri,26,understands,0
Latvian,All,31,stiprs/stipri,19,produces,0.6842
Latvian,All,31,stiprs/stipri,19,understands,0
Latvian,All,32,stiprs/stipri,25,produces,0.6
Latvian,All,32,stiprs/stipri,25,understands,0
Latvian,All,33,stiprs/stipri,31,produces,0.7419
Latvian,All,33,stiprs/stipri,31,understands,0
Latvian,All,34,stiprs/stipri,17,produces,0.7647
Latvian,All,34,stiprs/stipri,17,understands,0
Latvian,All,35,stiprs/stipri,21,produces,0.7619
Latvian,All,35,stiprs/stipri,21,understands,0
Latvian,All,36,stiprs/stipri,22,produces,0.5909
Latvian,All,36,stiprs/stipri,22,understands,0
Russian,All,18,"сильный, сильно",42,produces,0.0119
Russian,All,18,"сильный, сильно",42,understands,0
Russian,All,19,"сильный, сильно",41,produces,0.0122
Russian,All,19,"сильный, сильно",41,understands,0
Russian,All,20,"сильный, сильно",45,produces,0.0333
Russian,All,20,"сильный, сильно",45,understands,0
Russian,All,21,"сильный, сильно",43,produces,0.1744
Russian,All,21,"сильный, сильно",43,understands,0
Russian,All,22,"сильный, сильно",51,produces,0.1176
Russian,All,22,"сильный, сильно",51,understands,0
Russian,All,23,"сильный, сильно",56,produces,0.2143
Russian,All,23,"сильный, сильно",56,understands,0
Russian,All,24,"сильный, сильно",61,produces,0.2049
Russian,All,24,"сильный, сильно",61,understands,0
Russian,All,25,"сильный, сильно",66,produces,0.3182
Russian,All,25,"сильный, сильно",66,understands,0
Russian,All,26,"сильный, сильно",52,produces,0.3269
Russian,All,26,"сильный, сильно",52,understands,0
Russian,All,27,"сильный, сильно",60,produces,0.4
Russian,All,27,"сильный, сильно",60,understands,0
Russian,All,28,"сильный, сильно",60,produces,0.4917
Russian,All,28,"сильный, сильно",60,understands,0
Russian,All,29,"сильный, сильно",58,produces,0.5345
Russian,All,29,"сильный, сильно",58,understands,0
Russian,All,30,"сильный, сильно",77,produces,0.5909
Russian,All,30,"сильный, сильно",77,understands,0
Russian,All,31,"сильный, сильно",61,produces,0.5984
Russian,All,31,"сильный, сильно",61,understands,0
Russian,All,32,"сильный, сильно",55,produces,0.6091
Russian,All,32,"сильный, сильно",55,understands,0
Russian,All,33,"сильный, сильно",55,produces,0.6182
Russian,All,33,"сильный, сильно",55,understands,0
Russian,All,34,"сильный, сильно",58,produces,0.681
Russian,All,34,"сильный, сильно",58,understands,0
Russian,All,35,"сильный, сильно",47,produces,0.7447
Russian,All,35,"сильный, сильно",47,understands,0
Russian,All,36,"сильный, сильно",49,produces,0.7551
Russian,All,36,"сильный, сильно",49,understands,0
Slovak,All,17,silno,70,produces,0.0857
Slovak,All,17,silno,70,understands,0
Slovak,All,18,silno,65,produces,0.0462
Slovak,All,18,silno,65,understands,0
Slovak,All,19,silno,56,produces,0.1071
Slovak,All,19,silno,56,understands,0
Slovak,All,20,silno,62,produces,0.129
Slovak,All,20,silno,62,understands,0
Slovak,All,21,silno,81,produces,0.1605
Slovak,All,21,silno,81,understands,0
Slovak,All,22,silno,53,produces,0.1509
Slovak,All,22,silno,53,understands,0
Slovak,All,23,silno,59,produces,0.2881
Slovak,All,23,silno,59,understands,0
Slovak,All,24,silno,59,produces,0.5085
Slovak,All,24,silno,59,understands,0
Slovak,All,25,silno,69,produces,0.4348
Slovak,All,25,silno,69,understands,0
Slovak,All,26,silno,78,produces,0.5641
Slovak,All,26,silno,78,understands,0
Slovak,All,27,silno,62,produces,0.6452
Slovak,All,27,silno,62,understands,0
Slovak,All,28,silno,86,produces,0.5698
Slovak,All,28,silno,86,understands,0
Slovak,All,29,silno,75,produces,0.6533
Slovak,All,29,silno,75,understands,0
Slovak,All,30,silno,49,produces,0.7347
Slovak,All,30,silno,49,understands,0
Slovak,All,31,silno,29,produces,0.7241
