language,age,words,n,measure,prop
Korean,8,공부해,57,produces,0
Korean,8,공부해,57,understands,0
Korean,9,공부해,73,produces,0
Korean,9,공부해,73,understands,0
Korean,10,공부해,77,produces,0
Korean,10,공부해,77,understands,0
Korean,11,공부해,80,produces,0
Korean,11,공부해,80,understands,0.0125
Korean,12,공부해,74,produces,0
Korean,12,공부해,74,understands,0.0135
Korean,13,공부해,127,produces,0.0079
Korean,13,공부해,127,understands,0.063
Korean,14,공부해,87,produces,0.0115
Korean,14,공부해,87,understands,0.046
Korean,15,공부해,85,produces,0.0235
Korean,15,공부해,85,understands,0.1176
Korean,16,공부해,86,produces,0.0233
Korean,16,공부해,86,understands,0.1279
Korean,17,공부해,63,produces,0.0317
Korean,17,공부해,63,understands,0.0476
Korean,18,공부해,88,produces,0.0227
Korean,18,공부해,88,understands,0
Korean,19,공부해,77,produces,0.013
Korean,19,공부해,77,understands,0
Korean,20,공부해,88,produces,0.0341
Korean,20,공부해,88,understands,0
Korean,21,공부해,79,produces,0.0759
Korean,21,공부해,79,understands,0
Korean,22,공부해,87,produces,0.1264
Korean,22,공부해,87,understands,0
Korean,23,공부해,87,produces,0.092
Korean,23,공부해,87,understands,0
Korean,24,공부해,107,produces,0.215
Korean,24,공부해,107,understands,0
Korean,25,공부해,95,produces,0.4421
Korean,25,공부해,95,understands,0
Korean,26,공부해,91,produces,0.3187
Korean,26,공부해,91,understands,0
Korean,27,공부해,104,produces,0.3846
Korean,27,공부해,104,understands,0
Korean,28,공부해,89,produces,0.4831
Korean,28,공부해,89,understands,0
Korean,29,공부해,101,produces,0.495
Korean,29,공부해,101,understands,0
Korean,30,공부해,81,produces,0.5926
Korean,30,공부해,81,understands,0
Korean,31,공부해,79,produces,0.6582
Korean,31,공부해,79,understands,0
Korean,32,공부해,70,produces,0.6143
Korean,32,공부해,70,understands,0
Korean,33,공부해,79,produces,0.6456
Korean,33,공부해,79,understands,0
Korean,34,공부해,79,produces,0.7342
Korean,34,공부해,79,understands,0
Korean,35,공부해,74,produces,0.7973
Korean,35,공부해,74,understands,0
Korean,36,공부해,75,produces,0.8267
Korean,36,공부해,75,understands,0
Arabic (Saudi),8,أذاكر/ يذاكر,19,produces,0
Arabic (Saudi),8,أذاكر/ يذاكر,19,understands,0
Arabic (Saudi),9,أذاكر/ يذاكر,18,produces,0
Arabic (Saudi),9,أذاكر/ يذاكر,18,understands,0
Arabic (Saudi),10,أذاكر/ يذاكر,25,produces,0
Arabic (Saudi),10,أذاكر/ يذاكر,25,understands,0
Arabic (Saudi),11,أذاكر/ يذاكر,21,produces,0
Arabic (Saudi),11,أذاكر/ يذاكر,21,understands,0
Arabic (Saudi),12,أذاكر/ يذاكر,19,produces,0
Arabic (Saudi),12,أذاكر/ يذاكر,19,understands,0
Arabic (Saudi),13,أذاكر/ يذاكر,36,produces,0
Arabic (Saudi),13,أذاكر/ يذاكر,36,understands,0
Arabic (Saudi),14,أذاكر/ يذاكر,20,produces,0
Arabic (Saudi),14,أذاكر/ يذاكر,20,understands,0
Arabic (Saudi),15,أذاكر/ يذاكر,19,produces,0
Arabic (Saudi),15,أذاكر/ يذاكر,19,understands,0
Arabic (Saudi),16,أذاكر/ يذاكر,18,produces,0.0556
Arabic (Saudi),16,أذاكر/ يذاكر,18,understands,0
