language,sex,age,words,n,measure,prop
Cantonese,All,16,啜*(手指),46,produces,0
Cantonese,All,16,啜*(手指),46,understands,0
Cantonese,All,17,啜*(手指),61,produces,0.0656
Cantonese,All,17,啜*(手指),61,understands,0
Cantonese,All,18,啜*(手指),68,produces,0.0735
Cantonese,All,18,啜*(手指),68,understands,0
Cantonese,All,19,啜*(手指),66,produces,0.0303
Cantonese,All,19,啜*(手指),66,understands,0
Cantonese,All,20,啜*(手指),140,produces,0.1429
Cantonese,All,20,啜*(手指),140,understands,0
Cantonese,All,21,啜*(手指),120,produces,0.15
Cantonese,All,21,啜*(手指),120,understands,0
Cantonese,All,22,啜*(手指),68,produces,0.1471
Cantonese,All,22,啜*(手指),68,understands,0
Cantonese,All,23,啜*(手指),74,produces,0.1486
Cantonese,All,23,啜*(手指),74,understands,0
Cantonese,All,24,啜*(手指),68,produces,0.2353
Cantonese,All,24,啜*(手指),68,understands,0
Cantonese,All,25,啜*(手指),65,produces,0.2923
Cantonese,All,25,啜*(手指),65,understands,0
Cantonese,All,26,啜*(手指),68,produces,0.4118
Cantonese,All,26,啜*(手指),68,understands,0
Cantonese,All,27,啜*(手指),62,produces,0.3065
Cantonese,All,27,啜*(手指),62,understands,0
Cantonese,All,28,啜*(手指),66,produces,0.3182
Cantonese,All,28,啜*(手指),66,understands,0
Cantonese,All,29,啜*(手指),72,produces,0.5
Cantonese,All,29,啜*(手指),72,understands,0
Cantonese,All,30,啜*(手指),164,produces,0.5122
Cantonese,All,30,啜*(手指),164,understands,0
Spanish (Argentinian),All,16,chupar,47,produces,0.0638
Spanish (Argentinian),All,16,chupar,47,understands,0
Spanish (Argentinian),All,17,chupar,49,produces,0.0408
Spanish (Argentinian),All,17,chupar,49,understands,0
Spanish (Argentinian),All,18,chupar,62,produces,0.0484
Spanish (Argentinian),All,18,chupar,62,understands,0
Spanish (Argentinian),All,19,chupar,44,produces,0.0455
Spanish (Argentinian),All,19,chupar,44,understands,0
Spanish (Argentinian),All,20,chupar,46,produces,0.0217
Spanish (Argentinian),All,20,chupar,46,understands,0
Spanish (Argentinian),All,21,chupar,41,produces,0.0732
Spanish (Argentinian),All,21,chupar,41,understands,0
Spanish (Argentinian),All,22,chupar,57,produces,0.0351
Spanish (Argentinian),All,22,chupar,57,understands,0
Spanish (Argentinian),All,23,chupar,49,produces,0.1224
Spanish (Argentinian),All,23,chupar,49,understands,0
Spanish (Argentinian),All,24,chupar,75,produces,0.1067
Spanish (Argentinian),All,24,chupar,75,understands,0
Spanish (Argentinian),All,25,chupar,43,produces,0.2558
Spanish (Argentinian),All,25,chupar,43,understands,0
Spanish (Argentinian),All,26,chupar,45,produces,0.1556
Spanish (Argentinian),All,26,chupar,45,understands,0
Spanish (Argentinian),All,27,chupar,44,produces,0.2045
Spanish (Argentinian),All,27,chupar,44,understands,0
Spanish (Argentinian),All,28,chupar,42,produces,0.2619
Spanish (Argentinian),All,28,chupar,42,understands,0
Spanish (Argentinian),All,29,chupar,65,produces,0.3846
Spanish (Argentinian),All,29,chupar,65,understands,0
Spanish (Argentinian),All,30,chupar,69,produces,0.4058
Spanish (Argentinian),All,30,chupar,69,understands,0
Spanish (Argentinian),All,31,chupar,2,produces,0
Spanish (Argentinian),All,31,chupar,2,understands,0
Spanish (Argentinian),All,32,chupar,1,produces,1
Spanish (Argentinian),All,32,chupar,1,understands,0
Spanish (Argentinian),All,33,chupar,2,produces,1
Spanish (Argentinian),All,33,chupar,2,understands,0
Cantonese,Female,16,啜*(手指),23,produces,0
Cantonese,Female,16,啜*(手指),23,understands,0
Cantonese,Male,16,啜*(手指),23,produces,0
Cantonese,Male,16,啜*(手指),23,understands,0
Cantonese,Female,17,啜*(手指),30,produces,0.0333
Cantonese,Female,17,啜*(手指),30,understands,0
Cantonese,Male,17,啜*(手指),31,produces,0.0968
Cantonese,Male,17,啜*(手指),31,understands,0
Cantonese,Female,18,啜*(手指),33,produces,0.1212
Cantonese,Female,18,啜*(手指),33,understands,0
Cantonese,Male,18,啜*(手指),35,produces,0.0286
Cantonese,Male,18,啜*(手指),35,understands,0
Cantonese,Female,19,啜*(手指),30,produces,0.0333
