language,sex,age,words,n,measure,prop
Dutch,All,8,snoep(je),7,produces,0
Dutch,All,8,snoep(je),7,understands,0
Dutch,All,9,snoep(je),94,produces,0
Dutch,All,9,snoep(je),94,understands,0.0106
Dutch,All,10,snoep(je),128,produces,0
Dutch,All,10,snoep(je),128,understands,0.0078
Dutch,All,11,snoep(je),9,produces,0
Dutch,All,11,snoep(je),9,understands,0
Dutch,All,12,snoep(je),7,produces,0
Dutch,All,12,snoep(je),7,understands,0
Dutch,All,13,snoep(je),6,produces,0
Dutch,All,13,snoep(je),6,understands,0
Dutch,All,14,snoep(je),35,produces,0
Dutch,All,14,snoep(je),35,understands,0.0571
Dutch,All,15,snoep(je),6,produces,0
Dutch,All,15,snoep(je),6,understands,0
Dutch,All,16,snoep(je),9,produces,0
Dutch,All,16,snoep(je),9,understands,0
Dutch,All,17,snoep(je),49,produces,0
Dutch,All,17,snoep(je),49,understands,0
Dutch,All,18,snoep(je),68,produces,0.0147
Dutch,All,18,snoep(je),68,understands,0
Dutch,All,19,snoep(je),7,produces,0
Dutch,All,19,snoep(je),7,understands,0
Dutch,All,20,snoep(je),7,produces,0.1429
Dutch,All,20,snoep(je),7,understands,0
Dutch,All,21,snoep(je),7,produces,0
Dutch,All,21,snoep(je),7,understands,0
Dutch,All,22,snoep(je),7,produces,0
Dutch,All,22,snoep(je),7,understands,0
Dutch,All,23,snoep(je),51,produces,0.549
Dutch,All,23,snoep(je),51,understands,0
Dutch,All,24,snoep(je),31,produces,0.3871
Dutch,All,24,snoep(je),31,understands,0
Dutch,All,25,snoep(je),6,produces,0.6667
Dutch,All,25,snoep(je),6,understands,0
Dutch,All,26,snoep(je),6,produces,0.3333
Dutch,All,26,snoep(je),6,understands,0
Dutch,All,27,snoep(je),5,produces,1
Dutch,All,27,snoep(je),5,understands,0
Dutch,All,28,snoep(je),6,produces,0.8333
Dutch,All,28,snoep(je),6,understands,0
Dutch,All,29,snoep(je),23,produces,0.8696
Dutch,All,29,snoep(je),23,understands,0
Dutch,All,30,snoep(je),24,produces,1
Dutch,All,30,snoep(je),24,understands,0
Dutch,All,31,snoep(je),2,produces,1
Dutch,All,31,snoep(je),2,understands,0
English (British),All,12,sweets,27,produces,0
English (British),All,12,sweets,27,understands,0
English (British),All,13,sweets,7,produces,0
English (British),All,13,sweets,7,understands,0
English (British),All,14,sweets,64,produces,0.0156
English (British),All,14,sweets,64,understands,0.0938
English (British),All,15,sweets,88,produces,0.0114
English (British),All,15,sweets,88,understands,0.0795
English (British),All,16,sweets,118,produces,0.0085
English (British),All,16,sweets,118,understands,0.1271
English (British),All,17,sweets,197,produces,0.0203
English (British),All,17,sweets,197,understands,0.1726
English (British),All,18,sweets,118,produces,0.0339
English (British),All,18,sweets,118,understands,0.161
English (British),All,19,sweets,109,produces,0.1101
English (British),All,19,sweets,109,understands,0.3486
English (British),All,20,sweets,144,produces,0.1944
English (British),All,20,sweets,144,understands,0.4236
English (British),All,21,sweets,75,produces,0.2267
English (British),All,21,sweets,75,understands,0.5067
English (British),All,22,sweets,28,produces,0.3214
English (British),All,22,sweets,28,understands,0.5357
English (British),All,23,sweets,112,produces,0.4107
English (British),All,23,sweets,112,understands,0.6786
English (British),All,24,sweets,87,produces,0.4023
English (British),All,24,sweets,87,understands,0.6207
English (British),All,25,sweets,36,produces,0.4722
English (British),All,25,sweets,36,understands,0.5833
Irish,All,17,milseáin,2,produces,0
Irish,All,17,milseáin,2,understands,0
Irish,All,18,milseáin,1,produces,1
Irish,All,18,milseáin,1,understands,0
Irish,All,19,milseáin,2,produces,0
Irish,All,19,milseáin,2,understands,0
Irish,All,20,milseáin,1,produces,0
Irish,All,20,milseáin,1,understands,0
Irish,All,21,milseáin,3,produces,0
Irish,All,21,milseáin,3,understands,0
Irish,All,22,milseáin,4,produces,0.5
Irish,All,22,milseáin,4,understands,0
Irish,All,23,milseáin,4,produces,0.25
Irish,All,23,milseáin,4,understands,0
Irish,All,24,milseáin,4,produces,0.25
Irish,All,24,milseáin,4,understands,0
Irish,All,25,milseáin,6,produces,0.5
Irish,All,25,milseáin,6,understands,0
Irish,All,26,milseáin,10,produces,0.5
Irish,All,26,milseáin,10,understands,0
Irish,All,27,milseáin,5,produces,0.6
Irish,All,27,milseáin,5,understands,0
