language,age,words,n,measure,prop
Italian,7,maestro/a,5,produces,0
Italian,7,maestro/a,5,understands,0
Italian,8,maestro/a,34,produces,0
Italian,8,maestro/a,34,understands,0.0588
Italian,9,maestro/a,38,produces,0
Italian,9,maestro/a,38,understands,0.0263
Italian,10,maestro/a,53,produces,0
Italian,10,maestro/a,53,understands,0.0377
Italian,11,maestro/a,42,produces,0.0238
Italian,11,maestro/a,42,understands,0.0714
Italian,12,maestro/a,69,produces,0
Italian,12,maestro/a,69,understands,0.087
Italian,13,maestro/a,48,produces,0.0208
Italian,13,maestro/a,48,understands,0.1042
Italian,14,maestro/a,40,produces,0
Italian,14,maestro/a,40,understands,0.025
Italian,15,maestro/a,68,produces,0
Italian,15,maestro/a,68,understands,0.0882
Italian,16,maestro/a,56,produces,0
Italian,16,maestro/a,56,understands,0.1607
Italian,17,maestro/a,48,produces,0.0208
Italian,17,maestro/a,48,understands,0.1875
Italian,18,maestro/a,75,produces,0.04
Italian,18,maestro/a,75,understands,0.16
Italian,19,maestro/a,58,produces,0.0517
Italian,19,maestro/a,58,understands,0.1724
Italian,20,maestro/a,83,produces,0.0241
Italian,20,maestro/a,83,understands,0.1325
Italian,21,maestro/a,67,produces,0.0448
Italian,21,maestro/a,67,understands,0.1493
Italian,22,maestro/a,77,produces,0.1429
Italian,22,maestro/a,77,understands,0.1558
Italian,23,maestro/a,70,produces,0.1429
Italian,23,maestro/a,70,understands,0.1714
Italian,24,maestro/a,85,produces,0.2
Italian,24,maestro/a,85,understands,0.1176
Italian,25,maestro/a,39,produces,0.2051
Italian,25,maestro/a,39,understands,0
Italian,26,maestro/a,41,produces,0.4146
Italian,26,maestro/a,41,understands,0
Italian,27,maestro/a,43,produces,0.2791
Italian,27,maestro/a,43,understands,0
Italian,28,maestro/a,44,produces,0.4091
Italian,28,maestro/a,44,understands,0
Italian,29,maestro/a,37,produces,0.4595
Italian,29,maestro/a,37,understands,0
Italian,30,maestro/a,67,produces,0.5821
Italian,30,maestro/a,67,understands,0
Italian,31,maestro/a,19,produces,0.6316
Italian,31,maestro/a,19,understands,0
Italian,32,maestro/a,23,produces,0.6522
Italian,32,maestro/a,23,understands,0
Italian,33,maestro/a,16,produces,0.8125
Italian,33,maestro/a,16,understands,0
Italian,34,maestro/a,19,produces,0.9474
Italian,34,maestro/a,19,understands,0
Italian,35,maestro/a,15,produces,0.7333
Italian,35,maestro/a,15,understands,0
Italian,36,maestro/a,21,produces,0.619
Italian,36,maestro/a,21,understands,0
Japanese,8,せんせい,6,produces,0
Japanese,8,せんせい,6,understands,0
Japanese,9,せんせい,10,produces,0
Japanese,9,せんせい,10,understands,0.1
Japanese,10,せんせい,8,produces,0
Japanese,10,せんせい,8,understands,0
Japanese,11,せんせい,87,produces,0
Japanese,11,せんせい,87,understands,0.046
Japanese,12,せんせい,118,produces,0
