language,sex,age,words,n,measure,prop
Hungarian,All,16,** az óvónéni neve,21,produces,0
Hungarian,All,16,** az óvónéni neve,21,understands,0
Hungarian,All,17,** az óvónéni neve,18,produces,0
Hungarian,All,17,** az óvónéni neve,18,understands,0
Hungarian,All,18,** az óvónéni neve,18,produces,0.1111
Hungarian,All,18,** az óvónéni neve,18,understands,0
Hungarian,All,19,** az óvónéni neve,26,produces,0.0769
Hungarian,All,19,** az óvónéni neve,26,understands,0
Hungarian,All,20,** az óvónéni neve,18,produces,0.1111
Hungarian,All,20,** az óvónéni neve,18,understands,0
Hungarian,All,21,** az óvónéni neve,36,produces,0.1944
Hungarian,All,21,** az óvónéni neve,36,understands,0
Hungarian,All,22,** az óvónéni neve,27,produces,0.2593
Hungarian,All,22,** az óvónéni neve,27,understands,0
Hungarian,All,23,** az óvónéni neve,18,produces,0.2778
Hungarian,All,23,** az óvónéni neve,18,understands,0
Hungarian,All,24,** az óvónéni neve,38,produces,0.2632
Hungarian,All,24,** az óvónéni neve,38,understands,0
Hungarian,All,25,** az óvónéni neve,43,produces,0.3953
Hungarian,All,25,** az óvónéni neve,43,understands,0
Hungarian,All,26,** az óvónéni neve,23,produces,0.4348
Hungarian,All,26,** az óvónéni neve,23,understands,0
Hungarian,All,27,** az óvónéni neve,26,produces,0.3462
Hungarian,All,27,** az óvónéni neve,26,understands,0
Hungarian,All,28,** az óvónéni neve,30,produces,0.4333
Hungarian,All,28,** az óvónéni neve,30,understands,0
Hungarian,All,29,** az óvónéni neve,12,produces,0.5
Hungarian,All,29,** az óvónéni neve,12,understands,0
Hungarian,All,30,** az óvónéni neve,18,produces,0.5556
Hungarian,All,30,** az óvónéni neve,18,understands,0
Portuguese (European),All,16,Nome do(a) Educador(a),144,produces,0.1042
Portuguese (European),All,16,Nome do(a) Educador(a),144,understands,0
Portuguese (European),All,17,Nome do(a) Educador(a),158,produces,0.0949
Portuguese (European),All,17,Nome do(a) Educador(a),158,understands,0
Portuguese (European),All,18,Nome do(a) Educador(a),203,produces,0.2709
Portuguese (European),All,18,Nome do(a) Educador(a),203,understands,0
Portuguese (European),All,19,Nome do(a) Educador(a),196,produces,0.3163
Portuguese (European),All,19,Nome do(a) Educador(a),196,understands,0
Portuguese (European),All,20,Nome do(a) Educador(a),218,produces,0.4633
Portuguese (European),All,20,Nome do(a) Educador(a),218,understands,0
Portuguese (European),All,21,Nome do(a) Educador(a),208,produces,0.4808
Portuguese (European),All,21,Nome do(a) Educador(a),208,understands,0
Portuguese (European),All,22,Nome do(a) Educador(a),213,produces,0.5915
Portuguese (European),All,22,Nome do(a) Educador(a),213,understands,0
Portuguese (European),All,23,Nome do(a) Educador(a),199,produces,0.6281
Portuguese (European),All,23,Nome do(a) Educador(a),199,understands,0
