language,sex,age,words,n,measure,prop
American Sign Language,All,8,TEAR/RIP,1,produces,0
American Sign Language,All,8,TEAR/RIP,1,understands,0
American Sign Language,All,9,"TEAR, TEAR_RIP",4,produces,0
American Sign Language,All,9,"TEAR, TEAR_RIP",4,understands,0
American Sign Language,All,10,"TEAR, TEAR_RIP, TEAR/RIP",5,produces,0
American Sign Language,All,10,"TEAR, TEAR_RIP, TEAR/RIP",5,understands,0.1429
American Sign Language,All,11,"TEAR, TEAR_RIP",3,produces,0
American Sign Language,All,11,"TEAR, TEAR_RIP",3,understands,0.2
American Sign Language,All,12,"TEAR, TEAR_RIP, TEAR/RIP",4,produces,0
American Sign Language,All,12,"TEAR, TEAR_RIP, TEAR/RIP",4,understands,0.1667
American Sign Language,All,13,"TEAR, TEAR/RIP",4,produces,0
American Sign Language,All,13,"TEAR, TEAR/RIP",4,understands,0
American Sign Language,All,14,TEAR/RIP,1,produces,0
American Sign Language,All,14,TEAR/RIP,1,understands,0
American Sign Language,All,15,"TEAR, TEAR_RIP, TEAR/RIP",3,produces,0
American Sign Language,All,15,"TEAR, TEAR_RIP, TEAR/RIP",3,understands,0.25
American Sign Language,All,16,"TEAR, TEAR_RIP",2,produces,0
American Sign Language,All,16,"TEAR, TEAR_RIP",2,understands,0.25
American Sign Language,All,17,"TEAR, TEAR_RIP, TEAR/RIP",5,produces,0
American Sign Language,All,17,"TEAR, TEAR_RIP, TEAR/RIP",5,understands,0.5
American Sign Language,All,18,"TEAR, TEAR_RIP, TEAR/RIP",11,produces,0.2222
American Sign Language,All,18,"TEAR, TEAR_RIP, TEAR/RIP",11,understands,0.5
American Sign Language,All,19,"TEAR, TEAR_RIP",6,produces,0.0909
American Sign Language,All,19,"TEAR, TEAR_RIP",6,understands,0.4545
American Sign Language,All,20,"TEAR, TEAR_RIP",3,produces,0.2
American Sign Language,All,20,"TEAR, TEAR_RIP",3,understands,0.2
American Sign Language,All,21,"TEAR, TEAR_RIP, TEAR/RIP",4,produces,0
American Sign Language,All,21,"TEAR, TEAR_RIP, TEAR/RIP",4,understands,0.8333
American Sign Language,All,22,"TEAR, TEAR_RIP",10,produces,0.3333
American Sign Language,All,22,"TEAR, TEAR_RIP",10,understands,0.5
American Sign Language,All,23,"TEAR, TEAR_RIP, TEAR/RIP",5,produces,0.4286
American Sign Language,All,23,"TEAR, TEAR_RIP, TEAR/RIP",5,understands,0.5714
American Sign Language,All,24,"TEAR, TEAR_RIP",9,produces,0.1333
American Sign Language,All,24,"TEAR, TEAR_RIP",9,understands,0.2667
American Sign Language,All,25,"TEAR, TEAR_RIP, TEAR/RIP",13,produces,0.25
American Sign Language,All,25,"TEAR, TEAR_RIP, TEAR/RIP",13,understands,0.625
American Sign Language,All,26,"TEAR, TEAR_RIP",4,produces,0.125
American Sign Language,All,26,"TEAR, TEAR_RIP",4,understands,0.625
American Sign Language,All,27,"TEAR, TEAR_RIP, TEAR/RIP",7,produces,0.3333
American Sign Language,All,27,"TEAR, TEAR_RIP, TEAR/RIP",7,understands,0.5833
American Sign Language,All,28,"TEAR, TEAR_RIP, TEAR/RIP",7,produces,0.7
American Sign Language,All,28,"TEAR, TEAR_RIP, TEAR/RIP",7,understands,0.7
American Sign Language,All,29,"TEAR, TEAR_RIP",6,produces,0.6667
American Sign Language,All,29,"TEAR, TEAR_RIP",6,understands,0.9167
American Sign Language,All,30,"TEAR, TEAR_RIP, TEAR/RIP",7,produces,0.6364
American Sign Language,All,30,"TEAR, TEAR_RIP, TEAR/RIP",7,understands,0.6364
American Sign Language,All,31,"TEAR, TEAR_RIP, TEAR/RIP",9,produces,0.5333
American Sign Language,All,31,"TEAR, TEAR_RIP, TEAR/RIP",9,understands,0.5333
American Sign Language,All,32,"TEAR, TEAR_RIP, TEAR/RIP",15,produces,0.7273
American Sign Language,All,32,"TEAR, TEAR_RIP, TEAR/RIP",15,understands,0.5455
American Sign Language,All,33,"TEAR, TEAR_RIP, TEAR/RIP",6,produces,0.5
American Sign Language,All,33,"TEAR, TEAR_RIP, TEAR/RIP",6,understands,0.8
American Sign Language,All,34,"TEAR, TEAR_RIP, TEAR/RIP",7,produces,0.6667
American Sign Language,All,34,"TEAR, TEAR_RIP, TEAR/RIP",7,understands,0.75
American Sign Language,All,35,"TEAR, TEAR_RIP, TEAR/RIP",7,produces,0.3636
American Sign Language,All,35,"TEAR, TEAR_RIP, TEAR/RIP",7,understands,0.7273
American Sign Language,All,36,"TEAR, TEAR_RIP",3,produces,0.3333
American Sign Language,All,36,"TEAR, TEAR_RIP",3,understands,0.8333
British Sign Language,All,8,tear,4,produces,0
British Sign Language,All,8,tear,4,understands,0
British Sign Language,All,9,tear,4,produces,0
British Sign Language,All,9,tear,4,understands,0
British Sign Language,All,10,tear,4,produces,0
British Sign Language,All,10,tear,4,understands,0
British Sign Language,All,11,tear,6,produces,0
British Sign Language,All,11,tear,6,understands,0
British Sign Language,All,12,tear,6,produces,0
British Sign Language,All,12,tear,6,understands,0
British Sign Language,All,13,tear,6,produces,0
British Sign Language,All,13,tear,6,understands,0
British Sign Language,All,14,tear,7,produces,0
British Sign Language,All,14,tear,7,understands,0
British Sign Language,All,15,tear,6,produces,0
British Sign Language,All,15,tear,6,understands,0
British Sign Language,All,16,tear,7,produces,0
British Sign Language,All,16,tear,7,understands,0
British Sign Language,All,17,tear,7,produces,0
British Sign Language,All,17,tear,7,understands,0
British Sign Language,All,18,tear,8,produces,0
British Sign Language,All,18,tear,8,understands,0
British Sign Language,All,19,tear,8,produces,0
British Sign Language,All,19,tear,8,understands,0
British Sign Language,All,20,tear,11,produces,0.0909
British Sign Language,All,20,tear,11,understands,0.0909
British Sign Language,All,21,tear,5,produces,0
British Sign Language,All,21,tear,5,understands,0
British Sign Language,All,22,tear,6,produces,0.1667
British Sign Language,All,22,tear,6,understands,0.1667
British Sign Language,All,23,tear,7,produces,0.1429
British Sign Language,All,23,tear,7,understands,0.1429
British Sign Language,All,24,tear,5,produces,0.2
British Sign Language,All,24,tear,5,understands,0.2
British Sign Language,All,25,tear,7,produces,0.2857
British Sign Language,All,25,tear,7,understands,0.4286
British Sign Language,All,26,tear,6,produces,0.1667
British Sign Language,All,26,tear,6,understands,0.5
British Sign Language,All,27,tear,6,produces,0
British Sign Language,All,27,tear,6,understands,0
British Sign Language,All,28,tear,3,produces,0
British Sign Language,All,28,tear,3,understands,0
British Sign Language,All,29,tear,7,produces,0.1429
British Sign Language,All,29,tear,7,understands,0.4286
British Sign Language,All,30,tear,5,produces,0.2
British Sign Language,All,30,tear,5,understands,0.2
British Sign Language,All,31,tear,2,produces,0.5
British Sign Language,All,31,tear,2,understands,0.5
British Sign Language,All,32,tear,6,produces,0.1667
British Sign Language,All,32,tear,6,understands,0.1667
British Sign Language,All,33,tear,5,produces,0.2
British Sign Language,All,33,tear,5,understands,0.6
British Sign Language,All,34,tear,2,produces,0
British Sign Language,All,34,tear,2,understands,0.5
British Sign Language,All,35,tear,2,produces,0
British Sign Language,All,35,tear,2,understands,0
British Sign Language,All,36,tear,3,produces,0.6667
British Sign Language,All,36,tear,3,understands,1
Cantonese,All,16,搣開/撕開,46,produces,0.0217
Cantonese,All,16,搣開/撕開,46,understands,0
Cantonese,All,17,搣開/撕開,61,produces,0.0656
Cantonese,All,17,搣開/撕開,61,understands,0
Cantonese,All,18,搣開/撕開,68,produces,0.0294
Cantonese,All,18,搣開/撕開,68,understands,0
Cantonese,All,19,搣開/撕開,66,produces,0.0758
Cantonese,All,19,搣開/撕開,66,understands,0
Cantonese,All,20,搣開/撕開,140,produces,0.1643
Cantonese,All,20,搣開/撕開,140,understands,0
Cantonese,All,21,搣開/撕開,120,produces,0.2083
Cantonese,All,21,搣開/撕開,120,understands,0
Cantonese,All,22,搣開/撕開,68,produces,0.1765
Cantonese,All,22,搣開/撕開,68,understands,0
Cantonese,All,23,搣開/撕開,74,produces,0.3919
Cantonese,All,23,搣開/撕開,74,understands,0
Cantonese,All,24,搣開/撕開,68,produces,0.4118
Cantonese,All,24,搣開/撕開,68,understands,0
Cantonese,All,25,搣開/撕開,65,produces,0.3692
Cantonese,All,25,搣開/撕開,65,understands,0
Cantonese,All,26,搣開/撕開,68,produces,0.5735
Cantonese,All,26,搣開/撕開,68,understands,0
Cantonese,All,27,搣開/撕開,62,produces,0.5323
Cantonese,All,27,搣開/撕開,62,understands,0
Cantonese,All,28,搣開/撕開,66,produces,0.5909
Cantonese,All,28,搣開/撕開,66,understands,0
Cantonese,All,29,搣開/撕開,72,produces,0.7361
Cantonese,All,29,搣開/撕開,72,understands,0
Cantonese,All,30,搣開/撕開,164,produces,0.7134
Cantonese,All,30,搣開/撕開,164,understands,0
Croatian,All,8,trgati,23,produces,0
Croatian,All,8,trgati,23,understands,0
Croatian,All,9,trgati,25,produces,0
Croatian,All,9,trgati,25,understands,0.08
Croatian,All,10,trgati,22,produces,0
Croatian,All,10,trgati,22,understands,0
Croatian,All,11,trgati,25,produces,0
Croatian,All,11,trgati,25,understands,0.12
Croatian,All,12,trgati,35,produces,0
Croatian,All,12,trgati,35,understands,0.0571
Croatian,All,13,trgati,34,produces,0
Croatian,All,13,trgati,34,understands,0.3235
Croatian,All,14,trgati,28,produces,0
Croatian,All,14,trgati,28,understands,0.2857
Croatian,All,15,trgati,24,produces,0
Croatian,All,15,trgati,24,understands,0.375
Croatian,All,16,"trgati, poderati",47,produces,0.0333
Croatian,All,16,"trgati, poderati",47,understands,0.2333
Croatian,All,17,"poderati, trgati",25,produces,0.04
Croatian,All,17,"poderati, trgati",25,understands,0
Croatian,All,18,"poderati, trgati",22,produces,0.0227
Croatian,All,18,"poderati, trgati",22,understands,0
Croatian,All,19,"poderati, trgati",21,produces,0.0476
Croatian,All,19,"poderati, trgati",21,understands,0
Croatian,All,20,"poderati, trgati",26,produces,0.0769
Croatian,All,20,"poderati, trgati",26,understands,0
Croatian,All,21,"poderati, trgati",29,produces,0.069
Croatian,All,21,"poderati, trgati",29,understands,0
Croatian,All,22,"poderati, trgati",24,produces,0.0833
Croatian,All,22,"poderati, trgati",24,understands,0
Croatian,All,23,"poderati, trgati",26,produces,0.1538
Croatian,All,23,"poderati, trgati",26,understands,0
Croatian,All,24,"poderati, trgati",30,produces,0.1167
Croatian,All,24,"poderati, trgati",30,understands,0
Croatian,All,25,"poderati, trgati",30,produces,0.2
Croatian,All,25,"poderati, trgati",30,understands,0
Croatian,All,26,"poderati, trgati",29,produces,0.3621
Croatian,All,26,"poderati, trgati",29,understands,0
Croatian,All,27,"poderati, trgati",25,produces,0.3
Croatian,All,27,"poderati, trgati",25,understands,0
Croatian,All,28,"poderati, trgati",21,produces,0.4762
Croatian,All,28,"poderati, trgati",21,understands,0
Croatian,All,29,"poderati, trgati",28,produces,0.5
Croatian,All,29,"poderati, trgati",28,understands,0
Croatian,All,30,"poderati, trgati",28,produces,0.375
Croatian,All,30,"poderati, trgati",28,understands,0
Danish,All,16,rive i stykker,184,produces,0.0054
Danish,All,16,rive i stykker,184,understands,0
Danish,All,17,rive i stykker,176,produces,0.0057
Danish,All,17,rive i stykker,176,understands,0
Danish,All,18,rive i stykker,160,produces,0.0187
Danish,All,18,rive i stykker,160,understands,0
Danish,All,19,rive i stykker,205,produces,0.0146
Danish,All,19,rive i stykker,205,understands,0
Danish,All,20,rive i stykker,196,produces,0.0357
Danish,All,20,rive i stykker,196,understands,0
Danish,All,21,rive i stykker,236,produces,0.0212
Danish,All,21,rive i stykker,236,understands,0
Danish,All,22,rive i stykker,235,produces,0.0511
Danish,All,22,rive i stykker,235,understands,0
Danish,All,23,rive i stykker,190,produces,0.0737
Danish,All,23,rive i stykker,190,understands,0
Danish,All,24,rive i stykker,216,produces,0.1111
Danish,All,24,rive i stykker,216,understands,0
Danish,All,25,rive i stykker,138,produces,0.1449
Danish,All,25,rive i stykker,138,understands,0
Danish,All,26,rive i stykker,206,produces,0.2864
Danish,All,26,rive i stykker,206,understands,0
Danish,All,27,rive i stykker,176,produces,0.2727
Danish,All,27,rive i stykker,176,understands,0
Danish,All,28,rive i stykker,190,produces,0.3105
Danish,All,28,rive i stykker,190,understands,0
Danish,All,29,rive i stykker,182,produces,0.3462
Danish,All,29,rive i stykker,182,understands,0
Danish,All,30,rive i stykker,173,produces,0.4509
Danish,All,30,rive i stykker,173,understands,0
Danish,All,31,rive i stykker,175,produces,0.4686
Danish,All,31,rive i stykker,175,understands,0
Danish,All,32,rive i stykker,143,produces,0.5455
Danish,All,32,rive i stykker,143,understands,0
Danish,All,33,rive i stykker,151,produces,0.6755
Danish,All,33,rive i stykker,151,understands,0
Danish,All,34,rive i stykker,143,produces,0.6783
Danish,All,34,rive i stykker,143,understands,0
Danish,All,35,rive i stykker,113,produces,0.7611
Danish,All,35,rive i stykker,113,understands,0
Danish,All,36,rive i stykker,126,produces,0.746
Danish,All,36,rive i stykker,126,understands,0
Dutch,All,16,scheuren,4,produces,0
Dutch,All,16,scheuren,4,understands,0
Dutch,All,17,scheuren,49,produces,0
Dutch,All,17,scheuren,49,understands,0
Dutch,All,18,scheuren,68,produces,0.0147
Dutch,All,18,scheuren,68,understands,0
Dutch,All,19,scheuren,7,produces,0
Dutch,All,19,scheuren,7,understands,0
Dutch,All,20,scheuren,7,produces,0
Dutch,All,20,scheuren,7,understands,0
Dutch,All,21,scheuren,7,produces,0
Dutch,All,21,scheuren,7,understands,0
Dutch,All,22,scheuren,7,produces,0.2857
Dutch,All,22,scheuren,7,understands,0
Dutch,All,23,scheuren,51,produces,0.0588
Dutch,All,23,scheuren,51,understands,0
Dutch,All,24,scheuren,31,produces,0.0968
Dutch,All,24,scheuren,31,understands,0
Dutch,All,25,scheuren,6,produces,0.1667
Dutch,All,25,scheuren,6,understands,0
Dutch,All,26,scheuren,6,produces,0.1667
Dutch,All,26,scheuren,6,understands,0
Dutch,All,27,scheuren,5,produces,0.4
Dutch,All,27,scheuren,5,understands,0
Dutch,All,28,scheuren,6,produces,0.6667
Dutch,All,28,scheuren,6,understands,0
Dutch,All,29,scheuren,23,produces,0.6087
Dutch,All,29,scheuren,23,understands,0
Dutch,All,30,scheuren,24,produces,0.4583
Dutch,All,30,scheuren,24,understands,0
Dutch,All,31,scheuren,2,produces,1
Dutch,All,31,scheuren,2,understands,0
English (American),All,16,tear,930,produces,0.0011
English (American),All,16,tear,930,understands,0
English (American),All,17,tear,458,produces,0.0153
English (American),All,17,tear,458,understands,0
English (American),All,18,tear,641,produces,0.0203
English (American),All,18,tear,641,understands,0
English (American),All,19,tear,570,produces,0.0263
English (American),All,19,tear,570,understands,0
English (American),All,20,tear,537,produces,0.0279
English (American),All,20,tear,537,understands,0
English (American),All,21,tear,366,produces,0.0328
English (American),All,21,tear,366,understands,0
English (American),All,22,tear,454,produces,0.0661
English (American),All,22,tear,454,understands,0
English (American),All,23,tear,470,produces,0.0894
English (American),All,23,tear,470,understands,0
English (American),All,24,tear,985,produces,0.136
English (American),All,24,tear,985,understands,0
English (American),All,25,tear,757,produces,0.1744
English (American),All,25,tear,757,understands,0
English (American),All,26,tear,435,produces,0.1885
English (American),All,26,tear,435,understands,0
English (American),All,27,tear,361,produces,0.2687
English (American),All,27,tear,361,understands,0
English (American),All,28,tear,954,produces,0.4078
English (American),All,28,tear,954,understands,0
English (American),All,29,tear,390,produces,0.3615
English (American),All,29,tear,390,understands,0
English (American),All,30,tear,785,produces,0.3618
English (American),All,30,tear,785,understands,0
English (Australian),All,12,"rip, tear",71,produces,0
English (Australian),All,12,"rip, tear",71,understands,0
English (Australian),All,13,"rip, tear",64,produces,0
English (Australian),All,13,"rip, tear",64,understands,0
English (Australian),All,14,"rip, tear",111,produces,0.009
English (Australian),All,14,"rip, tear",111,understands,0
English (Australian),All,15,"rip, tear",69,produces,0.0217
English (Australian),All,15,"rip, tear",69,understands,0
English (Australian),All,16,"rip, tear",60,produces,0.0083
English (Australian),All,16,"rip, tear",60,understands,0
English (Australian),All,17,"rip, tear",104,produces,0.0096
English (Australian),All,17,"rip, tear",104,understands,0
English (Australian),All,18,"rip, tear",109,produces,0.0092
English (Australian),All,18,"rip, tear",109,understands,0
English (Australian),All,19,"rip, tear",124,produces,0.0202
English (Australian),All,19,"rip, tear",124,understands,0
English (Australian),All,20,"rip, tear",78,produces,0.0321
English (Australian),All,20,"rip, tear",78,understands,0
English (Australian),All,21,"rip, tear",68,produces,0.0294
English (Australian),All,21,"rip, tear",68,understands,0
English (Australian),All,22,"rip, tear",73,produces,0.089
English (Australian),All,22,"rip, tear",73,understands,0
English (Australian),All,23,"rip, tear",71,produces,0.1338
English (Australian),All,23,"rip, tear",71,understands,0
English (Australian),All,24,"rip, tear",76,produces,0.1711
English (Australian),All,24,"rip, tear",76,understands,0
English (Australian),All,25,"rip, tear",85,produces,0.1882
