language,age,words,n,measure,prop
Italian,7,questo/a,5,produces,0
Italian,7,questo/a,5,understands,0
Italian,8,questo/a,34,produces,0
Italian,8,questo/a,34,understands,0.0294
Italian,9,questo/a,38,produces,0
Italian,9,questo/a,38,understands,0.0263
Italian,10,questo/a,53,produces,0
Italian,10,questo/a,53,understands,0.0189
Italian,11,questo/a,42,produces,0
Italian,11,questo/a,42,understands,0.119
Italian,12,questo/a,69,produces,0.0145
Italian,12,questo/a,69,understands,0.2029
Italian,13,questo/a,48,produces,0.0208
Italian,13,questo/a,48,understands,0.1042
Italian,14,questo/a,40,produces,0.05
Italian,14,questo/a,40,understands,0.375
Italian,15,questo/a,68,produces,0.0441
Italian,15,questo/a,68,understands,0.2206
Italian,16,questo/a,56,produces,0
Italian,16,questo/a,56,understands,0.4643
Italian,17,questo/a,48,produces,0.1875
Italian,17,questo/a,48,understands,0.5208
Italian,18,questo/a,75,produces,0.1867
Italian,18,questo/a,75,understands,0.24
Italian,19,questo/a,58,produces,0.1897
Italian,19,questo/a,58,understands,0.1207
Italian,20,questo/a,83,produces,0.253
Italian,20,questo/a,83,understands,0.1446
Italian,21,questo/a,67,produces,0.3881
Italian,21,questo/a,67,understands,0.1343
Italian,22,questo/a,77,produces,0.3766
Italian,22,questo/a,77,understands,0.1039
Italian,23,questo/a,70,produces,0.5143
Italian,23,questo/a,70,understands,0.1857
Italian,24,questo/a,85,produces,0.5294
Italian,24,questo/a,85,understands,0.1059
Italian,25,questo/a,39,produces,0.6154
Italian,25,questo/a,39,understands,0
Italian,26,questo/a,41,produces,0.6585
Italian,26,questo/a,41,understands,0
Italian,27,questo/a,43,produces,0.6512
Italian,27,questo/a,43,understands,0
Italian,28,questo/a,44,produces,0.7045
Italian,28,questo/a,44,understands,0
Italian,29,questo/a,37,produces,0.8919
Italian,29,questo/a,37,understands,0
Italian,30,questo/a,67,produces,0.806
Italian,30,questo/a,67,understands,0
Italian,31,questo/a,19,produces,0.5789
Italian,31,questo/a,19,understands,0
Italian,32,questo/a,23,produces,0.7826
Italian,32,questo/a,23,understands,0
Italian,33,questo/a,16,produces,0.75
Italian,33,questo/a,16,understands,0
Italian,34,questo/a,19,produces,0.9474
Italian,34,questo/a,19,understands,0
Italian,35,questo/a,15,produces,0.8
Italian,35,questo/a,15,understands,0
Italian,36,questo/a,21,produces,0.5714
Italian,36,questo/a,21,understands,0
Japanese,8,これ,6,produces,0
Japanese,8,これ,6,understands,0
Japanese,9,これ,10,produces,0
Japanese,9,これ,10,understands,0
Japanese,10,これ,8,produces,0
Japanese,10,これ,8,understands,0
Japanese,11,これ,87,produces,0.0115
Japanese,11,これ,87,understands,0.1149
Japanese,12,これ,118,produces,0.0085
Japanese,12,これ,118,understands,0.0593
Japanese,13,これ,23,produces,0.087
Japanese,13,これ,23,understands,0.2174
Japanese,14,これ,26,produces,0.0769
Japanese,14,これ,26,understands,0.3077
Japanese,15,これ,72,produces,0.0833
Japanese,15,これ,72,understands,0.3333
Japanese,16,"これ, この",46,produces,0.0877
Japanese,16,"これ, この",46,understands,0.2281
Japanese,17,"これ, この",77,produces,0.1064
Japanese,17,"これ, この",77,understands,0.3191
Japanese,18,"これ, この",94,produces,0.12
Japanese,18,"これ, この",94,understands,0.14
Japanese,19,"この, これ",35,produces,0.0429
Japanese,19,"この, これ",35,understands,0
Japanese,20,"この, これ",59,produces,0.1017
Japanese,20,"この, これ",59,understands,0
Japanese,21,"この, これ",62,produces,0.1935
Japanese,21,"この, これ",62,understands,0
Japanese,22,"この, これ",31,produces,0.2742
Japanese,22,"この, これ",31,understands,0
Japanese,23,"この, これ",67,produces,0.2015
Japanese,23,"この, これ",67,understands,0
Japanese,24,"この, これ",33,produces,0.3636
Japanese,24,"この, これ",33,understands,0
Japanese,25,"この, これ",34,produces,0.3676
Japanese,25,"この, これ",34,understands,0
Japanese,26,"この, これ",33,produces,0.4394
Japanese,26,"この, これ",33,understands,0
Japanese,27,"この, これ",15,produces,0.4
Japanese,27,"この, これ",15,understands,0
Japanese,28,"この, これ",18,produces,0.4167
Japanese,28,"この, これ",18,understands,0
Japanese,29,"この, これ",17,produces,0.5588
Japanese,29,"この, これ",17,understands,0
Japanese,30,"この, これ",18,produces,0.5278
Japanese,30,"この, これ",18,understands,0
Japanese,31,"この, これ",18,produces,0.5556
Japanese,31,"この, これ",18,understands,0
Japanese,32,"この, これ",13,produces,0.5769
Japanese,32,"この, これ",13,understands,0
Japanese,33,"この, これ",16,produces,0.6875
Japanese,33,"この, これ",16,understands,0
Japanese,34,"この, これ",13,produces,0.6538
Japanese,34,"この, これ",13,understands,0
Japanese,35,"この, これ",31,produces,0.7581
Japanese,35,"この, これ",31,understands,0
Japanese,36,"この, これ",18,produces,0.7778
Japanese,36,"この, これ",18,understands,0
Kigiriama,8,"ii, Yuyu",5,produces,0
Kigiriama,8,"ii, Yuyu",5,understands,0
Kigiriama,9,"ii, Yuyu",22,produces,0
Kigiriama,9,"ii, Yuyu",22,understands,0
Kigiriama,10,"ii, Yuyu",5,produces,0
Kigiriama,10,"ii, Yuyu",5,understands,0
Kigiriama,11,"ii, Yuyu",7,produces,0
Kigiriama,11,"ii, Yuyu",7,understands,0.1429
Kigiriama,12,"ii, Yuyu",30,produces,0
Kigiriama,12,"ii, Yuyu",30,understands,0.0667
Kigiriama,13,"ii, Yuyu",18,produces,0.1111
Kigiriama,13,"ii, Yuyu",18,understands,0.1389
Kigiriama,14,"ii, Yuyu",16,produces,0.0312
Kigiriama,14,"ii, Yuyu",16,understands,0.2188
Kigiriama,15,"ii, Yuyu",16,produces,0.125
Kigiriama,15,"ii, Yuyu",16,understands,0.1875
Kigiriama,16,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",1,produces,0
Kigiriama,16,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",1,understands,0
Kigiriama,17,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",6,produces,0
Kigiriama,17,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",6,understands,0
Kigiriama,18,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",13,produces,0.0769
Kigiriama,18,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",13,understands,0
Kigiriama,19,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",8,produces,0.0156
Kigiriama,19,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",8,understands,0
Kigiriama,20,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",14,produces,0.1607
Kigiriama,20,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",14,understands,0
Kigiriama,21,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",6,produces,0.1458
Kigiriama,21,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",6,understands,0
Kigiriama,22,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",9,produces,0.4167
Kigiriama,22,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",9,understands,0
Kigiriama,23,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",4,produces,0.0938
Kigiriama,23,"Yuyu, Riri, Riryahu, Kiki, Kiryahu, Ii, Haha, Haryahu",4,understands,0
