language,age,words,n,measure,prop
Japanese,16,時間,11,produces,0
Japanese,16,時間,11,understands,0
Japanese,17,時間,17,produces,0
Japanese,17,時間,17,understands,0
Japanese,18,時間,56,produces,0
Japanese,18,時間,56,understands,0
Japanese,19,時間,35,produces,0
Japanese,19,時間,35,understands,0
Japanese,20,時間,59,produces,0
Japanese,20,時間,59,understands,0
Japanese,21,時間,62,produces,0
Japanese,21,時間,62,understands,0
Japanese,22,時間,31,produces,0.0323
Japanese,22,時間,31,understands,0
Japanese,23,時間,67,produces,0
Japanese,23,時間,67,understands,0
Japanese,24,時間,33,produces,0.0909
Japanese,24,時間,33,understands,0
Japanese,25,時間,34,produces,0.1471
Japanese,25,時間,34,understands,0
Japanese,26,時間,33,produces,0.1515
Japanese,26,時間,33,understands,0
Japanese,27,時間,15,produces,0.0667
Japanese,27,時間,15,understands,0
Japanese,28,時間,18,produces,0.1111
Japanese,28,時間,18,understands,0
Japanese,29,時間,17,produces,0.2353
Japanese,29,時間,17,understands,0
Japanese,30,時間,18,produces,0.2222
Japanese,30,時間,18,understands,0
Japanese,31,時間,18,produces,0.4444
Japanese,31,時間,18,understands,0
Japanese,32,時間,13,produces,0.3077
Japanese,32,時間,13,understands,0
Japanese,33,時間,16,produces,0.4375
Japanese,33,時間,16,understands,0
Japanese,34,時間,13,produces,0.4615
Japanese,34,時間,13,understands,0
Japanese,35,時間,31,produces,0.4839
Japanese,35,時間,31,understands,0
Japanese,36,時間,18,produces,0.5556
Japanese,36,時間,18,understands,0
Kiswahili,23,Matatu/Saa robo,2,produces,0.5
Kiswahili,23,Matatu/Saa robo,2,understands,0
Kiswahili,24,Matatu/Saa robo,12,produces,0.25
Kiswahili,24,Matatu/Saa robo,12,understands,0
Kiswahili,25,Matatu/Saa robo,10,produces,0.1
Kiswahili,25,Matatu/Saa robo,10,understands,0
Kiswahili,26,Matatu/Saa robo,13,produces,0.2308
Kiswahili,26,Matatu/Saa robo,13,understands,0
Kiswahili,27,Matatu/Saa robo,8,produces,0
Kiswahili,27,Matatu/Saa robo,8,understands,0
Kiswahili,28,Matatu/Saa robo,6,produces,0.5
Kiswahili,28,Matatu/Saa robo,6,understands,0
Kiswahili,29,Matatu/Saa robo,6,produces,0.1667
Kiswahili,29,Matatu/Saa robo,6,understands,0
Kiswahili,30,Matatu/Saa robo,5,produces,0.6
Kiswahili,30,Matatu/Saa robo,5,understands,0
Korean,18,시간,88,produces,0.0114
Korean,18,시간,88,understands,0
Korean,19,시간,77,produces,0.013
Korean,19,시간,77,understands,0
Korean,20,시간,88,produces,0
Korean,20,시간,88,understands,0
Korean,21,시간,79,produces,0.0127
Korean,21,시간,79,understands,0
Korean,22,시간,87,produces,0.0345
Korean,22,시간,87,understands,0
Korean,23,시간,87,produces,0.0115
Korean,23,시간,87,understands,0
Korean,24,시간,107,produces,0.0748
Korean,24,시간,107,understands,0
Korean,25,시간,95,produces,0.0526
Korean,25,시간,95,understands,0
Korean,26,시간,91,produces,0.0659
Korean,26,시간,91,understands,0
Korean,27,시간,104,produces,0.1346
Korean,27,시간,104,understands,0
Korean,28,시간,89,produces,0.2247
Korean,28,시간,89,understands,0
Korean,29,시간,101,produces,0.2673
Korean,29,시간,101,understands,0
Korean,30,시간,81,produces,0.1852
Korean,30,시간,81,understands,0
Korean,31,시간,79,produces,0.3418
Korean,31,시간,79,understands,0
Korean,32,시간,70,produces,0.1857
Korean,32,시간,70,understands,0
Korean,33,시간,79,produces,0.3165
Korean,33,시간,79,understands,0
Korean,34,시간,79,produces,0.443
Korean,34,시간,79,understands,0
Korean,35,시간,74,produces,0.4459
Korean,35,시간,74,understands,0
Korean,36,시간,75,produces,0.5467
Korean,36,시간,75,understands,0
Mandarin (Beijing),16,时间,70,produces,0
Mandarin (Beijing),16,时间,70,understands,0
Mandarin (Beijing),17,时间,72,produces,0
Mandarin (Beijing),17,时间,72,understands,0
Mandarin (Beijing),18,时间,71,produces,0
Mandarin (Beijing),18,时间,71,understands,0
Mandarin (Beijing),19,时间,70,produces,0.0571
Mandarin (Beijing),19,时间,70,understands,0
Mandarin (Beijing),20,时间,71,produces,0.0704
Mandarin (Beijing),20,时间,71,understands,0
