language,sex,age,words,n,measure,prop
American Sign Language,All,8,TISSUE/KLEENEX,1,produces,0
American Sign Language,All,8,TISSUE/KLEENEX,1,understands,0
American Sign Language,All,9,TISSUE,4,produces,0
American Sign Language,All,9,TISSUE,4,understands,0
American Sign Language,All,10,"TISSUE, TISSUE/KLEENEX",5,produces,0
American Sign Language,All,10,"TISSUE, TISSUE/KLEENEX",5,understands,0
American Sign Language,All,11,"TISSUE, TISSUE/KLEENEX",3,produces,0
American Sign Language,All,11,"TISSUE, TISSUE/KLEENEX",3,understands,0.3333
American Sign Language,All,12,"TISSUE, TISSUE/KLEENEX",4,produces,0
American Sign Language,All,12,"TISSUE, TISSUE/KLEENEX",4,understands,0
American Sign Language,All,13,TISSUE/KLEENEX,4,produces,0
American Sign Language,All,13,TISSUE/KLEENEX,4,understands,0
American Sign Language,All,14,TISSUE/KLEENEX,1,produces,1
American Sign Language,All,14,TISSUE/KLEENEX,1,understands,0
American Sign Language,All,15,"TISSUE/KLEENEX, TISSUE",3,produces,0.3333
American Sign Language,All,15,"TISSUE/KLEENEX, TISSUE",3,understands,0.3333
American Sign Language,All,16,TISSUE,2,produces,0
American Sign Language,All,16,TISSUE,2,understands,1
American Sign Language,All,17,"TISSUE, TISSUE/KLEENEX",5,produces,0.2
American Sign Language,All,17,"TISSUE, TISSUE/KLEENEX",5,understands,0.4
American Sign Language,All,18,"TISSUE, TISSUE/KLEENEX",11,produces,0.2727
American Sign Language,All,18,"TISSUE, TISSUE/KLEENEX",11,understands,0.3636
American Sign Language,All,19,"TISSUE, TISSUE/KLEENEX",6,produces,0.3333
American Sign Language,All,19,"TISSUE, TISSUE/KLEENEX",6,understands,0.3333
American Sign Language,All,20,"TISSUE, TISSUE/KLEENEX",3,produces,0.3333
American Sign Language,All,20,"TISSUE, TISSUE/KLEENEX",3,understands,0.6667
American Sign Language,All,21,"TISSUE, TISSUE/KLEENEX",4,produces,0.25
American Sign Language,All,21,"TISSUE, TISSUE/KLEENEX",4,understands,0.75
American Sign Language,All,22,"TISSUE, TISSUE/KLEENEX",10,produces,0.3
American Sign Language,All,22,"TISSUE, TISSUE/KLEENEX",10,understands,0.5
