language,age,words,n,measure,prop
Kigiriama,8,Tosi,5,produces,0
Kigiriama,8,Tosi,5,understands,0
Kigiriama,9,Tosi,22,produces,0
Kigiriama,9,Tosi,22,understands,0
Kigiriama,10,Tosi,5,produces,0
Kigiriama,10,Tosi,5,understands,0
Kigiriama,11,Tosi,7,produces,0
Kigiriama,11,Tosi,7,understands,0.2857
Kigiriama,12,Tosi,30,produces,0
Kigiriama,12,Tosi,30,understands,0.2
Kigiriama,13,Tosi,18,produces,0
Kigiriama,13,Tosi,18,understands,0.1667
Kigiriama,14,Tosi,16,produces,0
Kigiriama,14,Tosi,16,understands,0
Kigiriama,15,Tosi,16,produces,0
Kigiriama,15,Tosi,16,understands,0.0625
Kigiriama,16,Tosi,1,produces,0
Kigiriama,16,Tosi,1,understands,0
Kigiriama,17,Tosi,6,produces,0
Kigiriama,17,Tosi,6,understands,0
Kigiriama,18,Tosi,13,produces,0
Kigiriama,18,Tosi,13,understands,0
Kigiriama,19,Tosi,8,produces,0.25
Kigiriama,19,Tosi,8,understands,0
Kigiriama,20,Tosi,14,produces,0.0714
Kigiriama,20,Tosi,14,understands,0
Kigiriama,21,Tosi,6,produces,0.3333
Kigiriama,21,Tosi,6,understands,0
Kigiriama,22,Tosi,9,produces,0.4444
Kigiriama,22,Tosi,9,understands,0
Kigiriama,23,Tosi,4,produces,0.25
Kigiriama,23,Tosi,4,understands,0
Kigiriama,24,Tosi,7,produces,0.4286
Kigiriama,24,Tosi,7,understands,0
Kigiriama,25,Tosi,3,produces,0.3333
Kigiriama,25,Tosi,3,understands,0
Kigiriama,26,Tosi,6,produces,0.5
Kigiriama,26,Tosi,6,understands,0
Kigiriama,27,Tosi,4,produces,0.75
Kigiriama,27,Tosi,4,understands,0
Kigiriama,28,Tosi,1,produces,0
Kigiriama,28,Tosi,1,understands,0
Kigiriama,29,Tosi,5,produces,0.6
Kigiriama,29,Tosi,5,understands,0
Kigiriama,30,Tosi,1,produces,1
Kigiriama,30,Tosi,1,understands,0
Kiswahili,23,Tosti,2,produces,0
Kiswahili,23,Tosti,2,understands,0
Kiswahili,24,Tosti,12,produces,0.0833
Kiswahili,24,Tosti,12,understands,0
Kiswahili,25,Tosti,10,produces,0
Kiswahili,25,Tosti,10,understands,0
Kiswahili,26,Tosti,13,produces,0.0769
Kiswahili,26,Tosti,13,understands,0
Kiswahili,27,Tosti,8,produces,0.125
Kiswahili,27,Tosti,8,understands,0
Kiswahili,28,Tosti,6,produces,0.1667
Kiswahili,28,Tosti,6,understands,0
Kiswahili,29,Tosti,6,produces,0
Kiswahili,29,Tosti,6,understands,0
Kiswahili,30,Tosti,5,produces,0.2
Kiswahili,30,Tosti,5,understands,0
Mandarin (Taiwanese),8,土司,86,produces,0
Mandarin (Taiwanese),8,土司,86,understands,0.2442
Mandarin (Taiwanese),9,土司,79,produces,0
Mandarin (Taiwanese),9,土司,79,understands,0.2785
Mandarin (Taiwanese),10,土司,78,produces,0
Mandarin (Taiwanese),10,土司,78,understands,0.0897
Mandarin (Taiwanese),11,土司,79,produces,0
Mandarin (Taiwanese),11,土司,79,understands,0.1646
Mandarin (Taiwanese),12,土司,80,produces,0
Mandarin (Taiwanese),12,土司,80,understands,0.1375
Mandarin (Taiwanese),13,土司,78,produces,0
Mandarin (Taiwanese),13,土司,78,understands,0.1795
Mandarin (Taiwanese),14,土司,81,produces,0.0123
Mandarin (Taiwanese),14,土司,81,understands,0.1605
Mandarin (Taiwanese),15,土司,106,produces,0.066
Mandarin (Taiwanese),15,土司,106,understands,0.283
Mandarin (Taiwanese),16,土司,170,produces,0.0471
Mandarin (Taiwanese),16,土司,170,understands,0.1706
Mandarin (Taiwanese),17,土司,87,produces,0.0345
Mandarin (Taiwanese),17,土司,87,understands,0
Mandarin (Taiwanese),18,土司,84,produces,0.0119
Mandarin (Taiwanese),18,土司,84,understands,0
Mandarin (Taiwanese),19,土司,84,produces,0.119
Mandarin (Taiwanese),19,土司,84,understands,0
Mandarin (Taiwanese),20,土司,84,produces,0.0833
Mandarin (Taiwanese),20,土司,84,understands,0
Mandarin (Taiwanese),21,土司,88,produces,0.1818
Mandarin (Taiwanese),21,土司,88,understands,0
Mandarin (Taiwanese),22,土司,96,produces,0.1667
Mandarin (Taiwanese),22,土司,96,understands,0
Mandarin (Taiwanese),23,土司,105,produces,0.2762
Mandarin (Taiwanese),23,土司,105,understands,0
Mandarin (Taiwanese),24,土司,124,produces,0.3387
Mandarin (Taiwanese),24,土司,124,understands,0
