language,age,words,n,measure,prop
Japanese,8,とうふ（豆腐）,6,produces,0
Japanese,8,とうふ（豆腐）,6,understands,0
Japanese,9,とうふ（豆腐）,10,produces,0
Japanese,9,とうふ（豆腐）,10,understands,0.1
Japanese,10,とうふ（豆腐）,8,produces,0
Japanese,10,とうふ（豆腐）,8,understands,0
Japanese,11,とうふ（豆腐）,87,produces,0
Japanese,11,とうふ（豆腐）,87,understands,0.0575
Japanese,12,とうふ（豆腐）,118,produces,0
Japanese,12,とうふ（豆腐）,118,understands,0.0339
Japanese,13,とうふ（豆腐）,23,produces,0
Japanese,13,とうふ（豆腐）,23,understands,0.1739
Japanese,14,とうふ（豆腐）,26,produces,0
Japanese,14,とうふ（豆腐）,26,understands,0.1154
Japanese,15,とうふ（豆腐）,72,produces,0.0139
Japanese,15,とうふ（豆腐）,72,understands,0.2222
Japanese,16,とうふ（豆腐）,46,produces,0
Japanese,16,とうふ（豆腐）,46,understands,0.1739
Japanese,17,とうふ（豆腐）,77,produces,0
Japanese,17,とうふ（豆腐）,77,understands,0.1558
Japanese,18,とうふ（豆腐）,94,produces,0.0319
Japanese,18,とうふ（豆腐）,94,understands,0.117
Japanese,19,とうふ（豆腐）,35,produces,0.1429
Japanese,19,とうふ（豆腐）,35,understands,0
Japanese,20,とうふ（豆腐）,59,produces,0.0847
Japanese,20,とうふ（豆腐）,59,understands,0
Japanese,21,とうふ（豆腐）,62,produces,0.1452
Japanese,21,とうふ（豆腐）,62,understands,0
Japanese,22,とうふ（豆腐）,31,produces,0.2581
Japanese,22,とうふ（豆腐）,31,understands,0
Japanese,23,とうふ（豆腐）,67,produces,0.3433
Japanese,23,とうふ（豆腐）,67,understands,0
Japanese,24,とうふ（豆腐）,33,produces,0.5152
Japanese,24,とうふ（豆腐）,33,understands,0
Japanese,25,とうふ（豆腐）,34,produces,0.5588
Japanese,25,とうふ（豆腐）,34,understands,0
Japanese,26,とうふ（豆腐）,33,produces,0.6364
Japanese,26,とうふ（豆腐）,33,understands,0
Japanese,27,とうふ（豆腐）,15,produces,0.4667
Japanese,27,とうふ（豆腐）,15,understands,0
Japanese,28,とうふ（豆腐）,18,produces,0.5
