language,age,words,n,measure,prop
Kiswahili,8,Chapati,1,produces,0
Kiswahili,8,Chapati,1,understands,0
Kiswahili,9,Chapati,5,produces,0
Kiswahili,9,Chapati,5,understands,0
Kiswahili,10,Chapati,5,produces,0
Kiswahili,10,Chapati,5,understands,0
Kiswahili,11,Chapati,9,produces,0
Kiswahili,11,Chapati,9,understands,0
Kiswahili,12,Chapati,6,produces,0
Kiswahili,12,Chapati,6,understands,0
Kiswahili,13,Chapati,6,produces,0
Kiswahili,13,Chapati,6,understands,0.3333
Kiswahili,14,Chapati,4,produces,0
Kiswahili,14,Chapati,4,understands,0.5
Kiswahili,15,Chapati,5,produces,0.2
Kiswahili,15,Chapati,5,understands,0.6
Kiswahili,23,Chapati,2,produces,1
Kiswahili,23,Chapati,2,understands,0
Kiswahili,24,Chapati,12,produces,0.9167
Kiswahili,24,Chapati,12,understands,0
Kiswahili,25,Chapati,10,produces,0.6
Kiswahili,25,Chapati,10,understands,0
Kiswahili,26,Chapati,13,produces,0.6923
Kiswahili,26,Chapati,13,understands,0
Kiswahili,27,Chapati,8,produces,0.625
Kiswahili,27,Chapati,8,understands,0
Kiswahili,28,Chapati,6,produces,1
Kiswahili,28,Chapati,6,understands,0
Kiswahili,29,Chapati,6,produces,0.8333
Kiswahili,29,Chapati,6,understands,0
Kiswahili,30,Chapati,5,produces,0.8
Kiswahili,30,Chapati,5,understands,0
Spanish (Argentinian),16,tortilla,47,produces,0
Spanish (Argentinian),16,tortilla,47,understands,0
Spanish (Argentinian),17,tortilla,49,produces,0.0204
Spanish (Argentinian),17,tortilla,49,understands,0
Spanish (Argentinian),18,tortilla,62,produces,0
Spanish (Argentinian),18,tortilla,62,understands,0
Spanish (Argentinian),19,tortilla,44,produces,0.0227
Spanish (Argentinian),19,tortilla,44,understands,0
Spanish (Argentinian),20,tortilla,46,produces,0.0217
Spanish (Argentinian),20,tortilla,46,understands,0
Spanish (Argentinian),21,tortilla,41,produces,0.0488
Spanish (Argentinian),21,tortilla,41,understands,0
Spanish (Argentinian),22,tortilla,57,produces,0.0526
Spanish (Argentinian),22,tortilla,57,understands,0
Spanish (Argentinian),23,tortilla,49,produces,0.0816
Spanish (Argentinian),23,tortilla,49,understands,0
Spanish (Argentinian),24,tortilla,75,produces,0.08
Spanish (Argentinian),24,tortilla,75,understands,0
Spanish (Argentinian),25,tortilla,43,produces,0.1395
Spanish (Argentinian),25,tortilla,43,understands,0
Spanish (Argentinian),26,tortilla,45,produces,0.0667
Spanish (Argentinian),26,tortilla,45,understands,0
Spanish (Argentinian),27,tortilla,44,produces,0.1591
Spanish (Argentinian),27,tortilla,44,understands,0
Spanish (Argentinian),28,tortilla,42,produces,0.0952
Spanish (Argentinian),28,tortilla,42,understands,0
Spanish (Argentinian),29,tortilla,65,produces,0.2
Spanish (Argentinian),29,tortilla,65,understands,0
Spanish (Argentinian),30,tortilla,69,produces,0.2319
Spanish (Argentinian),30,tortilla,69,understands,0
Spanish (Argentinian),31,tortilla,2,produces,0
Spanish (Argentinian),31,tortilla,2,understands,0
Spanish (Argentinian),32,tortilla,1,produces,1
Spanish (Argentinian),32,tortilla,1,understands,0
Spanish (Argentinian),33,tortilla,2,produces,0.5
Spanish (Argentinian),33,tortilla,2,understands,0
Spanish (Chilean),8,tortilla,9,produces,0
Spanish (Chilean),8,tortilla,9,understands,0
Spanish (Chilean),9,tortilla,4,produces,0
Spanish (Chilean),9,tortilla,4,understands,0
Spanish (Chilean),10,tortilla,9,produces,0
