language,age,words,n,measure,prop
Japanese,8,ごみ箱,6,produces,0
Japanese,8,ごみ箱,6,understands,0
Japanese,9,ごみ箱,10,produces,0
Japanese,9,ごみ箱,10,understands,0.1
Japanese,10,ごみ箱,8,produces,0
Japanese,10,ごみ箱,8,understands,0
Japanese,11,ごみ箱,87,produces,0
Japanese,11,ごみ箱,87,understands,0.069
Japanese,12,ごみ箱,118,produces,0
Japanese,12,ごみ箱,118,understands,0.0508
Japanese,13,ごみ箱,23,produces,0
Japanese,13,ごみ箱,23,understands,0.1739
Japanese,14,ごみ箱,26,produces,0
Japanese,14,ごみ箱,26,understands,0.2308
Japanese,15,ごみ箱,72,produces,0
Japanese,15,ごみ箱,72,understands,0.2917
Japanese,16,ごみ箱,46,produces,0
Japanese,16,ごみ箱,46,understands,0.1957
Japanese,17,ごみ箱,77,produces,0
Japanese,17,ごみ箱,77,understands,0.3896
Japanese,18,ごみ箱,94,produces,0.0319
Japanese,18,ごみ箱,94,understands,0.2234
Japanese,19,ごみ箱,35,produces,0
Japanese,19,ごみ箱,35,understands,0
Japanese,20,ごみ箱,59,produces,0.1017
Japanese,20,ごみ箱,59,understands,0
Japanese,21,ごみ箱,62,produces,0.129
Japanese,21,ごみ箱,62,understands,0
Japanese,22,ごみ箱,31,produces,0.1613
Japanese,22,ごみ箱,31,understands,0
Japanese,23,ごみ箱,67,produces,0.2687
Japanese,23,ごみ箱,67,understands,0
Japanese,24,ごみ箱,33,produces,0.2727
Japanese,24,ごみ箱,33,understands,0
Japanese,25,ごみ箱,34,produces,0.4412
Japanese,25,ごみ箱,34,understands,0
Japanese,26,ごみ箱,33,produces,0.5152
Japanese,26,ごみ箱,33,understands,0
Japanese,27,ごみ箱,15,produces,0.4667
Japanese,27,ごみ箱,15,understands,0
Japanese,28,ごみ箱,18,produces,0.4444
Japanese,28,ごみ箱,18,understands,0
Japanese,29,ごみ箱,17,produces,0.6471
Japanese,29,ごみ箱,17,understands,0
Japanese,30,ごみ箱,18,produces,0.7222
Japanese,30,ごみ箱,18,understands,0
Japanese,31,ごみ箱,18,produces,0.6111
Japanese,31,ごみ箱,18,understands,0
Japanese,32,ごみ箱,13,produces,0.9231
Japanese,32,ごみ箱,13,understands,0
Japanese,33,ごみ箱,16,produces,0.75
Japanese,33,ごみ箱,16,understands,0
Japanese,34,ごみ箱,13,produces,0.6923
Japanese,34,ごみ箱,13,understands,0
Japanese,35,ごみ箱,31,produces,0.6452
Japanese,35,ごみ箱,31,understands,0
Japanese,36,ごみ箱,18,produces,0.8889
Japanese,36,ごみ箱,18,understands,0
Korean,18,쓰레기통/휴지통,88,produces,0.125
Korean,18,쓰레기통/휴지통,88,understands,0
Korean,19,쓰레기통/휴지통,77,produces,0.0909
Korean,19,쓰레기통/휴지통,77,understands,0
Korean,20,쓰레기통/휴지통,88,produces,0.0909
Korean,20,쓰레기통/휴지통,88,understands,0
Korean,21,쓰레기통/휴지통,79,produces,0.1899
Korean,21,쓰레기통/휴지통,79,understands,0
Korean,22,쓰레기통/휴지통,87,produces,0.3333
Korean,22,쓰레기통/휴지통,87,understands,0
Korean,23,쓰레기통/휴지통,87,produces,0.2644
Korean,23,쓰레기통/휴지통,87,understands,0
Korean,24,쓰레기통/휴지통,107,produces,0.4299
Korean,24,쓰레기통/휴지통,107,understands,0
Korean,25,쓰레기통/휴지통,95,produces,0.5368
Korean,25,쓰레기통/휴지통,95,understands,0
Korean,26,쓰레기통/휴지통,91,produces,0.6044
Korean,26,쓰레기통/휴지통,91,understands,0
Korean,27,쓰레기통/휴지통,104,produces,0.5481
Korean,27,쓰레기통/휴지통,104,understands,0
Korean,28,쓰레기통/휴지통,89,produces,0.618
Korean,28,쓰레기통/휴지통,89,understands,0
Korean,29,쓰레기통/휴지통,101,produces,0.7426
Korean,29,쓰레기통/휴지통,101,understands,0
Korean,30,쓰레기통/휴지통,81,produces,0.7037
Korean,30,쓰레기통/휴지통,81,understands,0
Korean,31,쓰레기통/휴지통,79,produces,0.8354
Korean,31,쓰레기통/휴지통,79,understands,0
Korean,32,쓰레기통/휴지통,70,produces,0.8286
Korean,32,쓰레기통/휴지통,70,understands,0
Korean,33,쓰레기통/휴지통,79,produces,0.8228
Korean,33,쓰레기통/휴지통,79,understands,0
Korean,34,쓰레기통/휴지통,79,produces,0.8354
Korean,34,쓰레기통/휴지통,79,understands,0
Korean,35,쓰레기통/휴지통,74,produces,0.8514
Korean,35,쓰레기통/휴지통,74,understands,0
Korean,36,쓰레기통/휴지통,75,produces,0.9333
Korean,36,쓰레기통/휴지통,75,understands,0
Norwegian,16,søppelbøtte,98,produces,0
Norwegian,16,søppelbøtte,98,understands,0
Norwegian,17,søppelbøtte,218,produces,0.0092
Norwegian,17,søppelbøtte,218,understands,0
Norwegian,18,søppelbøtte,271,produces,0.0148
Norwegian,18,søppelbøtte,271,understands,0
Norwegian,19,søppelbøtte,281,produces,0.0427
Norwegian,19,søppelbøtte,281,understands,0
Norwegian,20,søppelbøtte,342,produces,0.0409
Norwegian,20,søppelbøtte,342,understands,0
Norwegian,21,søppelbøtte,418,produces,0.0694
Norwegian,21,søppelbøtte,418,understands,0
Norwegian,22,søppelbøtte,596,produces,0.1376
Norwegian,22,søppelbøtte,596,understands,0
Norwegian,23,søppelbøtte,566,produces,0.1996
Norwegian,23,søppelbøtte,566,understands,0
Norwegian,24,søppelbøtte,538,produces,0.2305
Norwegian,24,søppelbøtte,538,understands,0
Norwegian,25,søppelbøtte,656,produces,0.3415
Norwegian,25,søppelbøtte,656,understands,0
Norwegian,26,søppelbøtte,644,produces,0.4068
Norwegian,26,søppelbøtte,644,understands,0
Norwegian,27,søppelbøtte,525,produces,0.4705
Norwegian,27,søppelbøtte,525,understands,0
Norwegian,28,søppelbøtte,544,produces,0.511
Norwegian,28,søppelbøtte,544,understands,0
Norwegian,29,søppelbøtte,536,produces,0.5504
Norwegian,29,søppelbøtte,536,understands,0
Norwegian,30,søppelbøtte,457,produces,0.5821
Norwegian,30,søppelbøtte,457,understands,0
Norwegian,31,søppelbøtte,479,produces,0.6534
Norwegian,31,søppelbøtte,479,understands,0
Norwegian,32,søppelbøtte,451,produces,0.7273
Norwegian,32,søppelbøtte,451,understands,0
Norwegian,33,søppelbøtte,430,produces,0.7442
Norwegian,33,søppelbøtte,430,understands,0
Norwegian,34,søppelbøtte,424,produces,0.7618
Norwegian,34,søppelbøtte,424,understands,0
Norwegian,35,søppelbøtte,422,produces,0.7583
Norwegian,35,søppelbøtte,422,understands,0
Norwegian,36,søppelbøtte,329,produces,0.8207
Norwegian,36,søppelbøtte,329,understands,0
Arabic (Saudi),8,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",24,produces,0
Arabic (Saudi),8,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",24,understands,0.0833
Arabic (Saudi),9,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",27,produces,0
Arabic (Saudi),9,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",27,understands,0
Arabic (Saudi),10,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",35,produces,0
Arabic (Saudi),10,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",35,understands,0.0571
Arabic (Saudi),11,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",30,produces,0
Arabic (Saudi),11,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",30,understands,0.0333
Arabic (Saudi),12,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",30,produces,0
Arabic (Saudi),12,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",30,understands,0.1667
Arabic (Saudi),13,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",39,produces,0.0513
Arabic (Saudi),13,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",39,understands,0
Arabic (Saudi),14,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",25,produces,0
Arabic (Saudi),14,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",25,understands,0.08
Arabic (Saudi),15,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",27,produces,0.1111
Arabic (Saudi),15,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",27,understands,0.1481
Arabic (Saudi),16,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",21,produces,0.1429
Arabic (Saudi),16,"سلة قمامة (زباله/ كدافة), سلة قمامة (زبالة/ كدافة)",21,understands,0.0952
