language,sex,age,words,n,measure,prop
American Sign Language,All,9,STOMACH,4,produces,0
American Sign Language,All,9,STOMACH,4,understands,0
American Sign Language,All,10,STOMACH,2,produces,0.5
American Sign Language,All,10,STOMACH,2,understands,0.5
American Sign Language,All,11,"STOMACH, TUMMY",3,produces,0
American Sign Language,All,11,"STOMACH, TUMMY",3,understands,0.3333
American Sign Language,All,12,STOMACH,2,produces,0
American Sign Language,All,12,STOMACH,2,understands,0
American Sign Language,All,13,TUMMY,1,produces,0
American Sign Language,All,13,TUMMY,1,understands,0
American Sign Language,All,15,"TUMMY, STOMACH",2,produces,0
American Sign Language,All,15,"TUMMY, STOMACH",2,understands,0
American Sign Language,All,16,STOMACH,2,produces,0.5
American Sign Language,All,16,STOMACH,2,understands,0.5
American Sign Language,All,17,STOMACH,3,produces,0.3333
American Sign Language,All,17,STOMACH,3,understands,0.3333
American Sign Language,All,18,STOMACH,7,produces,0.1429
American Sign Language,All,18,STOMACH,7,understands,0.4286
American Sign Language,All,19,"STOMACH, TUMMY",6,produces,0.1667
American Sign Language,All,19,"STOMACH, TUMMY",6,understands,0.5
American Sign Language,All,20,"STOMACH, TUMMY",3,produces,0
American Sign Language,All,20,"STOMACH, TUMMY",3,understands,0
American Sign Language,All,21,"STOMACH, TUMMY",3,produces,0.3333
American Sign Language,All,21,"STOMACH, TUMMY",3,understands,0.6667
American Sign Language,All,22,"STOMACH, TUMMY",10,produces,0.1
American Sign Language,All,22,"STOMACH, TUMMY",10,understands,0.6
American Sign Language,All,23,"STOMACH, TUMMY",3,produces,0.3333
American Sign Language,All,23,"STOMACH, TUMMY",3,understands,0.3333
American Sign Language,All,24,"STOMACH, TUMMY",9,produces,0.1111
American Sign Language,All,24,"STOMACH, TUMMY",9,understands,0.4444
American Sign Language,All,25,STOMACH,11,produces,0.2727
American Sign Language,All,25,STOMACH,11,understands,0.7273
American Sign Language,All,26,STOMACH,4,produces,0.5
American Sign Language,All,26,STOMACH,4,understands,1
American Sign Language,All,27,"STOMACH, TUMMY",6,produces,0.5
