language,sex,age,words,n,measure,prop
American Sign Language,All,8,TV,1,produces,0
American Sign Language,All,8,TV,1,understands,0
American Sign Language,All,9,TV,4,produces,0
American Sign Language,All,9,TV,4,understands,0
American Sign Language,All,10,TV,5,produces,0
American Sign Language,All,10,TV,5,understands,0
American Sign Language,All,11,TV,3,produces,0
American Sign Language,All,11,TV,3,understands,0
American Sign Language,All,12,TV,4,produces,0
American Sign Language,All,12,TV,4,understands,0.5
American Sign Language,All,13,TV,4,produces,0.25
American Sign Language,All,13,TV,4,understands,0
American Sign Language,All,14,TV,1,produces,0
American Sign Language,All,14,TV,1,understands,0
American Sign Language,All,15,TV,3,produces,0
American Sign Language,All,15,TV,3,understands,0
American Sign Language,All,16,TV,2,produces,0
American Sign Language,All,16,TV,2,understands,0.5
American Sign Language,All,17,TV,5,produces,0
American Sign Language,All,17,TV,5,understands,0.4
American Sign Language,All,18,TV,11,produces,0.2727
American Sign Language,All,18,TV,11,understands,0.5455
American Sign Language,All,19,TV,6,produces,0
American Sign Language,All,19,TV,6,understands,0.3333
American Sign Language,All,20,TV,3,produces,0.3333
American Sign Language,All,20,TV,3,understands,0
American Sign Language,All,21,TV,4,produces,0.5
American Sign Language,All,21,TV,4,understands,0.5
American Sign Language,All,22,TV,10,produces,0.3
American Sign Language,All,22,TV,10,understands,0.5
American Sign Language,All,23,TV,5,produces,0.2
American Sign Language,All,23,TV,5,understands,0.2
American Sign Language,All,24,TV,9,produces,0.2222
American Sign Language,All,24,TV,9,understands,0.1111
American Sign Language,All,25,TV,13,produces,0.3077
American Sign Language,All,25,TV,13,understands,0.5385
American Sign Language,All,26,TV,4,produces,0.25
American Sign Language,All,26,TV,4,understands,0.75
American Sign Language,All,27,TV,7,produces,0.5714
American Sign Language,All,27,TV,7,understands,0.5714
American Sign Language,All,28,TV,7,produces,1
American Sign Language,All,28,TV,7,understands,0.5714
American Sign Language,All,29,TV,6,produces,0.3333
American Sign Language,All,29,TV,6,understands,1
American Sign Language,All,30,TV,7,produces,1
American Sign Language,All,30,TV,7,understands,0.5714
American Sign Language,All,31,TV,9,produces,0.6667
American Sign Language,All,31,TV,9,understands,0.4444
American Sign Language,All,32,TV,15,produces,0.8
American Sign Language,All,32,TV,15,understands,0.5333
American Sign Language,All,33,TV,6,produces,0.8333
American Sign Language,All,33,TV,6,understands,0.8333
American Sign Language,All,34,TV,7,produces,1
American Sign Language,All,34,TV,7,understands,0.7143
American Sign Language,All,35,TV,7,produces,0.7143
American Sign Language,All,35,TV,7,understands,0.5714
American Sign Language,All,36,TV,3,produces,0.3333
American Sign Language,All,36,TV,3,understands,0.3333
British Sign Language,All,8,tv,4,produces,0
British Sign Language,All,8,tv,4,understands,0
British Sign Language,All,9,tv,4,produces,0
British Sign Language,All,9,tv,4,understands,0
British Sign Language,All,10,tv,4,produces,0
British Sign Language,All,10,tv,4,understands,0
British Sign Language,All,11,tv,6,produces,0
British Sign Language,All,11,tv,6,understands,0
British Sign Language,All,12,tv,6,produces,0
British Sign Language,All,12,tv,6,understands,0.3333
British Sign Language,All,13,tv,6,produces,0
British Sign Language,All,13,tv,6,understands,0
British Sign Language,All,14,tv,7,produces,0
British Sign Language,All,14,tv,7,understands,0.2857
British Sign Language,All,15,tv,6,produces,0
British Sign Language,All,15,tv,6,understands,0.1667
British Sign Language,All,16,tv,7,produces,0.1429
British Sign Language,All,16,tv,7,understands,0.2857
British Sign Language,All,17,tv,7,produces,0
British Sign Language,All,17,tv,7,understands,0.1429
British Sign Language,All,18,tv,8,produces,0
British Sign Language,All,18,tv,8,understands,0.25
British Sign Language,All,19,tv,8,produces,0.375
British Sign Language,All,19,tv,8,understands,0.75
British Sign Language,All,20,tv,11,produces,0.2727
British Sign Language,All,20,tv,11,understands,0.6364
British Sign Language,All,21,tv,5,produces,0
British Sign Language,All,21,tv,5,understands,0
British Sign Language,All,22,tv,6,produces,0.3333
British Sign Language,All,22,tv,6,understands,0.5
British Sign Language,All,23,tv,7,produces,0.4286
British Sign Language,All,23,tv,7,understands,0.5714
British Sign Language,All,24,tv,5,produces,0.6
British Sign Language,All,24,tv,5,understands,0.8
British Sign Language,All,25,tv,7,produces,0.4286
British Sign Language,All,25,tv,7,understands,0.8571
British Sign Language,All,26,tv,6,produces,0.5
British Sign Language,All,26,tv,6,understands,0.6667
British Sign Language,All,27,tv,6,produces,0.5
British Sign Language,All,27,tv,6,understands,0.6667
British Sign Language,All,28,tv,3,produces,0.3333
British Sign Language,All,28,tv,3,understands,0.3333
British Sign Language,All,29,tv,7,produces,0.5714
British Sign Language,All,29,tv,7,understands,0.8571
British Sign Language,All,30,tv,5,produces,0.8
British Sign Language,All,30,tv,5,understands,0.8
British Sign Language,All,31,tv,2,produces,0.5
British Sign Language,All,31,tv,2,understands,0.5
British Sign Language,All,32,tv,6,produces,0.8333
British Sign Language,All,32,tv,6,understands,1
British Sign Language,All,33,tv,5,produces,0.8
British Sign Language,All,33,tv,5,understands,0.8
British Sign Language,All,34,tv,2,produces,0
British Sign Language,All,34,tv,2,understands,0
British Sign Language,All,35,tv,2,produces,1
British Sign Language,All,35,tv,2,understands,1
British Sign Language,All,36,tv,3,produces,1
British Sign Language,All,36,tv,3,understands,1
Cantonese,All,16,電視,46,produces,0.0652
Cantonese,All,16,電視,46,understands,0
Cantonese,All,17,電視,61,produces,0.1311
Cantonese,All,17,電視,61,understands,0
Cantonese,All,18,電視,68,produces,0.2647
Cantonese,All,18,電視,68,understands,0
Cantonese,All,19,電視,66,produces,0.1667
Cantonese,All,19,電視,66,understands,0
Cantonese,All,20,電視,140,produces,0.45
Cantonese,All,20,電視,140,understands,0
Cantonese,All,21,電視,120,produces,0.45
Cantonese,All,21,電視,120,understands,0
Cantonese,All,22,電視,68,produces,0.4412
Cantonese,All,22,電視,68,understands,0
Cantonese,All,23,電視,74,produces,0.6351
Cantonese,All,23,電視,74,understands,0
Cantonese,All,24,電視,68,produces,0.7059
Cantonese,All,24,電視,68,understands,0
Cantonese,All,25,電視,65,produces,0.8154
Cantonese,All,25,電視,65,understands,0
Cantonese,All,26,電視,68,produces,0.7647
Cantonese,All,26,電視,68,understands,0
Cantonese,All,27,電視,62,produces,0.9194
Cantonese,All,27,電視,62,understands,0
Cantonese,All,28,電視,66,produces,0.8788
Cantonese,All,28,電視,66,understands,0
Cantonese,All,29,電視,72,produces,0.9306
Cantonese,All,29,電視,72,understands,0
Cantonese,All,30,電視,164,produces,0.9329
Cantonese,All,30,電視,164,understands,0
Catalan,All,16,televisor,24,produces,0.0417
Catalan,All,16,televisor,24,understands,0
Catalan,All,17,televisor,36,produces,0.0278
Catalan,All,17,televisor,36,understands,0
Catalan,All,18,televisor,51,produces,0.0392
Catalan,All,18,televisor,51,understands,0
Catalan,All,19,televisor,45,produces,0.1778
Catalan,All,19,televisor,45,understands,0
Catalan,All,20,televisor,56,produces,0.25
Catalan,All,20,televisor,56,understands,0
Catalan,All,21,televisor,58,produces,0.2586
Catalan,All,21,televisor,58,understands,0
Catalan,All,22,televisor,50,produces,0.42
Catalan,All,22,televisor,50,understands,0
Catalan,All,23,televisor,66,produces,0.3788
Catalan,All,23,televisor,66,understands,0
Catalan,All,24,televisor,79,produces,0.6962
Catalan,All,24,televisor,79,understands,0
Catalan,All,25,televisor,60,produces,0.8
Catalan,All,25,televisor,60,understands,0
Catalan,All,26,televisor,65,produces,0.7077
Catalan,All,26,televisor,65,understands,0
Catalan,All,27,televisor,63,produces,0.873
Catalan,All,27,televisor,63,understands,0
Catalan,All,28,televisor,81,produces,0.8272
Catalan,All,28,televisor,81,understands,0
Catalan,All,29,televisor,50,produces,0.86
Catalan,All,29,televisor,50,understands,0
Catalan,All,30,televisor,75,produces,0.88
Catalan,All,30,televisor,75,understands,0
Croatian,All,8,televizor,23,produces,0
Croatian,All,8,televizor,23,understands,0
Croatian,All,9,televizor,25,produces,0
Croatian,All,9,televizor,25,understands,0.2
Croatian,All,10,televizor,22,produces,0
Croatian,All,10,televizor,22,understands,0.2273
Croatian,All,11,televizor,25,produces,0
Croatian,All,11,televizor,25,understands,0.32
Croatian,All,12,televizor,35,produces,0
Croatian,All,12,televizor,35,understands,0.5143
Croatian,All,13,televizor,34,produces,0
Croatian,All,13,televizor,34,understands,0.6471
Croatian,All,14,televizor,28,produces,0.0357
Croatian,All,14,televizor,28,understands,0.7857
Croatian,All,15,televizor,24,produces,0
Croatian,All,15,televizor,24,understands,0.875
Croatian,All,16,televizor,47,produces,0.1702
Croatian,All,16,televizor,47,understands,0.617
Croatian,All,17,televizor,25,produces,0.12
Croatian,All,17,televizor,25,understands,0
Croatian,All,18,televizor,22,produces,0.1364
Croatian,All,18,televizor,22,understands,0
Croatian,All,19,televizor,21,produces,0.2857
Croatian,All,19,televizor,21,understands,0
Croatian,All,20,televizor,26,produces,0.3462
Croatian,All,20,televizor,26,understands,0
Croatian,All,21,televizor,29,produces,0.3448
Croatian,All,21,televizor,29,understands,0
Croatian,All,22,televizor,24,produces,0.625
Croatian,All,22,televizor,24,understands,0
Croatian,All,23,televizor,26,produces,0.5385
Croatian,All,23,televizor,26,understands,0
Croatian,All,24,televizor,30,produces,0.8667
Croatian,All,24,televizor,30,understands,0
Croatian,All,25,televizor,30,produces,0.8333
Croatian,All,25,televizor,30,understands,0
Croatian,All,26,televizor,29,produces,0.7931
Croatian,All,26,televizor,29,understands,0
Croatian,All,27,televizor,25,produces,0.88
Croatian,All,27,televizor,25,understands,0
Croatian,All,28,televizor,21,produces,0.9524
Croatian,All,28,televizor,21,understands,0
Croatian,All,29,televizor,28,produces,0.9286
Croatian,All,29,televizor,28,understands,0
Croatian,All,30,televizor,28,produces,0.8929
Croatian,All,30,televizor,28,understands,0
Czech,All,16,televize,29,produces,0
Czech,All,16,televize,29,understands,0
Czech,All,17,televize,29,produces,0
Czech,All,17,televize,29,understands,0
Czech,All,18,televize,45,produces,0
Czech,All,18,televize,45,understands,0
Czech,All,19,televize,27,produces,0.037
Czech,All,19,televize,27,understands,0
Czech,All,20,televize,26,produces,0.1923
Czech,All,20,televize,26,understands,0
Czech,All,21,televize,34,produces,0.2353
Czech,All,21,televize,34,understands,0
Czech,All,22,televize,36,produces,0.3056
Czech,All,22,televize,36,understands,0
Czech,All,23,televize,46,produces,0.2826
Czech,All,23,televize,46,understands,0
Czech,All,24,televize,35,produces,0.3714
Czech,All,24,televize,35,understands,0
Czech,All,25,televize,35,produces,0.4
Czech,All,25,televize,35,understands,0
Czech,All,26,televize,22,produces,0.6818
Czech,All,26,televize,22,understands,0
