language,sex,age,words,n,measure,prop
Cantonese,All,16,遮,46,produces,0.087
Cantonese,All,16,遮,46,understands,0
Cantonese,All,17,遮,61,produces,0.1639
Cantonese,All,17,遮,61,understands,0
Cantonese,All,18,遮,68,produces,0.2353
Cantonese,All,18,遮,68,understands,0
Cantonese,All,19,遮,66,produces,0.2879
Cantonese,All,19,遮,66,understands,0
Cantonese,All,20,遮,140,produces,0.3571
Cantonese,All,20,遮,140,understands,0
Cantonese,All,21,遮,120,produces,0.4083
Cantonese,All,21,遮,120,understands,0
Cantonese,All,22,遮,68,produces,0.5
Cantonese,All,22,遮,68,understands,0
Cantonese,All,23,遮,74,produces,0.5811
Cantonese,All,23,遮,74,understands,0
Cantonese,All,24,遮,68,produces,0.6029
Cantonese,All,24,遮,68,understands,0
Cantonese,All,25,遮,65,produces,0.8308
Cantonese,All,25,遮,65,understands,0
Cantonese,All,26,遮,68,produces,0.7206
Cantonese,All,26,遮,68,understands,0
Cantonese,All,27,遮,62,produces,0.871
Cantonese,All,27,遮,62,understands,0
Cantonese,All,28,遮,66,produces,0.8788
Cantonese,All,28,遮,66,understands,0
Cantonese,All,29,遮,72,produces,0.9028
Cantonese,All,29,遮,72,understands,0
Cantonese,All,30,遮,164,produces,0.9085
Cantonese,All,30,遮,164,understands,0
Catalan,All,16,paraigues,24,produces,0
Catalan,All,16,paraigues,24,understands,0
Catalan,All,17,paraigues,36,produces,0
Catalan,All,17,paraigues,36,understands,0
Catalan,All,18,paraigues,51,produces,0.0784
Catalan,All,18,paraigues,51,understands,0
Catalan,All,19,paraigues,45,produces,0.1556
Catalan,All,19,paraigues,45,understands,0
Catalan,All,20,paraigues,56,produces,0.0357
Catalan,All,20,paraigues,56,understands,0
Catalan,All,21,paraigues,58,produces,0.2069
Catalan,All,21,paraigues,58,understands,0
Catalan,All,22,paraigues,50,produces,0.24
Catalan,All,22,paraigues,50,understands,0
Catalan,All,23,paraigues,66,produces,0.2879
Catalan,All,23,paraigues,66,understands,0
Catalan,All,24,paraigues,79,produces,0.519
Catalan,All,24,paraigues,79,understands,0
Catalan,All,25,paraigues,60,produces,0.5167
Catalan,All,25,paraigues,60,understands,0
Catalan,All,26,paraigues,65,produces,0.5385
Catalan,All,26,paraigues,65,understands,0
Catalan,All,27,paraigues,63,produces,0.6349
Catalan,All,27,paraigues,63,understands,0
Catalan,All,28,paraigues,81,produces,0.6543
Catalan,All,28,paraigues,81,understands,0
Catalan,All,29,paraigues,50,produces,0.88
Catalan,All,29,paraigues,50,understands,0
Catalan,All,30,paraigues,75,produces,0.8
Catalan,All,30,paraigues,75,understands,0
Finnish,All,18,sateenvarjo,35,produces,0
Finnish,All,18,sateenvarjo,35,understands,0
Finnish,All,24,sateenvarjo,35,produces,0.4286
Finnish,All,24,sateenvarjo,35,understands,0
Greek (Cypriot),All,18,ομπρέλα,45,produces,0.0889
Greek (Cypriot),All,18,ομπρέλα,45,understands,0
Greek (Cypriot),All,21,ομπρέλα,36,produces,0.2778
Greek (Cypriot),All,21,ομπρέλα,36,understands,0
Greek (Cypriot),All,24,ομπρέλα,32,produces,0.5625
Greek (Cypriot),All,24,ομπρέλα,32,understands,0
Greek (Cypriot),All,27,ομπρέλα,29,produces,0.8276
Greek (Cypriot),All,27,ομπρέλα,29,understands,0
Greek (Cypriot),All,30,ομπρέλα,34,produces,0.6471
Greek (Cypriot),All,30,ομπρέλα,34,understands,0
Italian,All,7,ombrello,5,produces,0
Italian,All,7,ombrello,5,understands,0
Italian,All,8,ombrello,34,produces,0
Italian,All,8,ombrello,34,understands,0
Italian,All,9,ombrello,38,produces,0
