language,age,words,n,measure,prop
Spanish (European),16,valer,39,produces,0
Spanish (European),16,valer,39,understands,0
Spanish (European),17,valer,39,produces,0
Spanish (European),17,valer,39,understands,0
Spanish (European),18,valer,50,produces,0
Spanish (European),18,valer,50,understands,0
Spanish (European),19,valer,27,produces,0
Spanish (European),19,valer,27,understands,0
Spanish (European),20,valer,36,produces,0.0833
Spanish (European),20,valer,36,understands,0
Spanish (European),21,valer,41,produces,0.0732
Spanish (European),21,valer,41,understands,0
Spanish (European),22,valer,38,produces,0.1316
Spanish (European),22,valer,38,understands,0
Spanish (European),23,valer,30,produces,0.0333
Spanish (European),23,valer,30,understands,0
Spanish (European),24,valer,55,produces,0.1455
Spanish (European),24,valer,55,understands,0
Spanish (European),25,valer,35,produces,0.1429
Spanish (European),25,valer,35,understands,0
Spanish (European),26,valer,49,produces,0.2041
Spanish (European),26,valer,49,understands,0
Spanish (European),27,valer,34,produces,0.3529
Spanish (European),27,valer,34,understands,0
Spanish (European),28,valer,38,produces,0.2368
Spanish (European),28,valer,38,understands,0
Spanish (European),29,valer,41,produces,0.4146
Spanish (European),29,valer,41,understands,0
Spanish (European),30,valer,41,produces,0.2927
Spanish (European),30,valer,41,understands,0
Spanish (Peruvian),16,costar/valer,13,produces,0
Spanish (Peruvian),16,costar/valer,13,understands,0
Spanish (Peruvian),17,costar/valer,9,produces,0
Spanish (Peruvian),17,costar/valer,9,understands,0
Spanish (Peruvian),18,costar/valer,4,produces,0
Spanish (Peruvian),18,costar/valer,4,understands,0
Spanish (Peruvian),19,costar/valer,12,produces,0
Spanish (Peruvian),19,costar/valer,12,understands,0
Spanish (Peruvian),20,costar/valer,1,produces,0
Spanish (Peruvian),20,costar/valer,1,understands,0
Spanish (Peruvian),21,costar/valer,5,produces,0
Spanish (Peruvian),21,costar/valer,5,understands,0
Spanish (Peruvian),22,costar/valer,9,produces,0
Spanish (Peruvian),22,costar/valer,9,understands,0
Spanish (Peruvian),23,costar/valer,1,produces,1
Spanish (Peruvian),23,costar/valer,1,understands,0
Spanish (Peruvian),24,costar/valer,15,produces,0.0667
Spanish (Peruvian),24,costar/valer,15,understands,0
Spanish (Peruvian),25,costar/valer,5,produces,0
Spanish (Peruvian),25,costar/valer,5,understands,0
Spanish (Peruvian),26,costar/valer,8,produces,0
Spanish (Peruvian),26,costar/valer,8,understands,0
Spanish (Peruvian),27,costar/valer,7,produces,0
Spanish (Peruvian),27,costar/valer,7,understands,0
Spanish (Peruvian),28,costar/valer,8,produces,0.125
Spanish (Peruvian),28,costar/valer,8,understands,0
Spanish (Peruvian),29,costar/valer,6,produces,0.1667
Spanish (Peruvian),29,costar/valer,6,understands,0
Spanish (Peruvian),30,costar/valer,2,produces,0
Spanish (Peruvian),30,costar/valer,2,understands,0
