language,age,words,n,measure,prop
Korean,18,아주,88,produces,0.0114
Korean,18,아주,88,understands,0
Korean,19,아주,77,produces,0
Korean,19,아주,77,understands,0
Korean,20,아주,88,produces,0.0114
Korean,20,아주,88,understands,0
Korean,21,아주,79,produces,0
Korean,21,아주,79,understands,0
Korean,22,아주,87,produces,0.0345
Korean,22,아주,87,understands,0
Korean,23,아주,87,produces,0.046
Korean,23,아주,87,understands,0
Korean,24,아주,107,produces,0.0748
Korean,24,아주,107,understands,0
Korean,25,아주,95,produces,0.0842
Korean,25,아주,95,understands,0
Korean,26,아주,91,produces,0.1538
Korean,26,아주,91,understands,0
Korean,27,아주,104,produces,0.2404
Korean,27,아주,104,understands,0
Korean,28,아주,89,produces,0.2697
Korean,28,아주,89,understands,0
Korean,29,아주,101,produces,0.3366
Korean,29,아주,101,understands,0
Korean,30,아주,81,produces,0.2469
Korean,30,아주,81,understands,0
Korean,31,아주,79,produces,0.3291
Korean,31,아주,79,understands,0
Korean,32,아주,70,produces,0.1714
Korean,32,아주,70,understands,0
Korean,33,아주,79,produces,0.3671
Korean,33,아주,79,understands,0
Korean,34,아주,79,produces,0.4304
Korean,34,아주,79,understands,0
Korean,35,아주,74,produces,0.5811
Korean,35,아주,74,understands,0
Korean,36,아주,75,produces,0.4267
Korean,36,아주,75,understands,0
Russian,18,совсем,42,produces,0
Russian,18,совсем,42,understands,0
Russian,19,совсем,41,produces,0.0488
Russian,19,совсем,41,understands,0
Russian,20,совсем,45,produces,0.0222
Russian,20,совсем,45,understands,0
Russian,21,совсем,43,produces,0.0698
Russian,21,совсем,43,understands,0
Russian,22,совсем,51,produces,0.098
Russian,22,совсем,51,understands,0
Russian,23,совсем,56,produces,0.125
Russian,23,совсем,56,understands,0
Russian,24,совсем,61,produces,0.2131
Russian,24,совсем,61,understands,0
Russian,25,совсем,66,produces,0.2121
Russian,25,совсем,66,understands,0
Russian,26,совсем,52,produces,0.25
Russian,26,совсем,52,understands,0
Russian,27,совсем,60,produces,0.35
Russian,27,совсем,60,understands,0
Russian,28,совсем,60,produces,0.2833
Russian,28,совсем,60,understands,0
Russian,29,совсем,58,produces,0.3103
Russian,29,совсем,58,understands,0
Russian,30,совсем,77,produces,0.4286
Russian,30,совсем,77,understands,0
Russian,31,совсем,61,produces,0.4754
Russian,31,совсем,61,understands,0
Russian,32,совсем,55,produces,0.4909
Russian,32,совсем,55,understands,0
Russian,33,совсем,55,produces,0.5636
Russian,33,совсем,55,understands,0
Russian,34,совсем,58,produces,0.569
Russian,34,совсем,58,understands,0
Russian,35,совсем,47,produces,0.5532
Russian,35,совсем,47,understands,0
Russian,36,совсем,49,produces,0.5918
Russian,36,совсем,49,understands,0
Slovak,17,veľmi,70,produces,0.0143
Slovak,17,veľmi,70,understands,0
Slovak,18,veľmi,65,produces,0
Slovak,18,veľmi,65,understands,0
Slovak,19,veľmi,56,produces,0.0536
Slovak,19,veľmi,56,understands,0
