language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,مشاية,24,produces,0
Arabic (Saudi),All,8,مشاية,24,understands,0.0833
Arabic (Saudi),All,9,مشاية,27,produces,0.037
Arabic (Saudi),All,9,مشاية,27,understands,0.1111
Arabic (Saudi),All,10,مشاية,35,produces,0
Arabic (Saudi),All,10,مشاية,35,understands,0.1143
Arabic (Saudi),All,11,مشاية,30,produces,0
Arabic (Saudi),All,11,مشاية,30,understands,0.0667
Arabic (Saudi),All,12,مشاية,30,produces,0
Arabic (Saudi),All,12,مشاية,30,understands,0.1667
Arabic (Saudi),All,13,مشاية,39,produces,0
Arabic (Saudi),All,13,مشاية,39,understands,0
Arabic (Saudi),All,14,مشاية,25,produces,0
Arabic (Saudi),All,14,مشاية,25,understands,0
Arabic (Saudi),All,15,مشاية,27,produces,0.0741
Arabic (Saudi),All,15,مشاية,27,understands,0.1481
Arabic (Saudi),All,16,مشاية,21,produces,0.0476
Arabic (Saudi),All,16,مشاية,21,understands,0.0952
Croatian,All,16,hodalica,13,produces,0
Croatian,All,16,hodalica,13,understands,0
Croatian,All,17,hodalica,25,produces,0
Croatian,All,17,hodalica,25,understands,0
Croatian,All,18,hodalica,22,produces,0
Croatian,All,18,hodalica,22,understands,0
Croatian,All,19,hodalica,21,produces,0.0476
Croatian,All,19,hodalica,21,understands,0
Croatian,All,20,hodalica,26,produces,0.0385
Croatian,All,20,hodalica,26,understands,0
Croatian,All,21,hodalica,29,produces,0
Croatian,All,21,hodalica,29,understands,0
Croatian,All,22,hodalica,24,produces,0.125
Croatian,All,22,hodalica,24,understands,0
Croatian,All,23,hodalica,26,produces,0.1538
Croatian,All,23,hodalica,26,understands,0
Croatian,All,24,hodalica,30,produces,0.1333
Croatian,All,24,hodalica,30,understands,0
Croatian,All,25,hodalica,30,produces,0.2667
Croatian,All,25,hodalica,30,understands,0
Croatian,All,26,hodalica,29,produces,0.2414
Croatian,All,26,hodalica,29,understands,0
Croatian,All,27,hodalica,25,produces,0.4
Croatian,All,27,hodalica,25,understands,0
Croatian,All,28,hodalica,21,produces,0.381
Croatian,All,28,hodalica,21,understands,0
Croatian,All,29,hodalica,28,produces,0.2857
Croatian,All,29,hodalica,28,understands,0
Croatian,All,30,hodalica,28,produces,0.2857
Croatian,All,30,hodalica,28,understands,0
English (American),All,16,walker,930,produces,0.0043
English (American),All,16,walker,930,understands,0
English (American),All,17,walker,458,produces,0.0197
English (American),All,17,walker,458,understands,0
English (American),All,18,walker,641,produces,0.0094
English (American),All,18,walker,641,understands,0
English (American),All,19,walker,570,produces,0.0193
English (American),All,19,walker,570,understands,0
English (American),All,20,walker,537,produces,0.0205
English (American),All,20,walker,537,understands,0
English (American),All,21,walker,366,produces,0.0273
English (American),All,21,walker,366,understands,0
English (American),All,22,walker,454,produces,0.0463
English (American),All,22,walker,454,understands,0
English (American),All,23,walker,470,produces,0.066
English (American),All,23,walker,470,understands,0
English (American),All,24,walker,985,produces,0.0701
English (American),All,24,walker,985,understands,0
English (American),All,25,walker,757,produces,0.0898
English (American),All,25,walker,757,understands,0
English (American),All,26,walker,435,produces,0.0828
English (American),All,26,walker,435,understands,0
English (American),All,27,walker,361,produces,0.1551
English (American),All,27,walker,361,understands,0
English (American),All,28,walker,954,produces,0.2096
English (American),All,28,walker,954,understands,0
English (American),All,29,walker,390,produces,0.1718
English (American),All,29,walker,390,understands,0
English (American),All,30,walker,785,produces,0.1643
English (American),All,30,walker,785,understands,0
Arabic (Saudi),Female,8,مشاية,13,produces,0
Arabic (Saudi),Female,8,مشاية,13,understands,0.1538
Arabic (Saudi),Male,8,مشاية,11,produces,0
Arabic (Saudi),Male,8,مشاية,11,understands,0
Arabic (Saudi),Female,9,مشاية,14,produces,0
Arabic (Saudi),Female,9,مشاية,14,understands,0.1429
Arabic (Saudi),Male,9,مشاية,13,produces,0.0769
Arabic (Saudi),Male,9,مشاية,13,understands,0.0769
Arabic (Saudi),Female,10,مشاية,15,produces,0
Arabic (Saudi),Female,10,مشاية,15,understands,0.1333
Arabic (Saudi),Male,10,مشاية,20,produces,0
Arabic (Saudi),Male,10,مشاية,20,understands,0.1
Arabic (Saudi),Female,11,مشاية,14,produces,0
Arabic (Saudi),Female,11,مشاية,14,understands,0
Arabic (Saudi),Male,11,مشاية,16,produces,0
Arabic (Saudi),Male,11,مشاية,16,understands,0.125
Arabic (Saudi),Female,12,مشاية,14,produces,0
Arabic (Saudi),Female,12,مشاية,14,understands,0.2143
Arabic (Saudi),Male,12,مشاية,16,produces,0
Arabic (Saudi),Male,12,مشاية,16,understands,0.125
Arabic (Saudi),Female,13,مشاية,17,produces,0
Arabic (Saudi),Female,13,مشاية,17,understands,0
Arabic (Saudi),Male,13,مشاية,22,produces,0
Arabic (Saudi),Male,13,مشاية,22,understands,0
Arabic (Saudi),Female,14,مشاية,10,produces,0
Arabic (Saudi),Female,14,مشاية,10,understands,0
Arabic (Saudi),Male,14,مشاية,15,produces,0
Arabic (Saudi),Male,14,مشاية,15,understands,0
Arabic (Saudi),Female,15,مشاية,12,produces,0
Arabic (Saudi),Female,15,مشاية,12,understands,0.25
Arabic (Saudi),Male,15,مشاية,15,produces,0.1333
Arabic (Saudi),Male,15,مشاية,15,understands,0.0667
Arabic (Saudi),Female,16,مشاية,10,produces,0
Arabic (Saudi),Female,16,مشاية,10,understands,0.1
Arabic (Saudi),Male,16,مشاية,11,produces,0.0909
Arabic (Saudi),Male,16,مشاية,11,understands,0.0909
Croatian,Female,16,hodalica,7,produces,0
