language,sex,age,words,n,measure,prop
Arabic (Saudi),All,8,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",24,produces,0
Arabic (Saudi),All,8,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",24,understands,0.0833
Arabic (Saudi),All,9,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",27,produces,0
Arabic (Saudi),All,9,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",27,understands,0
Arabic (Saudi),All,10,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",35,produces,0
Arabic (Saudi),All,10,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",35,understands,0.0571
Arabic (Saudi),All,11,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",30,produces,0
Arabic (Saudi),All,11,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",30,understands,0.0333
Arabic (Saudi),All,12,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",30,produces,0
Arabic (Saudi),All,12,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",30,understands,0.0333
Arabic (Saudi),All,13,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",39,produces,0
Arabic (Saudi),All,13,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",39,understands,0
Arabic (Saudi),All,14,"جدار (جدر/ حيطة/ طوفة), جدر (جدار/ حيطة/ طوفه)",25,produces,0
Arabic (Saudi),All,14,"جدار (جدر/ حيطة/ طوفة), جدر (جدار/ حيطة/ طوفه)",25,understands,0
Arabic (Saudi),All,15,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",27,produces,0.037
Arabic (Saudi),All,15,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",27,understands,0.0741
Arabic (Saudi),All,16,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",21,produces,0
Arabic (Saudi),All,16,"جدر (جدار/ حيطة/ طوفه), جدار (جدر/ حيطة/ طوفة)",21,understands,0.0476
English (Australian),All,12,wall,71,produces,0
English (Australian),All,12,wall,71,understands,0
English (Australian),All,13,wall,64,produces,0
English (Australian),All,13,wall,64,understands,0
English (Australian),All,14,wall,111,produces,0.009
English (Australian),All,14,wall,111,understands,0
English (Australian),All,15,wall,69,produces,0.029
English (Australian),All,15,wall,69,understands,0
English (Australian),All,16,wall,60,produces,0.0167
English (Australian),All,16,wall,60,understands,0
English (Australian),All,17,wall,104,produces,0.0385
English (Australian),All,17,wall,104,understands,0
English (Australian),All,18,wall,109,produces,0.0367
English (Australian),All,18,wall,109,understands,0
English (Australian),All,19,wall,124,produces,0.0645
English (Australian),All,19,wall,124,understands,0
English (Australian),All,20,wall,78,produces,0.1538
English (Australian),All,20,wall,78,understands,0
English (Australian),All,21,wall,68,produces,0.1324
English (Australian),All,21,wall,68,understands,0
English (Australian),All,22,wall,73,produces,0.1507
English (Australian),All,22,wall,73,understands,0
English (Australian),All,23,wall,71,produces,0.3239
English (Australian),All,23,wall,71,understands,0
English (Australian),All,24,wall,76,produces,0.2895
English (Australian),All,24,wall,76,understands,0
English (Australian),All,25,wall,85,produces,0.3647
English (Australian),All,25,wall,85,understands,0
English (Australian),All,26,wall,77,produces,0.4156
English (Australian),All,26,wall,77,understands,0
English (Australian),All,27,wall,72,produces,0.5972
English (Australian),All,27,wall,72,understands,0
English (Australian),All,28,wall,67,produces,0.4925
English (Australian),All,28,wall,67,understands,0
English (Australian),All,29,wall,65,produces,0.6
English (Australian),All,29,wall,65,understands,0
English (Australian),All,30,wall,53,produces,0.6604
English (Australian),All,30,wall,53,understands,0
English (British),All,12,wall,27,produces,0
English (British),All,12,wall,27,understands,0
English (British),All,13,wall,7,produces,0
English (British),All,13,wall,7,understands,0
English (British),All,14,wall,64,produces,0.0156
English (British),All,14,wall,64,understands,0.0625
English (British),All,15,wall,88,produces,0
English (British),All,15,wall,88,understands,0.0795
English (British),All,16,wall,118,produces,0
English (British),All,16,wall,118,understands,0.1356
English (British),All,17,wall,197,produces,0.0305
English (British),All,17,wall,197,understands,0.1574
English (British),All,18,wall,118,produces,0.0508
English (British),All,18,wall,118,understands,0.2542
English (British),All,19,wall,109,produces,0.1193
English (British),All,19,wall,109,understands,0.3486
English (British),All,20,wall,144,produces,0.1806
English (British),All,20,wall,144,understands,0.4514
English (British),All,21,wall,75,produces,0.2133
English (British),All,21,wall,75,understands,0.5333
English (British),All,22,wall,28,produces,0.3214
English (British),All,22,wall,28,understands,0.6071
English (British),All,23,wall,112,produces,0.3125
English (British),All,23,wall,112,understands,0.5982
English (British),All,24,wall,87,produces,0.3908
English (British),All,24,wall,87,understands,0.7241
English (British),All,25,wall,36,produces,0.5556
English (British),All,25,wall,36,understands,0.6667
English (Irish),All,17,wall,2,produces,0
English (Irish),All,17,wall,2,understands,0
English (Irish),All,18,wall,1,produces,0
English (Irish),All,18,wall,1,understands,0
English (Irish),All,19,wall,2,produces,0
English (Irish),All,19,wall,2,understands,0
English (Irish),All,20,wall,1,produces,0
English (Irish),All,20,wall,1,understands,0
English (Irish),All,21,wall,3,produces,0
English (Irish),All,21,wall,3,understands,0
English (Irish),All,22,wall,4,produces,0
English (Irish),All,22,wall,4,understands,0
English (Irish),All,23,wall,4,produces,0
English (Irish),All,23,wall,4,understands,0
English (Irish),All,24,wall,4,produces,0.25
English (Irish),All,24,wall,4,understands,0
English (Irish),All,25,wall,6,produces,0
English (Irish),All,25,wall,6,understands,0
English (Irish),All,26,wall,10,produces,0.1
English (Irish),All,26,wall,10,understands,0
English (Irish),All,27,wall,5,produces,0
English (Irish),All,27,wall,5,understands,0
English (Irish),All,28,wall,7,produces,0
English (Irish),All,28,wall,7,understands,0
English (Irish),All,29,wall,4,produces,0.25
English (Irish),All,29,wall,4,understands,0
English (Irish),All,30,wall,9,produces,0.1111
English (Irish),All,30,wall,9,understands,0
English (Irish),All,31,wall,8,produces,0.125
English (Irish),All,31,wall,8,understands,0
English (Irish),All,32,wall,4,produces,0.5
English (Irish),All,32,wall,4,understands,0
English (Irish),All,33,wall,5,produces,0.2
English (Irish),All,33,wall,5,understands,0
English (Irish),All,34,wall,4,produces,0.25
English (Irish),All,34,wall,4,understands,0
English (Irish),All,35,wall,11,produces,0.2727
English (Irish),All,35,wall,11,understands,0
English (Irish),All,36,wall,5,produces,0.6
English (Irish),All,36,wall,5,understands,0
Greek (Cypriot),All,18,τοίχος,45,produces,0.0889
Greek (Cypriot),All,18,τοίχος,45,understands,0
Greek (Cypriot),All,21,τοίχος,36,produces,0.1111
Greek (Cypriot),All,21,τοίχος,36,understands,0
Greek (Cypriot),All,24,τοίχος,32,produces,0.4062
Greek (Cypriot),All,24,τοίχος,32,understands,0
Greek (Cypriot),All,27,τοίχος,29,produces,0.6552
Greek (Cypriot),All,27,τοίχος,29,understands,0
Greek (Cypriot),All,30,τοίχος,34,produces,0.6765
Greek (Cypriot),All,30,τοίχος,34,understands,0
Irish,All,17,falla_balla,2,produces,0.5
Irish,All,17,falla_balla,2,understands,0
Irish,All,18,falla_balla,1,produces,0
Irish,All,18,falla_balla,1,understands,0
Irish,All,19,falla_balla,2,produces,0
Irish,All,19,falla_balla,2,understands,0
Irish,All,20,falla_balla,1,produces,0
Irish,All,20,falla_balla,1,understands,0
Irish,All,21,falla_balla,3,produces,0
Irish,All,21,falla_balla,3,understands,0
Irish,All,22,falla_balla,4,produces,0
Irish,All,22,falla_balla,4,understands,0
Irish,All,23,falla_balla,4,produces,0.5
Irish,All,23,falla_balla,4,understands,0
Irish,All,24,falla_balla,4,produces,0.75
Irish,All,24,falla_balla,4,understands,0
Irish,All,25,falla_balla,6,produces,0.1667
Irish,All,25,falla_balla,6,understands,0
Irish,All,26,falla_balla,10,produces,0.3
Irish,All,26,falla_balla,10,understands,0
Irish,All,27,falla_balla,5,produces,0.6
Irish,All,27,falla_balla,5,understands,0
Irish,All,28,falla_balla,7,produces,0.4286
Irish,All,28,falla_balla,7,understands,0
Irish,All,29,falla_balla,4,produces,0.5
Irish,All,29,falla_balla,4,understands,0
Irish,All,30,falla_balla,9,produces,0.7778
Irish,All,30,falla_balla,9,understands,0
Irish,All,31,falla_balla,8,produces,0.875
Irish,All,31,falla_balla,8,understands,0
Irish,All,32,falla_balla,4,produces,0.75
Irish,All,32,falla_balla,4,understands,0
Irish,All,33,falla_balla,5,produces,1
Irish,All,33,falla_balla,5,understands,0
Irish,All,34,falla_balla,4,produces,0.5
Irish,All,34,falla_balla,4,understands,0
Irish,All,35,falla_balla,11,produces,0.8182
Irish,All,35,falla_balla,11,understands,0
Irish,All,36,falla_balla,5,produces,0.8
Irish,All,36,falla_balla,5,understands,0
Italian,All,18,muro,31,produces,0.0645
Italian,All,18,muro,31,understands,0
Italian,All,19,muro,39,produces,0.2051
Italian,All,19,muro,39,understands,0
Italian,All,20,muro,64,produces,0.1875
Italian,All,20,muro,64,understands,0
Italian,All,21,muro,55,produces,0.2909
Italian,All,21,muro,55,understands,0
Italian,All,22,muro,55,produces,0.4
Italian,All,22,muro,55,understands,0
Italian,All,23,muro,53,produces,0.3962
Italian,All,23,muro,53,understands,0
Italian,All,24,muro,71,produces,0.4085
Italian,All,24,muro,71,understands,0
