language,age,words,n,measure,prop
Dutch,15,water,3,produces,0
Dutch,15,water,3,understands,0.3333
Dutch,16,water,3,produces,0
Dutch,16,water,3,understands,0
Dutch,17,water,6,produces,0
Dutch,17,water,6,understands,0.8333
Dutch,18,water,130,produces,0.1231
Dutch,18,water,130,understands,0.4077
Dutch,19,water,94,produces,0.2021
Dutch,19,water,94,understands,0.4149
Dutch,20,water,26,produces,0.2692
Dutch,20,water,26,understands,0.5385
Dutch,21,water,6,produces,0.5
Dutch,21,water,6,understands,0.6667
Finnish,9,vesi ,82,produces,0.0122
Finnish,9,vesi ,82,understands,0.0122
Finnish,12,vesi ,117,produces,0.0342
Finnish,12,vesi ,117,understands,0.0342
Finnish,15,vesi ,117,produces,0.1709
Finnish,15,vesi ,117,understands,0.1709
