language,age,words,n,measure,prop
Korean,18,(승부에)이겨,88,produces,0.0114
Korean,18,(승부에)이겨,88,understands,0
Korean,19,(승부에)이겨,77,produces,0.013
Korean,19,(승부에)이겨,77,understands,0
Korean,20,(승부에)이겨,88,produces,0
Korean,20,(승부에)이겨,88,understands,0
Korean,21,(승부에)이겨,79,produces,0.0127
Korean,21,(승부에)이겨,79,understands,0
Korean,22,(승부에)이겨,87,produces,0.0345
Korean,22,(승부에)이겨,87,understands,0
Korean,23,(승부에)이겨,87,produces,0.023
Korean,23,(승부에)이겨,87,understands,0
Korean,24,(승부에)이겨,107,produces,0.1028
Korean,24,(승부에)이겨,107,understands,0
Korean,25,(승부에)이겨,95,produces,0.1579
Korean,25,(승부에)이겨,95,understands,0
Korean,26,(승부에)이겨,91,produces,0.1648
Korean,26,(승부에)이겨,91,understands,0
Korean,27,(승부에)이겨,104,produces,0.2308
Korean,27,(승부에)이겨,104,understands,0
Korean,28,(승부에)이겨,89,produces,0.3146
Korean,28,(승부에)이겨,89,understands,0
Korean,29,(승부에)이겨,101,produces,0.3861
Korean,29,(승부에)이겨,101,understands,0
Korean,30,(승부에)이겨,81,produces,0.3457
Korean,30,(승부에)이겨,81,understands,0
Korean,31,(승부에)이겨,79,produces,0.3544
Korean,31,(승부에)이겨,79,understands,0
Korean,32,(승부에)이겨,70,produces,0.3857
Korean,32,(승부에)이겨,70,understands,0
Korean,33,(승부에)이겨,79,produces,0.5063
Korean,33,(승부에)이겨,79,understands,0
Korean,34,(승부에)이겨,79,produces,0.5949
Korean,34,(승부에)이겨,79,understands,0
Korean,35,(승부에)이겨,74,produces,0.5811
Korean,35,(승부에)이겨,74,understands,0
Korean,36,(승부에)이겨,75,produces,0.5867
Korean,36,(승부에)이겨,75,understands,0
Spanish (Argentinian),16,ganar,47,produces,0.0426
Spanish (Argentinian),16,ganar,47,understands,0
Spanish (Argentinian),17,ganar,49,produces,0.0204
Spanish (Argentinian),17,ganar,49,understands,0
Spanish (Argentinian),18,ganar,62,produces,0.0323
Spanish (Argentinian),18,ganar,62,understands,0
Spanish (Argentinian),19,ganar,44,produces,0.0227
Spanish (Argentinian),19,ganar,44,understands,0
Spanish (Argentinian),20,ganar,46,produces,0
Spanish (Argentinian),20,ganar,46,understands,0
Spanish (Argentinian),21,ganar,41,produces,0.0976
Spanish (Argentinian),21,ganar,41,understands,0
Spanish (Argentinian),22,ganar,57,produces,0
Spanish (Argentinian),22,ganar,57,understands,0
