language,age,words,n,measure,prop
Norwegian,16,oi (uttrykk for overraskelse),98,produces,0.6837
Norwegian,16,oi (uttrykk for overraskelse),98,understands,0
Norwegian,17,oi (uttrykk for overraskelse),218,produces,0.7339
Norwegian,17,oi (uttrykk for overraskelse),218,understands,0
Norwegian,18,oi (uttrykk for overraskelse),271,produces,0.845
Norwegian,18,oi (uttrykk for overraskelse),271,understands,0
Norwegian,19,oi (uttrykk for overraskelse),281,produces,0.8363
Norwegian,19,oi (uttrykk for overraskelse),281,understands,0
Norwegian,20,oi (uttrykk for overraskelse),342,produces,0.8918
Norwegian,20,oi (uttrykk for overraskelse),342,understands,0
Norwegian,21,oi (uttrykk for overraskelse),418,produces,0.8995
Norwegian,21,oi (uttrykk for overraskelse),418,understands,0
Norwegian,22,oi (uttrykk for overraskelse),596,produces,0.9211
Norwegian,22,oi (uttrykk for overraskelse),596,understands,0
Norwegian,23,oi (uttrykk for overraskelse),566,produces,0.917
Norwegian,23,oi (uttrykk for overraskelse),566,understands,0
Norwegian,24,oi (uttrykk for overraskelse),538,produces,0.9424
Norwegian,24,oi (uttrykk for overraskelse),538,understands,0
Norwegian,25,oi (uttrykk for overraskelse),656,produces,0.9543
Norwegian,25,oi (uttrykk for overraskelse),656,understands,0
Norwegian,26,oi (uttrykk for overraskelse),644,produces,0.9581
Norwegian,26,oi (uttrykk for overraskelse),644,understands,0
Norwegian,27,oi (uttrykk for overraskelse),525,produces,0.9619
Norwegian,27,oi (uttrykk for overraskelse),525,understands,0
Norwegian,28,oi (uttrykk for overraskelse),544,produces,0.9596
Norwegian,28,oi (uttrykk for overraskelse),544,understands,0
Norwegian,29,oi (uttrykk for overraskelse),536,produces,0.9627
Norwegian,29,oi (uttrykk for overraskelse),536,understands,0
Norwegian,30,oi (uttrykk for overraskelse),457,produces,0.9584
Norwegian,30,oi (uttrykk for overraskelse),457,understands,0
Norwegian,31,oi (uttrykk for overraskelse),479,produces,0.9603
Norwegian,31,oi (uttrykk for overraskelse),479,understands,0
Norwegian,32,oi (uttrykk for overraskelse),451,produces,0.9645
Norwegian,32,oi (uttrykk for overraskelse),451,understands,0
Norwegian,33,oi (uttrykk for overraskelse),430,produces,0.9744
Norwegian,33,oi (uttrykk for overraskelse),430,understands,0
Norwegian,34,oi (uttrykk for overraskelse),424,produces,0.9693
Norwegian,34,oi (uttrykk for overraskelse),424,understands,0
Norwegian,35,oi (uttrykk for overraskelse),422,produces,0.955
Norwegian,35,oi (uttrykk for overraskelse),422,understands,0
Norwegian,36,oi (uttrykk for overraskelse),329,produces,0.9635
Norwegian,36,oi (uttrykk for overraskelse),329,understands,0
Spanish (European),8,aúpa,52,produces,0
Spanish (European),8,aúpa,52,understands,0.4808
Spanish (European),9,aúpa,45,produces,0
Spanish (European),9,aúpa,45,understands,0.6667
Spanish (European),10,aúpa,49,produces,0.0408
Spanish (European),10,aúpa,49,understands,0.6939
Spanish (European),11,aúpa,36,produces,0.0278
Spanish (European),11,aúpa,36,understands,0.7222
Spanish (European),12,aúpa,52,produces,0.0577
Spanish (European),12,aúpa,52,understands,0.7692
Spanish (European),13,aúpa,58,produces,0.069
Spanish (European),13,aúpa,58,understands,0.8103
Spanish (European),14,aúpa,55,produces,0.1636
Spanish (European),14,aúpa,55,understands,0.8727
Spanish (European),15,aúpa,65,produces,0.2462
Spanish (European),15,aúpa,65,understands,0.9231
Spanish (European),16,aúpa,39,produces,0.4615
Spanish (European),16,aúpa,39,understands,0
Spanish (European),17,aúpa,39,produces,0.4872
Spanish (European),17,aúpa,39,understands,0
Spanish (European),18,aúpa,50,produces,0.42
Spanish (European),18,aúpa,50,understands,0
Spanish (European),19,aúpa,27,produces,0.6296
Spanish (European),19,aúpa,27,understands,0
Spanish (European),20,aúpa,36,produces,0.6111
Spanish (European),20,aúpa,36,understands,0
Spanish (European),21,aúpa,41,produces,0.6098
Spanish (European),21,aúpa,41,understands,0
Spanish (European),22,aúpa,38,produces,0.6842
Spanish (European),22,aúpa,38,understands,0
Spanish (European),23,aúpa,30,produces,0.8667
Spanish (European),23,aúpa,30,understands,0
Spanish (European),24,aúpa,55,produces,0.8
Spanish (European),24,aúpa,55,understands,0
Spanish (European),25,aúpa,35,produces,0.6286
Spanish (European),25,aúpa,35,understands,0
Spanish (European),26,aúpa,49,produces,0.7551
Spanish (European),26,aúpa,49,understands,0
Spanish (European),27,aúpa,34,produces,0.8824
Spanish (European),27,aúpa,34,understands,0
Spanish (European),28,aúpa,38,produces,0.7632
Spanish (European),28,aúpa,38,understands,0
Spanish (European),29,aúpa,41,produces,0.8049
Spanish (European),29,aúpa,41,understands,0
Spanish (European),30,aúpa,41,produces,0.7561
Spanish (European),30,aúpa,41,understands,0
Spanish (Peruvian),16,pucha/uuyy,13,produces,0.3846
Spanish (Peruvian),16,pucha/uuyy,13,understands,0
Spanish (Peruvian),17,pucha/uuyy,9,produces,0.5556
Spanish (Peruvian),17,pucha/uuyy,9,understands,0
Spanish (Peruvian),18,pucha/uuyy,4,produces,0
Spanish (Peruvian),18,pucha/uuyy,4,understands,0
Spanish (Peruvian),19,pucha/uuyy,12,produces,0.5
Spanish (Peruvian),19,pucha/uuyy,12,understands,0
Spanish (Peruvian),20,pucha/uuyy,1,produces,0
Spanish (Peruvian),20,pucha/uuyy,1,understands,0
Spanish (Peruvian),21,pucha/uuyy,5,produces,0.8
Spanish (Peruvian),21,pucha/uuyy,5,understands,0
Spanish (Peruvian),22,pucha/uuyy,9,produces,0.4444
Spanish (Peruvian),22,pucha/uuyy,9,understands,0
Spanish (Peruvian),23,pucha/uuyy,1,produces,1
Spanish (Peruvian),23,pucha/uuyy,1,understands,0
Spanish (Peruvian),24,pucha/uuyy,15,produces,0.3333
Spanish (Peruvian),24,pucha/uuyy,15,understands,0
Spanish (Peruvian),25,pucha/uuyy,5,produces,0.4
Spanish (Peruvian),25,pucha/uuyy,5,understands,0
Spanish (Peruvian),26,pucha/uuyy,8,produces,0.25
Spanish (Peruvian),26,pucha/uuyy,8,understands,0
Spanish (Peruvian),27,pucha/uuyy,7,produces,0.2857
Spanish (Peruvian),27,pucha/uuyy,7,understands,0
Spanish (Peruvian),28,pucha/uuyy,8,produces,0.25
Spanish (Peruvian),28,pucha/uuyy,8,understands,0
Spanish (Peruvian),29,pucha/uuyy,6,produces,0.6667
Spanish (Peruvian),29,pucha/uuyy,6,understands,0
Spanish (Peruvian),30,pucha/uuyy,2,produces,1
Spanish (Peruvian),30,pucha/uuyy,2,understands,0
Arabic (Saudi),8,(للتعبير عن المفاجأة) واو,24,produces,0
Arabic (Saudi),8,(للتعبير عن المفاجأة) واو,24,understands,0.0833
Arabic (Saudi),9,(للتعبير عن المفاجأة) واو,27,produces,0.0741
Arabic (Saudi),9,(للتعبير عن المفاجأة) واو,27,understands,0.0741
Arabic (Saudi),10,(للتعبير عن المفاجأة) واو,35,produces,0.0857
