language,sex,age,words,n,measure,prop
Russian,All,8,кефир,59,produces,0
Russian,All,8,кефир,59,understands,0.1017
Russian,All,9,кефир,42,produces,0
Russian,All,9,кефир,42,understands,0.1667
Russian,All,10,кефир,63,produces,0
Russian,All,10,кефир,63,understands,0.1429
Russian,All,11,кефир,71,produces,0
Russian,All,11,кефир,71,understands,0.169
Russian,All,12,кефир,76,produces,0
Russian,All,12,кефир,76,understands,0.1447
Russian,All,13,кефир,73,produces,0
Russian,All,13,кефир,73,understands,0.274
Russian,All,14,кефир,79,produces,0.0127
Russian,All,14,кефир,79,understands,0.2911
Russian,All,15,кефир,81,produces,0
Russian,All,15,кефир,81,understands,0.3457
Russian,All,16,кефир,81,produces,0.0123
Russian,All,16,кефир,81,understands,0.4568
Russian,All,17,кефир,80,produces,0.05
Russian,All,17,кефир,80,understands,0.3875
Russian,All,18,кефир,105,produces,0.0476
Russian,All,18,кефир,105,understands,0.2667
Russian,All,19,кефир,41,produces,0.0732
Russian,All,19,кефир,41,understands,0
Russian,All,20,кефир,45,produces,0.2
Russian,All,20,кефир,45,understands,0
Russian,All,21,кефир,43,produces,0.2326
Russian,All,21,кефир,43,understands,0
Russian,All,22,кефир,51,produces,0.3137
Russian,All,22,кефир,51,understands,0
Russian,All,23,кефир,56,produces,0.3571
Russian,All,23,кефир,56,understands,0
Russian,All,24,кефир,61,produces,0.459
Russian,All,24,кефир,61,understands,0
Russian,All,25,кефир,66,produces,0.4697
Russian,All,25,кефир,66,understands,0
Russian,All,26,кефир,52,produces,0.4423
Russian,All,26,кефир,52,understands,0
Russian,All,27,кефир,60,produces,0.5333
Russian,All,27,кефир,60,understands,0
Russian,All,28,кефир,60,produces,0.5667
Russian,All,28,кефир,60,understands,0
Russian,All,29,кефир,58,produces,0.7069
Russian,All,29,кефир,58,understands,0
Russian,All,30,кефир,77,produces,0.6623
Russian,All,30,кефир,77,understands,0
Russian,All,31,кефир,61,produces,0.6066
Russian,All,31,кефир,61,understands,0
Russian,All,32,кефир,55,produces,0.7818
Russian,All,32,кефир,55,understands,0
Russian,All,33,кефир,55,produces,0.6909
