language,age,words,n,measure,prop
Japanese,16,まずい,11,produces,0
Japanese,16,まずい,11,understands,0
Japanese,17,まずい,17,produces,0
Japanese,17,まずい,17,understands,0
Japanese,18,まずい,56,produces,0
Japanese,18,まずい,56,understands,0
Japanese,19,まずい,35,produces,0
Japanese,19,まずい,35,understands,0
Japanese,20,まずい,59,produces,0
Japanese,20,まずい,59,understands,0
Japanese,21,まずい,62,produces,0.0161
Japanese,21,まずい,62,understands,0
Japanese,22,まずい,31,produces,0
Japanese,22,まずい,31,understands,0
Japanese,23,まずい,67,produces,0.0896
Japanese,23,まずい,67,understands,0
Japanese,24,まずい,33,produces,0.1515
Japanese,24,まずい,33,understands,0
Japanese,25,まずい,34,produces,0.0294
Japanese,25,まずい,34,understands,0
Japanese,26,まずい,33,produces,0.2424
Japanese,26,まずい,33,understands,0
Japanese,27,まずい,15,produces,0.2
Japanese,27,まずい,15,understands,0
Japanese,28,まずい,18,produces,0.1111
Japanese,28,まずい,18,understands,0
Japanese,29,まずい,17,produces,0.2941
Japanese,29,まずい,17,understands,0
Japanese,30,まずい,18,produces,0.2222
Japanese,30,まずい,18,understands,0
Japanese,31,まずい,18,produces,0.3333
Japanese,31,まずい,18,understands,0
Japanese,32,まずい,13,produces,0.4615
Japanese,32,まずい,13,understands,0
Japanese,33,まずい,16,produces,0.5
Japanese,33,まずい,16,understands,0
Japanese,34,まずい,13,produces,0.5385
Japanese,34,まずい,13,understands,0
Japanese,35,まずい,31,produces,0.7097
Japanese,35,まずい,31,understands,0
Japanese,36,まずい,18,produces,0.3889
Japanese,36,まずい,18,understands,0
Korean,18,맛없어,88,produces,0.0227
Korean,18,맛없어,88,understands,0
Korean,19,맛없어,77,produces,0.026
Korean,19,맛없어,77,understands,0
Korean,20,맛없어,88,produces,0.0568
Korean,20,맛없어,88,understands,0
Korean,21,맛없어,79,produces,0.038
Korean,21,맛없어,79,understands,0
Korean,22,맛없어,87,produces,0.1379
Korean,22,맛없어,87,understands,0
Korean,23,맛없어,87,produces,0.0805
Korean,23,맛없어,87,understands,0
Korean,24,맛없어,107,produces,0.243
Korean,24,맛없어,107,understands,0
